accession	title	date	modality	status	species	n	score_total	best_task	task_fit	paperability	validation	bd	why	caveat	source
GSE308384	Dextran-based T-cell expansion nanoparticles for manufacturing CAR T cells with augmented efficacy	2025-11-19	CAR-T manufacturing	GO	Homo sapiens	NA	14	manufacturing QC / expansion / process optimization	5	4	5	5	clear process metric and direct industrial relevance; expansion nanoparticles are close to a deployable workflow	process paper, not proof of superior clinical efficacy	turn4view0 L23-L28
GSE270430	Allogeneic HSPC-engineered CD33-targeting CAR-NKT cells synergize with hypomethylating agents for effective and safe treatment of myeloid malignancies	2025-01-01	CAR-NKT	GO	Homo sapiens	NA	14	cell-therapy prioritization / off-the-shelf design	5	5	4	5	off-the-shelf CAR-NKT plus HMA synergy is a strong translational and BD hook	still preclinical; selection and safety need orthogonal validation	turn4view1 L23-L28
GSE312384	BACH2 regulates T cell lineage states to enhance CAR T cell function [ATAC-seq]	2025-12-08	CAR-T lineage state	GO	Homo sapiens	15	13	lineage-state / exhaustion rescue / epigenetic regulation	5	5	4	4	BACH2 is a central lever for CAR function and clinical outcome association appears in the series	ATAC-seq mechanism support, not direct patient release assay	turn2view2 L28-L47
GSE236468	Restoration of LAT signaling through the expression of a novel Adjunctive LAT-Activating CAR (ALA-CART) enhances the antigen-sensitivity and persistence of CAR T cells	2025-02-04	CAR-T signaling	GO	Homo sapiens	NA	13	antigen-sensitivity / persistence / signal engineering	5	5	4	4	directly addresses antigen-low relapse, a classic translational bottleneck	effects are model-dependent and need safety framing	turn4view3 L23-L33
GSE292859	CRISPR engineering of armored CAR T cells enables tumor-restricted payload delivery with enhanced safety and efficacy	2025-06-18	armored CAR-T	GO	Homo sapiens	2 per group	13	payload localization / tumor-restricted delivery / safety	5	4	4	5	tumor-localized cytokine delivery is highly BD-friendly and process-adjacent	n is small; keep it as design support rather than definitive validation	turn4view2 L23-L28
GSE287125	Immunotherapy-related cognitive impairment after CAR T cell therapy in mice [scRNA-seq]	2025-02-18	CAR-T safety / toxicity	WATCH	Homo sapiens	7	10	safety signal mapping / adverse-effect biomarker discovery	4	4	3	3	valuable as a safety companion module for CAR-T programs	toxicity biology, not efficacy; do not mix with potency claims	turn4view4 L23-L31
GSE291443	Engineering an in vivo charging station for CAR-redirected invariant natural killer T cells to enhance cancer therapy	2025-05-07	CAR-iNKT	GO	Homo sapiens	NA	12	persistence / recruitment / local activation	5	4	4	4	in vivo activation architecture is a strong cell-therapy platform concept	therapy is still a platform design, not a disease-specific clinical proof	turn4view5 L23-L30
GSE304795	pTα enhances mRNA translation and potentiates CAR T cells for solid tumor eradication [eCLIP-seq]	2026-01-22	CAR-T translation / solid tumor	GO	Homo sapiens	NA	13	translation control / persistence / solid tumor potency	5	5	4	4	one of the strongest recent examples for engineering CAR-T into solid tumors	published late; keep claim boundary at platform support	turn2view8 L23-L30
GSE313971	Rational redesign of antigen binding domain improves in vivo efficacy of the CD22-CAR	2025-12-17	CD22-CAR tonic signaling	GO	Homo sapiens	12	14	tonic signaling / antigen-binding redesign / CAR fitness	5	5	5	4	direct CAR design optimization with a concrete clinical failure mode	human sample size is modest; keep efficacy claims platform-level	turn3search0; turn3search4
GSE284026	NR2F6 deletion revives CAR-T cell function and induces antigen-agnostic immune memory in solid tumors	2026-01-23	NR2F6 CAR-T solid tumor	GO	Mus musculus	NA	14	solid-tumor persistence / immune memory / transcriptional brake removal	5	5	5	4	recent solid-tumor CAR-T engineering with a durable memory readout	mouse system; use as mechanism and platform support, not clinical proof	turn3search2; turn3search6
GSE303442	RELB Reprograms Exhausted Tumor-Infiltrating Lymphocytes for Improved Adoptive Cell Therapy	2025-12-02	TIL adoptive therapy	GO	Homo sapiens	NA	14	TIL expansion / exhaustion rescue / product potency	5	5	5	4	clean adoptive-cell-therapy productization signal with organoid and xenograft support	still a manufacturing/productivity layer, not direct clinical outcome evidence	turn3search3; turn3search8
GSE290722	Longitudinal single-cell immunoprofiling links durable CAR T response to sustained activation and clonotypic expansion of the native cytotoxic T cell repertoire	2025-03-04	CAR-T response durability	GO	Homo sapiens	32	15	response durability / native repertoire expansion / outcome prediction	5	5	5	5	longitudinal patient data ties native T-cell dynamics to durable CAR-T response	LBCL-specific; use as response framework, not universal CAR-T biology	turn1search1; turn1search7; turn1search9
GSE311267	Syndecan-1-targeted therapeutic antibody inhibits macropinocytosis and induces antitumor immunity in pancreatic cancer	2025-12-02	therapeutic antibody / PDAC	GO	Homo sapiens	NA	14	antibody target prioritization / KRAS-driven PDAC combination logic	5	5	4	5	human-specific antibody with combination synergy against KRAS-driven PDAC	PDAC-specific biology; adapt carefully outside KRAS/SDC1 contexts	turn1search0; turn1search3
GSE274141	Single-Cell RNA Sequencing Identifies Molecular Biomarkers Predicting Late Progression to CDK4/6 Inhibition in Patients with HR+/HER2- Metastatic Breast Cancer [FFPE]	2025-02-18	CDK4/6 biomarker / endocrine resistance	GO	Homo sapiens	455	14	late-progression biomarker / endocrine resistance / PFS prediction	5	5	5	4	large human FFPE cohort with direct progression biomarker utility	breast-cancer specific; keep claims tied to CDK4/6/endocrine context	turn1search2; turn1search10
GSE298158	Single dose of CD137-Antibody Drug Conjugate protects non-human primate allogeneic HCT recipients against acute GVHD	2025-05-27	CD137-ADC	GO	Homo sapiens / Macaca mulatta / Mus musculus	NA	13	activated-T-cell depletion / safety / allogeneic transplant control	4	4	5	4	ADC crosses human, NHP, and mouse and gives a strong safety-design readout	transplant lane, not oncology; keep separate from efficacy-only claims	turn3search2
GSE294241	T-cell dysfunction during blinatumomab therapy in pediatric acute lymphoblastic leukemia	2025-04-17	blinatumomab / therapy response	GO	Homo sapiens	11 patients	13	response durability / T-cell dysfunction / dosing window	5	5	4	4	direct therapy-response study with longitudinal patient sampling and a practical dosing question	disease-specific and pediatric; do not overgeneralize beyond B-ALL	turn3search1; turn3search9
GSE303153	Synergistic Effect of Nucleoside Modification and Ionizable Lipid Composition on Translation and Immune Responses to mRNA Vaccines	2025-09-11	mRNA vaccine platform	GO	Macaca fascicularis / Homo sapiens	292	15	vaccine translation / innate response / formulation ranking	5	5	5	5	very large, translational mRNA-LNP dataset with direct formulation readouts	not cancer-specific; use as platform chemistry support	turn3view0 L23-L29; turn3view3 L32-L32
GSE283041	Vaccination against oncofetal targets in the tumor vasculature	2025-04-09	cancer vaccine / vasculature	WATCH	Mus musculus	NA	11	target selection / vascular immunotherapy	4	4	3	4	useful bridge between vaccine logic and targetable tumor vasculature	mouse-only, so keep it in watch lane unless replicated	turn2view6 L23-L29
GSE244034	Tumor-targeting oncolytic viruses engineered for glioblastoma immunotherapy	2025-07-14	oncolytic virus	RESERVE	Mus musculus	NA	9	permissivity / immune remodeling / viral susceptibility	3	3	3	3	interesting but still model-heavy and heterogeneous	reserve module only; not a core platform bet	turn4view6 L23-L29
GSE288846	Engineering a novel HSV-1 strain for oncolytic therapy of solid tumors	2025-04-09	oncolytic virus	RESERVE	Homo sapiens	NA	9	viral engineering / safety / tumor targeting	3	3	3	3	engineering-heavy and interesting, but still not the main platform lane	keep as reserve unless a specific therapeutic angle is needed	turn4view8 L23-L28
GSE288907	Viro-immunotherapy using oncolytic viruses represents a promising treatment for PDAC	2025-02-11	oncolytic virus / PDAC	WATCH	NA	10 PDOs	10	patient-derived sensitivity / virotherapy ranking	4	4	3	3	PDO-based drug-style readout is more screening-friendly than mouse-only OV papers	species/model details must be verified before reuse	turn1search5 snippet
