context	comparison	score	n_group_a	n_group_b	mean_group_a	mean_group_b	effect_cohens_d_group_a_minus_b	mannwhitney_p	expected_direction	claim_boundary	fdr_q	support
all_tumor	refractory_vs_avid_response	rai8_z_mean	35	4	-0.29497035527252835	-0.12243535322449192	-0.24425633604372912	0.4878968036862774	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
all_tumor	refractory_vs_avid_response	rai6_z_mean	35	4	-0.2667633737225048	-0.08371267779764079	-0.24853648098514688	0.5462061251534936	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
all_tumor	refractory_vs_avid_response	SLC5A5	35	4	5.8806383158	6.000765898999999	-0.3587313917804473	0.5166137797716746	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
all_tumor	refractory_vs_avid_response	TG	35	4	10.727901761371427	11.05582947175	-0.18833910039815768	0.4328458012668539	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
all_tumor	refractory_vs_avid_response	TPO	35	4	8.344190298885714	9.08362346875	-0.45630963405349495	0.3812476444055391	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
all_tumor	refractory_vs_avid_response	TSHR	35	4	9.2245163212	9.127717333749999	0.06845743840435055	0.5166137797716746	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
all_tumor	refractory_vs_avid_response	PAX8	35	4	9.073323378628574	9.337888181	-0.22532929525797402	0.5764549975076292	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
all_tumor	refractory_vs_avid_response	NKX2-1	35	4	7.429797560742858	7.4965027245	-0.15979629049610014	0.7717109822372982	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
all_tumor	refractory_vs_avid_response	FOXE1	35	4	7.509203856542857	7.71709636075	-0.20857893776447525	0.6715055136107768	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
all_tumor	refractory_vs_avid_response	DIO1	35	4	5.233976516028571	5.3451001929999995	-0.10498084342219122	0.40656040656040654	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
all_tumor	no_uptake_vs_uptake	rai8_z_mean	20	19	-0.36838518340576176	-0.18136843049059084	-0.2664515104305752	0.6837033381355463	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
all_tumor	no_uptake_vs_uptake	rai6_z_mean	20	19	-0.3455691509526682	-0.1452729353907825	-0.2738036475786987	0.6631905386384751	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
all_tumor	no_uptake_vs_uptake	SLC5A5	20	19	5.888425235100001	5.897731576157894	-0.027621983402817678	0.8550850218287137	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
all_tumor	no_uptake_vs_uptake	TG	20	19	10.463872579	11.074864629210527	-0.3561108386531317	0.2793606903290696	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
all_tumor	no_uptake_vs_uptake	TPO	20	19	7.970693161200001	8.89301532168421	-0.5886578770916541	0.1188980993144309	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_expected
all_tumor	no_uptake_vs_uptake	TSHR	20	19	9.1122888233	9.32227179531579	-0.14890160152165913	0.8550850218287137	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
all_tumor	no_uptake_vs_uptake	PAX8	20	19	9.02863350355	9.176063205526317	-0.1255170055026898	0.7044522887447235	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
all_tumor	no_uptake_vs_uptake	NKX2-1	20	19	7.424002402400001	7.449940919789472	-0.06209197130076733	0.9887910583324784	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
all_tumor	no_uptake_vs_uptake	FOXE1	20	19	7.47585946015	7.588070064157895	-0.11253142745110283	0.966382021833657	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
all_tumor	no_uptake_vs_uptake	DIO1	20	19	5.10657416555	5.391478711684211	-0.2716119833038687	0.3050983398321072	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
primary_pre_rai_tumor	refractory_vs_avid_response	rai8_z_mean	13	4	-0.11490089230242252	-0.12243535322449192	0.012748241672640699	0.8705882352941177	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
primary_pre_rai_tumor	refractory_vs_avid_response	rai6_z_mean	13	4	-0.11462922393881564	-0.08371267779764079	-0.05303048541874413	0.8705882352941177	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
primary_pre_rai_tumor	refractory_vs_avid_response	SLC5A5	13	4	5.897648756538462	6.000765898999999	-0.313114590822496	0.6235294117647058	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
primary_pre_rai_tumor	refractory_vs_avid_response	TG	13	4	10.924893891	11.05582947175	-0.08167698587446529	0.7033613445378151	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
primary_pre_rai_tumor	refractory_vs_avid_response	TPO	13	4	8.962542516461538	9.08362346875	-0.07440184174969718	0.9563025210084034	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
primary_pre_rai_tumor	refractory_vs_avid_response	TSHR	13	4	9.369564068923077	9.127717333749999	0.2066330933934243	0.47731092436974787	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
primary_pre_rai_tumor	refractory_vs_avid_response	PAX8	13	4	9.141120642307694	9.337888181	-0.18411642381059115	0.5487394957983193	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
primary_pre_rai_tumor	refractory_vs_avid_response	NKX2-1	13	4	7.539557897615385	7.4965027245	0.12118131305186502	0.8705882352941177	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
primary_pre_rai_tumor	refractory_vs_avid_response	FOXE1	13	4	7.711638117692307	7.71709636075	-0.005796920357469137	0.8705882352941177	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
primary_pre_rai_tumor	refractory_vs_avid_response	DIO1	13	4	5.742762307153845	5.3451001929999995	0.31562978239246015	0.9563025210084034	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	opposite_or_noisy
primary_pre_rai_tumor	no_uptake_vs_uptake	rai8_z_mean	6	11	-0.10715763518225231	-0.12186429106690425	0.02488511427495717	0.5248868778280543	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
primary_pre_rai_tumor	no_uptake_vs_uptake	rai6_z_mean	6	11	-0.1344367912035441	-0.09258271592490018	-0.07181870782600108	0.5248868778280543	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
primary_pre_rai_tumor	no_uptake_vs_uptake	SLC5A5	6	11	5.9568247395	5.902868090363636	0.16278075049159668	0.807530704589528	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
primary_pre_rai_tumor	no_uptake_vs_uptake	TG	6	11	10.3812059125	11.269063908636364	-0.5768029016260435	0.5908209437621202	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_expected
primary_pre_rai_tumor	no_uptake_vs_uptake	TPO	6	11	8.449182080333332	9.286586737	-0.5328391710018509	0.3010665804783452	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_expected
primary_pre_rai_tumor	no_uptake_vs_uptake	TSHR	6	11	9.332200102333333	9.302000147	0.025693339466098933	0.5248868778280543	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
primary_pre_rai_tumor	no_uptake_vs_uptake	PAX8	6	11	9.160098813	9.202320745090908	-0.03937933767869766	0.4043309631544926	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
primary_pre_rai_tumor	no_uptake_vs_uptake	NKX2-1	6	11	7.683024115666668	7.445647170272727	0.709208242349356	0.14899806076276664	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	opposite_or_noisy
primary_pre_rai_tumor	no_uptake_vs_uptake	FOXE1	6	11	7.807421126	7.661377656090909	0.15558991485304946	0.5908209437621202	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
primary_pre_rai_tumor	no_uptake_vs_uptake	DIO1	6	11	5.8744565673333335	5.526324669181818	0.27624052200801447	0.5248868778280543	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
metastatic_or_nonprimary_tumor	refractory_vs_avid_response	rai8_z_mean	22	0	-0.4013750379366817				lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.		weak_or_none
metastatic_or_nonprimary_tumor	refractory_vs_avid_response	rai6_z_mean	22	0	-0.356660825867412				lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.		weak_or_none
metastatic_or_nonprimary_tumor	refractory_vs_avid_response	SLC5A5	22	0	5.870586691727272				lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.		weak_or_none
metastatic_or_nonprimary_tumor	refractory_vs_avid_response	TG	22	0	10.611497321136364				lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.		weak_or_none
metastatic_or_nonprimary_tumor	refractory_vs_avid_response	TPO	22	0	7.978800352136364				lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.		weak_or_none
metastatic_or_nonprimary_tumor	refractory_vs_avid_response	TSHR	22	0	9.138806288454546				lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.		weak_or_none
metastatic_or_nonprimary_tumor	refractory_vs_avid_response	PAX8	22	0	9.033261359181818				lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.		weak_or_none
metastatic_or_nonprimary_tumor	refractory_vs_avid_response	NKX2-1	22	0	7.3649391798636366				lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.		weak_or_none
metastatic_or_nonprimary_tumor	refractory_vs_avid_response	FOXE1	22	0	7.389583611318182				lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.		weak_or_none
metastatic_or_nonprimary_tumor	refractory_vs_avid_response	DIO1	22	0	4.933330366727273				lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.		weak_or_none
metastatic_or_nonprimary_tumor	no_uptake_vs_uptake	rai8_z_mean	14	8	-0.48033984693012305	-0.2631866221981598	-0.2767781690829505	0.8154048222159678	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
metastatic_or_nonprimary_tumor	no_uptake_vs_uptake	rai6_z_mean	14	8	-0.4360544479880071	-0.21772198715637064	-0.2586474290183491	0.7135441098289396	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
metastatic_or_nonprimary_tumor	no_uptake_vs_uptake	SLC5A5	14	8	5.859111161785714	5.890668869125	-0.08906033362387972	0.7135441098289396	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
metastatic_or_nonprimary_tumor	no_uptake_vs_uptake	TG	14	8	10.499301150357143	10.80784062	-0.1622382887240276	0.7639490884072928	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
metastatic_or_nonprimary_tumor	no_uptake_vs_uptake	TPO	14	8	7.765626481571429	8.351854625624998	-0.37929915649791185	0.7639490884072928	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
metastatic_or_nonprimary_tumor	no_uptake_vs_uptake	TSHR	14	8	9.018041132285715	9.350145311750001	-0.2051097131051562	0.7135441098289396	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
metastatic_or_nonprimary_tumor	no_uptake_vs_uptake	PAX8	14	8	8.972291228071429	9.139959088625	-0.12928795747832006	0.9733808674985146	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
metastatic_or_nonprimary_tumor	no_uptake_vs_uptake	NKX2-1	14	8	7.312993096714286	7.455844825374999	-0.3116958616249193	0.7135441098289396	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
metastatic_or_nonprimary_tumor	no_uptake_vs_uptake	FOXE1	14	8	7.333761603357141	7.48727212525	-0.14476046976879756	0.9733808674985146	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_or_none
metastatic_or_nonprimary_tumor	no_uptake_vs_uptake	DIO1	14	8	4.777481707642856	5.206065520125001	-0.5687319062430795	0.40202020202020206	lower in refractory/no-uptake expected for RAI-readiness scores	GSE151179 public RAI labels are noisy/small for direct response validation; use to define prospective assay need.	0.9887910583324784	weak_expected
