module	top_cell_type	top_mean_score	second_cell_type	second_mean_score	top_minus_second	n_cells_top	status	claim_boundary
rai_differentiation_score	Epithelial cell	3.9870480541738536	Malignant cell	0.7180211528008444	3.2690269013730093	706	scored	scRNA cell-type attribution supports marker context; it does not deconvolve Visium spots or prove tumor-cell intrinsic expression.
hla_ii_apc_score	Myeloid cell	1.4394657178060262	B cell	0.7860753702282727	0.6533903475777535	12176	scored	scRNA cell-type attribution supports marker context; it does not deconvolve Visium spots or prove tumor-cell intrinsic expression.
cytotoxic_t_score	NK cell	1.625201074185577	T cell	0.3028322059857613	1.3223688681998156	1858	scored	scRNA cell-type attribution supports marker context; it does not deconvolve Visium spots or prove tumor-cell intrinsic expression.
ifn_activation_score	Myeloid cell	0.196951739905822	Fibroblast	0.0506525865516331	0.1462991533541889	12176	scored	scRNA cell-type attribution supports marker context; it does not deconvolve Visium spots or prove tumor-cell intrinsic expression.
checkpoint_suppression_score	T cell	0.1241561291794666	Myeloid cell	0.0402625299975696	0.083893599181897	32929	scored	scRNA cell-type attribution supports marker context; it does not deconvolve Visium spots or prove tumor-cell intrinsic expression.
myeloid_tam_score	Myeloid cell	1.2961470688628989	Fibroblast	-0.0787412796654405	1.3748883485283394	12176	scored	scRNA cell-type attribution supports marker context; it does not deconvolve Visium spots or prove tumor-cell intrinsic expression.
caf_ecm_tgfb_score	Fibroblast	2.0891396335569885	Malignant cell	0.6768309529485788	1.4123086806084097	1002	scored	scRNA cell-type attribution supports marker context; it does not deconvolve Visium spots or prove tumor-cell intrinsic expression.
vascular_delivery_proxy_score	Endothelial cell	4.086566696435754	Fibroblast	0.2549250473957558	3.831641649039998	803	scored	scRNA cell-type attribution supports marker context; it does not deconvolve Visium spots or prove tumor-cell intrinsic expression.
hypoxia_score	Epithelial cell	0.8891245050308983	Malignant cell	0.7699027077080011	0.11922179732289728	706	scored	scRNA cell-type attribution supports marker context; it does not deconvolve Visium spots or prove tumor-cell intrinsic expression.
proliferation_score	T cell	0.1059133650933229	B cell	0.0007033497588808	0.1052100153344421	32929	scored	scRNA cell-type attribution supports marker context; it does not deconvolve Visium spots or prove tumor-cell intrinsic expression.
tumor_epithelial_score	Epithelial cell	2.922418417659507	Malignant cell	0.976398403398824	1.946020014260683	706	scored	scRNA cell-type attribution supports marker context; it does not deconvolve Visium spots or prove tumor-cell intrinsic expression.
dm1_dark_lineage_score	Epithelial cell	1.6062798860149163	Malignant cell	0.9316214199459728	0.6746584660689435	706	scored	scRNA cell-type attribution supports marker context; it does not deconvolve Visium spots or prove tumor-cell intrinsic expression.
