metric	value	unit	source_table	why_it_matters	boundary
TCGA BRAF-mutant subset	274	tumors	tcga_braf_only_label_distribution.tsv	BRAF-mutant tumors used for mutation/state split	tissue only; no CTC
BRAF tissue-state labels	7	labels	tcga_braf_only_label_distribution.tsv	BRAF tumors distribute across multiple states	label scheme is public-pilot derived
Largest BRAF state	33.2	%	tcga_braf_only_label_distribution.tsv	largest state is only about one-third	do not infer recurrence
BRAF ambiguity	66.8	%	tcga_braf_only_label_distribution.tsv	remaining BRAF cases are outside largest state	descriptive only
Spatial slides	16	slides	spatial_coherence_statistics.tsv	spatial coherence evaluated across slides	not CTC origin proof
Spatial spots	57144	spots	spatial_spot_vulnerability_scores.tsv	spot-scale tissue-state context	not cell-level pathology
Spatial z>2 slides	16/16	slides	spatial_coherence_statistics.tsv	same-niche coherence supports organization	not shedding evidence
scRNA module rows	12	rows	scrna_module_celltype_attribution.tsv	marker-context prior	not blood validation
Proteomics contrast rows	40	rows	bulk_proteomics_kthyro_module_contrasts.tsv	protein-direction support	bulk proxy only
Driver-only median R2	17.2	%	tcga_axis_variance_models.tsv	driver-only model boundary	descriptive not causal
