module	matched_panel_gene	random_gene
random_matched_001	DIO1	ZNF408
random_matched_001	FOXE1	PAFAH1B1
random_matched_001	NKX2-1	NDUFB10
random_matched_001	PAX8	REEP5
random_matched_001	SLC5A5	SLC13A3
random_matched_001	TG	CALM2
random_matched_001	TPO	TMEM59
random_matched_001	TSHR	YBX3
random_matched_002	DIO1	PEG10
random_matched_002	FOXE1	UFD1
random_matched_002	NKX2-1	ATP6V1G1
random_matched_002	PAX8	HLA-DPA1
random_matched_002	SLC5A5	VMO1
random_matched_002	TG	CD59
random_matched_002	TPO	NAP1L1
random_matched_002	TSHR	EIF2S2
random_matched_003	DIO1	ITGB3BP
random_matched_003	FOXE1	FMC1
random_matched_003	NKX2-1	CTTN
random_matched_003	PAX8	SNHG25
random_matched_003	SLC5A5	IL12RB1
random_matched_003	TG	RHOC
random_matched_003	TPO	COL1A1
random_matched_003	TSHR	PSMB6
random_matched_004	DIO1	AUTS2
random_matched_004	FOXE1	SMS
random_matched_004	NKX2-1	MRPL51
random_matched_004	PAX8	ATP5MF
random_matched_004	SLC5A5	KIAA1958
random_matched_004	TG	CST6
random_matched_004	TPO	EIF4G2
random_matched_004	TSHR	DNAJA1
random_matched_005	DIO1	CENPW
random_matched_005	FOXE1	ILVBL
random_matched_005	NKX2-1	AEBP1
random_matched_005	PAX8	PPDPF
random_matched_005	SLC5A5	C1orf74
random_matched_005	TG	CD63
random_matched_005	TPO	UQCRB
random_matched_005	TSHR	DAPK2
random_matched_006	DIO1	RGS2
random_matched_006	FOXE1	MRPL37
random_matched_006	NKX2-1	TIMP2
random_matched_006	PAX8	NPM1
random_matched_006	SLC5A5	DRD4
random_matched_006	TG	IGLC2
random_matched_006	TPO	CTNNB1
random_matched_006	TSHR	NDUFAF3
random_matched_007	DIO1	MPP1
random_matched_007	FOXE1	ANAPC5
random_matched_007	NKX2-1	CTTN
random_matched_007	PAX8	PCBP2
random_matched_007	SLC5A5	PCDHB14
random_matched_007	TG	EEF1D
random_matched_007	TPO	HMGN2
random_matched_007	TSHR	CAPN2
random_matched_008	DIO1	TDG
random_matched_008	FOXE1	EMC6
random_matched_008	NKX2-1	TMED2
random_matched_008	PAX8	S100A1
random_matched_008	SLC5A5	AC099791.2
random_matched_008	TG	AP2M1
random_matched_008	TPO	TAGLN
random_matched_008	TSHR	CNN3
random_matched_009	DIO1	TACC3
random_matched_009	FOXE1	TAF7
random_matched_009	NKX2-1	H2AFJ
random_matched_009	PAX8	LGALS3BP
random_matched_009	SLC5A5	CRTAC1
random_matched_009	TG	TUBB
random_matched_009	TPO	YWHAE
random_matched_009	TSHR	RNF181
random_matched_010	DIO1	PAPSS2
random_matched_010	FOXE1	POLD2
random_matched_010	NKX2-1	PTTG1IP
random_matched_010	PAX8	SNU13
random_matched_010	SLC5A5	SCN3B
random_matched_010	TG	SKP1
random_matched_010	TPO	TSPO
