reward_component	weight	purpose
benchmark_lift	0.16	clear quantitative improvement over public and internal comparators
external_generalization	0.15	held-out source/cohort/HLA/sequence-cluster performance
prospective_lock_readiness	0.14	score and thresholds can be frozen before wetlab or clinical readout
novelty_of_method	0.13	not just another ensemble; contains a distinct method contribution
ablation_completeness	0.11	each major primitive has an on/off or replacement control
failure_mode_interpretability	0.1	algorithm explains why hits and fails occur
comparator_coverage	0.08	includes SOTA/public baselines and internal baselines
figure_table_readiness	0.07	naturally yields publishable figures, tables and decision matrices
reviewer_risk_mitigation	0.04	co-located caveats, leakage audits and claim boundaries
deployment_simplicity	0.02	can be run and reproduced without excessive infrastructure
