section	what_to_write	support	boundary
Paper identity	Public-data prior/framework paper	Tissue-state and genetic prior mapping for post-thyroidectomy CTC-EMT monitoring in PTC	Do not frame as completed serial CTC discovery
Central thesis	Mutation-only interpretation is insufficient; CTC-EMT monitoring needs state + clone anchoring	TCGA state heterogeneity + marker/NGS framework	Do not claim clinical utility
Result 1	BRAF-mutant PTC is not one state	TCGA BRAF split; driver variance boundary	No CTC/recurrence inference
Result 2	Tissue states are spatially organized	GSE250521 coherence and spatial context	No CTC origin proof
Result 3	Marker modules have public cell/protein rationale	scRNA + proteomics support	No blood assay validation claim
Result 4	Marker support differs by module	Cross-layer marker support matrix	Qualitative planning score only
Result 5	Phenotype must be genetically anchored	CTC-EMT-to-NGS map	Do not call marker-positive cells residual disease without clone anchor
Result 6	The missing integrated dataset defines the next experiment	dataset gap bridge	Gap statement is not biological proof
Discussion	Public data can justify a prospective Science proposal	claim boundary + reviewer map	Avoid broad ICT/platform framing
Next dataset	Yu/hospital raw serial CTC + matched tissue-normal NGS + cfDNA/CTC NGS + follow-up	prospective validation plan	No prediction model without follow-up
