figure	image	title	role	data_used	how_to_read	paper_use	narration	boundary
PF01	PF01_manuscript_flow.png	논문 전체 논리 흐름	첫 장에서 독자에게 이 논문이 CTC discovery가 아니라 prior-map/framework 논문임을 고정한다.	Yu 2024 published CTC anchor, Samsung Science proposal logic, public-pilot evidence layers.	왼쪽 clinical gap에서 시작해 Yu 2024 feasibility, public in silico prior, future prospective test로 이동한다. 아래 네 result box는 본문 Results의 순서다.	Introduction 마지막 또는 Results overview 첫 그림.	이 그림은 '왜 지금 공개 데이터만으로도 쓸 말이 있는가'와 '왜 병원 serial CTC 데이터가 여전히 필요한가'를 동시에 보여준다.	이 그림만으로 thyroidectomy 후 CTC-EMT transition이 증명됐다고 말하지 않는다.
PF02	PF02_data_provenance_map.png	데이터 출처와 역할 정의	각 데이터가 무슨 일을 하는지, 그리고 어디까지 못 하는지를 한 화면에 고정한다.	TCGA-THCA, GSE250521 spatial, PTC scRNA, K-THYRO proteomics proxy, Yu 2024, future cohort, vendor workflow.	각 박스의 첫 줄은 데이터 레이어, 둘째 줄은 사용 목적, 마지막 limit 문장은 금지 claim이다.	Methods/Data overview와 Reviewer defense에 사용.	공개 데이터는 CTC를 직접 보여주는 게 아니라 tissue-state와 marker/ROI/genotype prior를 만든다.	public pilot이 CTC shedding을 증명한다는 문장은 금지.
PF03	PF03_marker_to_ngs_map.png	Marker-to-NGS 해석 구조	CTC phenotype만으로 과장하지 않고, clone anchoring을 요구하는 과학적 안전장치.	CTC-EMT marker prior table, thyroid-lineage markers, thyroid cancer driver/private variant logic.	Epithelial/hybrid/mesenchymal/thyroid-lineage/survival modules가 CTC fraction state로 모이고, 오른쪽 tumor-informed NGS가 clone identity를 확인한다.	Results 5 또는 prospective study design의 핵심 schematic.	표현형은 후보 신호이고, NGS는 그 신호가 진짜 tumor-derived인지 묻는 장치다.	marker co-expression을 viable metastasis나 recurrence predictor로 말하지 않는다.
PF04	PF04_dataset_gap_bridge.png	빠진 데이터셋과 제안서 필요성	왜 Samsung/Yu prospective cohort가 필요한지 가장 직접적으로 설명한다.	serial CTC-NGS dataset gap map, public dataset inventory, Samsung study design.	위의 다섯 구성요소가 public dataset에서 동시에 빠져 있다. 아래는 public data가 할 수 있는 일과 prospective cohort가 해야 할 일을 나눈다.	Discussion 또는 proposal justification.	공개 데이터는 prior를 만들지만, thyroidectomy라는 perturbation test는 새 cohort 없이는 불가능하다.	public data만으로 postoperative outcome association을 주장하지 않는다.
PF05	PF05_claim_boundary_matrix.png	허용 claim / 금지 claim	리뷰어가 가장 먼저 공격할 부분을 우리가 먼저 제한한다.	claim boundary reports, Samsung reviewer defense table, no-Yu feasibility report.	왼쪽은 논문/제안서에서 써도 되는 문장, 오른쪽은 쓰면 안 되는 문장이다.	Reviewer response, internal decision memo, Discussion limitations.	이 프로젝트의 강점은 데이터가 아직 없는 부분을 숨기지 않고 정확히 다음 실험으로 넘긴다는 점이다.	defensive slide가 아니라 scientific scope control로 제시해야 한다.
PF06	PF06_figure_table_roadmap.png	Figure/Table 논문 배치도	각 그림이 논문 어디에 들어가는지 고정해 writing drift를 막는다.	figure_table_manifest.tsv.	각 박스는 paper item, 제목, manuscript position, data source를 같이 보여준다.	논문 outline과 slide deck 제작 control sheet.	그림을 많이 넣되, 모든 그림이 본문 주장 하나를 책임지게 만든다.	장식용 figure나 출처 없는 figure는 사용하지 않는다.
PF07	PF07_reviewer_to_figure_map.png	리뷰어 공격 대응 지도	예상 공격을 figure/table support와 바로 연결한다.	reviewer defense logic, claim boundary table, figure manifest.	왼쪽은 공격, 가운데는 대응 그림/표, 오른쪽은 짧은 답변이다.	Samsung 발표 Q&A, rebuttal 준비, professor briefing.	가장 위험한 공격은 'public pilot has no CTC'인데, 답은 '맞다. 그래서 marker-prior evidence로만 쓴다'이다.	방어를 위해 새 claim을 만들지 않는다.
PF08	PF08_cv2_visual_atlas.png	CV2 Visual Atlas	교수님이나 공동연구자에게 전체 흐름을 한 장으로 빠르게 보여주는 overview image.	paper-flow figures, no-Yu in silico figures, CV2 contact-sheet rendering.	위에서 아래로 보면 논리 흐름, 데이터 provenance, marker-NGS, gap, claim boundary, TCGA/spatial/scRNA/proteomics 근거가 순서대로 보인다.	Kakao update, meeting first slide, web hero visual.	이 한 장은 '우리가 무엇을 이미 할 수 있고, 무엇은 병원 데이터가 와야 하는지'를 압축한다.	overview image라서 정량값의 원자료 표를 대체하지 않는다.
F03	F03_tcga_braf_state_split.png	BRAF-mutant PTC is not one state	driver mutation 하나로 biological state를 설명할 수 없다는 핵심 public-data 근거.	TCGA-THCA BRAF-mutant subset; tcga_braf_only_label_distribution.tsv.	BRAF-mutant tumors가 여러 vulnerability/tissue-state label로 분산된다. largest label이 약 33.2%라 나머지 66.8%는 다른 state다.	Results 2: mutation alone is insufficient.	수술 후 혈액 신호를 mutation만으로 해석하면 state biology를 놓칠 수 있다.	BRAF split은 CTC transition이나 recurrence를 증명하지 않는다.
F05	F05_spatial_tissue_state_organization.png	Spatial tissue states are organized	tissue-state가 무작위 transcript noise가 아니라 공간적으로 조직화된 상태임을 보조한다.	GSE250521 spatial transcriptomics; spatial_coherence_statistics.tsv; 16 slides, 57,144 spots.	same-niche coherence z-score가 16/16 slides에서 2를 넘는다. tissue-state label이 주변 spot과 함께 모이는 경향을 뜻한다.	Results 3: tissue context supports marker/ROI logic.	공간 조직화는 CTC 후보 신호가 어떤 tissue context에서 나올 수 있는지 묻는 근거다.	이 그림은 CTC origin proof가 아니다.
