slice_type	slice_value	n	known_positive_hits	precision	mean_selected_score	claim_boundary
hla_supertype	A02	20	18	0.9	0.694706689487211	top96 known-answer slice; descriptive only
hla_supertype	A33	8	8	1.0	0.7021322261432614	top96 known-answer slice; descriptive only
hla_supertype	A24	7	7	1.0	0.70990763623323	top96 known-answer slice; descriptive only
hla_supertype	A11	6	6	1.0	0.7045624477294775	top96 known-answer slice; descriptive only
hla_supertype	B15	4	4	1.0	0.6845349046856576	top96 known-answer slice; descriptive only
hla_supertype	B40	4	4	1.0	0.6927227928333817	top96 known-answer slice; descriptive only
hla_supertype	A01	3	3	1.0	0.7079111344538798	top96 known-answer slice; descriptive only
hla_supertype	A68	3	3	1.0	0.6995293597469591	top96 known-answer slice; descriptive only
hla_supertype	B27	3	3	1.0	0.7257522860575837	top96 known-answer slice; descriptive only
hla_supertype	B45	3	3	1.0	0.7062398975601142	top96 known-answer slice; descriptive only
hla_supertype	B57	3	3	1.0	0.6865749572698429	top96 known-answer slice; descriptive only
hla_supertype	C03	3	3	1.0	0.7096760986416356	top96 known-answer slice; descriptive only
hla_supertype	C07	3	0	0.0	0.7099064399279019	top96 known-answer slice; descriptive only
hla_supertype	A31	2	2	1.0	0.6980152907894166	top96 known-answer slice; descriptive only
hla_supertype	B07	2	2	1.0	0.7062204407610765	top96 known-answer slice; descriptive only
hla_supertype	B38	2	2	1.0	0.68980490412351	top96 known-answer slice; descriptive only
hla_supertype	B44	2	2	1.0	0.7028439521483809	top96 known-answer slice; descriptive only
hla_supertype	A03	1	1	1.0	0.6986044318559709	top96 known-answer slice; descriptive only
hla_supertype	A23	1	1	1.0	0.7085336524978839	top96 known-answer slice; descriptive only
hla_supertype	A34	1	1	1.0	0.7514553156676113	top96 known-answer slice; descriptive only
hla_supertype	A36	1	1	1.0	0.6919266087492258	top96 known-answer slice; descriptive only
hla_supertype	A66	1	1	1.0	0.6874935063920947	top96 known-answer slice; descriptive only
hla_supertype	A74	1	1	1.0	0.7088508986976766	top96 known-answer slice; descriptive only
hla_supertype	B35	1	1	1.0	0.750293614597942	top96 known-answer slice; descriptive only
hla_supertype	B37	1	1	1.0	0.7631325107455366	top96 known-answer slice; descriptive only
hla_supertype	B49	1	1	1.0	0.6843691672757861	top96 known-answer slice; descriptive only
hla_supertype	B50	1	1	1.0	0.6929111639518476	top96 known-answer slice; descriptive only
hla_supertype	B53	1	1	1.0	0.6939255039525337	top96 known-answer slice; descriptive only
hla_supertype	B54	1	1	1.0	0.7505029165673915	top96 known-answer slice; descriptive only
hla_supertype	B58	1	1	1.0	0.7246756791752579	top96 known-answer slice; descriptive only
hla_supertype	C01	1	1	1.0	0.7207844869636716	top96 known-answer slice; descriptive only
hla_supertype	C05	1	1	1.0	0.707667543707476	top96 known-answer slice; descriptive only
hla_supertype	C08	1	1	1.0	0.6809277172558509	top96 known-answer slice; descriptive only
hla_supertype	C12	1	1	1.0	0.6992389525677534	top96 known-answer slice; descriptive only
hla_supertype	C14	1	1	1.0	0.685300698577998	top96 known-answer slice; descriptive only
impact_lane	ASSAY_POSITIVE_CONTROL_OVERLAP_BLOCKED	71	71	1.0	0.7008292592753174	top96 known-answer slice; descriptive only
impact_lane	SUPPORTING_RESERVE	20	20	1.0	0.7089634969287572	top96 known-answer slice; descriptive only
impact_lane	LABEL_NOISE_RESCUE	5	0	0.0	0.7019874495342592	top96 known-answer slice; descriptive only
leakage_risk_level	high	96	91	0.9479166666666666	0.702584214529104	top96 known-answer slice; descriptive only
source_name	CEDAR	94	89	0.9468085106382979	0.7025165543392664	top96 known-answer slice; descriptive only
source_name	ITSNdb_main	2	2	1.0	0.705764243451463	top96 known-answer slice; descriptive only
split_korean_hla_focus	not_korean_hla_focus	58	58	1.0	0.7020825380972024	top96 known-answer slice; descriptive only
split_korean_hla_focus	korean_hla_focus	38	33	0.868421052631579	0.7033499311883219	top96 known-answer slice; descriptive only
