rank	topic	short_name	grade	high_if_template	local_support	risk	decision
1	H1	CNV-residual spatial ecosystem	A-	Genome evolution plus spatial ecotype plus thyroid residual class	cBio ARMDRIVER p=1.6e-7; OR 41.1; stratified robustness; spatial axes available	Needs spatial-CNV bridge	Flagship
2	H2	Spatial phylogeography of driver-negative THCA	B+	CalicoST-style CNA clone geography from spatial transcriptomics	Strong arm-CNV signature; Visium data available	Method execution and validation burden	Do next
3	H3	Multimodal visibility boundary	B+	TITAN/Haiku/HEX-style evidence-grounded retrieval	TROP2 retrieval rho 0.532 and AUROC 0.825; DM/RAI weak as useful negative	Needs real WSI embeddings	Companion
4	H4	Thyroid spatial ecotypes	B+	Nature spatial ecotypes	TROP2/CAF/TLS/immune/RAI modules already scored	Needs robust ecotype construction	Integrate
5	H5	CAF/ECM lineage suppression	B+	Cancer Cell CAF neighborhoods	DCN/COL1A2/SFRP2/COL1A1 ligands; CAF/M1_M2 vs RAI negative	Stromal abundance confounding	Mechanism layer
6	H6	TROP2 spatial niche	A-	Virtual spatial proteomics and spatial marker rediscovery	TROP2 Moran d=4.99; retrieval AUROC 0.825	Standalone marker/ADC story crowded	Sub-aim
7	H7	Immune-rich protective thyroid ecotype	B+	Spatial ecotype clinical association	DSS M1_M2 HR 0.347 p=0.005; CD8 HR 0.277 p=0.011	Hashimoto vs antitumor separation	Sub-aim
8	H8	ATC ecosystem rewiring	B	Multicellular rewiring in cancer progression	ATC myeloid/checkpoint signals; GATCI advanced-CNA context	n=4 spatial ATC	Exploratory
9	H9	DICER1/DGCR8 compartment route	B+	Rare genotype with compartment-resolved progression	GeoMx PDTC vs microPTC lineage/HLA shifts	Genotype-histology confounding	Secondary
10	H10	NIS/SLC5A5 non-methylation escape	B	Mechanistic exception within lineage silencing	SLC5A5 methylation null; other thyroid genes methylation-strong	Needs histone/TF/miRNA evidence	Follow-up
11	H11	TERT-only microclass	C	Residual clinical risk class	TERT log-rank strong in recovered data	n too small; known biology	Do not lead
12	H12	GLS/metabolic vulnerability	C+	Functional dependency angle	Some pan-cancer dependency signal	Weak thyroid model coverage; wet-lab required	Hold
