Term	NES	FDR q-val	gene_set_source
Hallmark_EMT	-1.1552328265011345	1.1571340819202089e-17	proxy
Hallmark_Hypoxia	-0.375761774515938	0.007351786641244865	proxy
Hallmark_Oxidative_Phosphorylation	0.8493062498328736	1.3782611106762381e-07	proxy
Hallmark_TGF_beta	-1.2001256655386088	3.9999568407593834e-17	proxy
Hallmark_Inflammatory_Response	-1.2445270563272501	7.275825102399205e-22	proxy
Hallmark_E2F_Targets	-0.6103891824761649	0.00010187711204999745	proxy
Hallmark_G2M_Checkpoint	-0.41760088370843973	0.005432679706790208	proxy
Hallmark_Apoptosis	-1.391453115015924	6.088343391582093e-25	proxy
Hallmark_MTORC1	0.2854973774284201	0.04346899725785395	proxy
Hallmark_Interferon_Gamma	-1.0978134686562384	1.6967746413584433e-16	proxy
