claim_id	location	exact_claim	cohort	endpoint	n	effect	ci	p	model	reference_direction	evidence_file	evidence_locator	status	action
C-T01	v2 title	"A thyroid-lineage state predicts radioiodine-refractoriness"	TCGA-THCA	RAI response (unmeasured)	504	—	—	—	—	OVERCLAIM: study has no direct RAI uptake or response measurement	CLAIM_LANGUAGE_MATRIX.md	Working title rule	OVERCLAIM	AUTHOR DECISION REQUIRED: change "predicts radioiodine-refractoriness" to "marks radioiodine-refractory biology" or "stratifies outcomes and aligns with RAI-refractory PTC"
C-ABS01	v2 abstract	"DM1 is associated with overall survival (pooled hazard ratio 2.53, 95% CI 1.31-4.89; I^2 = 0%)"	TCGA+MSK pooled	Overall survival	621	HR 2.53	1.31–4.89	—	Cox + DerSimonian-Laird random-effects	DM1 vs DM2; DIRECTION UNVERIFIED from model output	AUDIT_LOCKED_RESULTS.md S-01/S-03	STAR_methods line 204	DIRECTION UNKNOWN	Verify reference group (DM1 as test group vs DM2 as reference); confirm OS not PFI for pooled estimate
C-ABS02	v2 abstract	"DM1 stratifies progression-free interval within BRAF+ tumours (HR = 0.66, 95% CI 0.48-0.92, log-rank p = 7.6 x 10^-3)"	TCGA-THCA	Progression-free interval	287 (33 events)	HR 0.66	0.48–0.92	0.013 (Cox); log-rank 7.6e-3	Cox PH + log-rank	UNVERIFIED: which state is numerator? HR<1 per +1 SD DM1 score would mean higher DM1 score → lower PFI hazard, which is biologically counterintuitive for the iodine-loss state	AUDIT_LOCKED_RESULTS.md S-04	v2 line 78	DIRECTION UNKNOWN	AUTHOR CONFIRMATION REQUIRED: verify from source code model output which direction is adverse
C-ABS03	v2 abstract	"IHC 3-plex ... positioning the finding for immediate translational deployment"	TCGA-THCA (HM450 proxy)	PFI stratification	BRAF+ subset	—	—	1.7e-4 (log-rank)	—	"Immediate deployment" exceeds study scope; result is methylation proxy not actual IHC staining	CLAIM_LANGUAGE_MATRIX.md	IHC proxy row	OVERCLAIM	Replace "immediate translational deployment" with "candidate for institutional IHC-based pilot study" or "motivates retrospective IHC validation"
C-ABS04	v2 abstract	"candidate treatment-selection framework"	TCGA-THCA	PFI interaction	472	—	—	—	—	Single-cohort interaction result; no treatment arm; cannot be a treatment-selection framework without treatment comparison	CLAIM_LANGUAGE_MATRIX.md	BRAF-stratified PFI row	OVERCLAIM	Replace "treatment-selection framework" with "candidate pretreatment risk stratifier" or retain with qualifier "subject to prospective validation" already present
C-D01	v2 Results §1	"DM1 accounted for 28.4% of primary tumours"	TCGA-THCA	Cluster proportion	504	28.4%	—	—	KMeans k=2	—	AUDIT_LOCKED_RESULTS.md D-02	04_results.md §2.1	VERIFIED	—
C-D02	v2 Results §1	"pan-genome top 5000 ... reproduced the eight-gene partition with ARI = 0.92"	TCGA-THCA	ARI vs 8-gene partition	504	0.92	—	—	Unsupervised KMeans	Compared: pan-genome partition vs 8-gene DM labels	AUDIT_LOCKED_RESULTS.md D-03	04_results.md §2.1	VERIFIED	Confirm compared partitions are both KMeans k=2
C-D03	v2 Results §1	"driver-anchor genes alone produced no meaningful recovery (ARI = -0.007)"	TCGA-THCA	ARI	504	-0.007	—	—	Unsupervised KMeans	Compared: driver-anchor partition vs 8-gene DM labels	AUDIT_LOCKED_RESULTS.md D-04	04_results.md §2.1	VERIFIED	Confirm seed stability across iterations
C-D04	v2 Results §1	"BRAF expression was indistinguishable ... (Cohen's d = -0.044, Mann-Whitney p = 0.57)"	TCGA-THCA	BRAF mRNA level	273 vs 182	d=-0.044	—	0.57	Mann-Whitney	BRAF V600E+ vs wild-type	AUDIT_LOCKED_RESULTS.md D-05/D-06	04_results.md §2.1	VERIFIED	—
C-DM01	v2 Results §2	"recovered 131 of 180 BRAF/TERT-negative TCGA tumours into a defined DM1 or DM2 state, corresponding to 73%"	TCGA-THCA	Dark matter recovery	180 dark matter	73%	—	—	DM1/DM2 classification	—	AUDIT_LOCKED_RESULTS.md DM-01	04_results.md §2.2	VERIFIED	Confirm denominator = BRAF V600E-negative AND TERT promoter-negative (Xing 2014 definition)
