column	type	description
row_id	string	CROSS-Neo candidate row_id. Required when available.
peptide	string	Mutant peptide sequence.
hla_4digit	string	HLA allele, e.g. HLA-A*02:01.
wildtype_peptide	string	Matched WT peptide. Required for specificity claim.
decoy_peptide	string	Anchor-preserved or scrambled decoy peptide.
assay_date	string	YYYY-MM-DD if available.
batch_id	string	Assay batch or plate identifier.
assay_type	enum	hla_stability|multimer|tcr_reporter|elispot|ics|activation_marker|killing.
antigen_type	enum	mutant|wildtype|decoy|irrelevant|positive_control|background.
mutant_signal	float	Mutant condition signal in assay units.
wt_signal	float	Matched WT signal in same units.
decoy_signal	float	Decoy signal in same units.
irrelevant_signal	float	Irrelevant pHLA/peptide control signal.
background_signal	float	No peptide, vehicle, unstimulated, or assay background signal.
positive_control_signal	float	Positive control signal.
replicate_n	integer	Number of biological or technical replicates summarized.
signal_units	string	MFI, spots/1e5 cells, %positive, %lysis, etc.
pass_threshold	float	Pre-specified pass threshold in signal units or fold-change.
mutant_positive	bool	Whether mutant condition passes assay-specific threshold.
wt_positive	bool	Whether WT condition is positive. Positive WT blocks mutant-specific claim.
decoy_positive	bool	Whether decoy condition is positive. Positive decoy blocks specificity claim.
specificity_pass	bool	Mutant exceeds WT/decoy/irrelevant under matched conditions.
presentation_pass	bool	HLA binding/stability/MS presentation pass.
recognition_pass	bool	TCR/multimer/reporter recognition pass.
activation_pass	bool	ELISpot/ICS/CD137/cytokine activation pass.
killing_pass	bool	Target-cell killing pass.
notes	string	Free-text caveat. Do not use this as a model label.
