item	requirement	why
NEO-PRIOR-01	State whether the study is vaccine triage, immunogenicity prediction, binding/presentation prediction, or benchmark comparison.	Prevents treating all peptide-HLA scores as the same biological endpoint.
NEO-PRIOR-02	Report exact peptide-HLA, exact peptide, near-peptide and source-protein overlap against train and public corpora.	Separates true generalization from retrieval/memorization-sensitive gains.
NEO-PRIOR-03	Use train-only retrieval, preprocessing, scaling, calibration, feature selection and threshold selection.	Prevents test-fold leakage.
NEO-PRIOR-04	Include exact, near, source/study, HLA allele, HLA supertype and time/assay holdouts when feasible.	Random splits are insufficient for personalized vaccine deployment.
NEO-PRIOR-05	Report AUPRC, top5/top10 precision, enrichment over prevalence and recall@k as primary metrics.	Vaccine manufacture is a top-k decision under low prevalence.
NEO-PRIOR-06	Report AUROC only as a secondary metric.	AUROC can look acceptable while top-k utility collapses.
NEO-PRIOR-07	Treat negative labels as potentially ambiguous unless assay design proves true non-immunogenicity.	Many neoantigen negatives are untested, assay-limited or context-dependent.
NEO-PRIOR-08	Report calibration, Brier/ECE and OOD/abstention coverage.	Deployment needs confidence-aware candidate triage.
NEO-PRIOR-09	Separate public predictor scores used as comparators from model training features.	Clean claims require avoiding benchmark-comparator leakage.
NEO-PRIOR-10	Publish a data provenance table mapping each dataset to its role and claim boundary.	Makes clinical, benchmark and product claims auditable.
