source_a	source_b	jaccard_pepHLA	jaccard_pep_only	n_overlap	n_a	n_b
ITSNdb_Val	NEPdb	0.19089316987740806	0.2459016393442623	109	120	560
ITSNdb_main	NEPdb	0.10802919708029197	0.13493530499075784	74	199	560
ITSNdb_main	TESLA_mmc7_validation	0.007920792079207921	0.008064516129032258	4	199	310
NEPdb	TESLA_mmc7_validation	0.005780346820809248	0.006993006993006993	5	560	310
CEDAR	TESLA_mmc4	0.0026490066225165563	0.0026490066225165563	4	909	605
NEPdb	TESLA_mmc4	0.000859106529209622	0.0009794319294809011	1	560	605
CEDAR	ITSNdb_Val	0.0	0.0	0	909	120
ITSNdb_main	venus_test	0.0	0.0	0	199	78
TESLA_mmc7_validation	venus_valid	0.0	0.0	0	310	78
TESLA_mmc7_validation	venus_test	0.0	0.0	0	310	78
TESLA_mmc4	venus_valid	0.0	0.0	0	605	78
TESLA_mmc4	venus_test	0.0	0.0	0	605	78
TESLA_mmc4	TESLA_mmc7_validation	0.0	0.0	0	605	310
NEPdb	venus_valid	0.0	0.0	0	560	78
NEPdb	venus_test	0.0	0.0	0	560	78
ITSNdb_main	venus_valid	0.0	0.0	0	199	78
ITSNdb_main	TESLA_mmc4	0.0	0.0	0	199	605
CEDAR	ITSNdb_main	0.0	0.0	0	909	199
ITSNdb_Val	venus_valid	0.0	0.0	0	120	78
ITSNdb_Val	venus_test	0.0	0.0	0	120	78
ITSNdb_Val	TESLA_mmc7_validation	0.0	0.0	0	120	310
ITSNdb_Val	TESLA_mmc4	0.0	0.0	0	120	605
ITSNdb_Val	ITSNdb_main	0.0	0.0	0	120	199
CEDAR	venus_valid	0.0	0.0	0	909	78
CEDAR	venus_test	0.0	0.0	0	909	78
CEDAR	TESLA_mmc7_validation	0.0	0.0	0	909	310
CEDAR	NEPdb	0.0	0.0	0	909	560
venus_test	venus_valid	0.0	0.0	0	78	78
