sample_id	dataset	condition	n_spots	mean_RAI_8_score_raw_all	mean_RAI_8_score_raw_epi50	mean_RAI_8_score_raw_epi25	mean_DM1_like_score_raw_all	mean_DM1_like_score_raw_epi50	mean_DM1_like_score_raw_epi25	mean_TDS_overlap_score_raw_all	mean_Epithelial_score_raw_all	mean_Proliferation_score_raw_all	mean_THYROID_NONOVERLAP_score_raw_all	mean_THYROID_NONOVERLAP_score_resid_epi25	mean_DM1_like_score_resid_epi25	available_normalizations	notes
GSM7980860_N-1	GSE250521	PT	3395	1.0609351988325815e-07	0.15750012883785042	0.18172119094507655	-1.0609351988325815e-07	-0.15750012883785042	-0.18172119094507655	1.3632920766008485e-07	6.6919175196116746e-09	-5.002238582507766e-09				raw_within_sample_z; sample-level depth-corrected residual via depth_corrected_trend.py (epi-only, score-level)	Cancer progression cohort; depth-corrected per-gene residualization not in original scoring run; refer to depth_corrected_trend.csv for sample-mean resid trend
GSM7980861_N-2	GSE250521	PT	3780	-1.4793921693134817e-07	0.14018272038431748	0.14595936417149208	1.4793921693134817e-07	-0.14018272038431748	-0.14595936417149208	-1.8212848941864593e-07	-2.8210743386475247e-08	6.334656064602371e-09				raw_within_sample_z; sample-level depth-corrected residual via depth_corrected_trend.py (epi-only, score-level)	Cancer progression cohort; depth-corrected per-gene residualization not in original scoring run; refer to depth_corrected_trend.csv for sample-mean resid trend
GSM7980862_N-3	GSE250521	PT	4538	-8.361277170460809e-08	0.06586754906078449	0.05824406671495153	8.361277170460809e-08	-0.06586754906078449	-0.05824406671495153	-1.0573617144319376e-07	9.105363632168714e-10	1.841303856969826e-08				raw_within_sample_z; sample-level depth-corrected residual via depth_corrected_trend.py (epi-only, score-level)	Cancer progression cohort; depth-corrected per-gene residualization not in original scoring run; refer to depth_corrected_trend.csv for sample-mean resid trend
GSM7980863_N-4	GSE250521	PT	3027	-1.0521968959960302e-09	0.10170035949176354	0.07595259290832233	1.0521968959960302e-09	-0.10170035949176354	-0.07595259290832233	1.0260042947458309e-08	-5.645844730831918e-08	-8.440961352342214e-09				raw_within_sample_z; sample-level depth-corrected residual via depth_corrected_trend.py (epi-only, score-level)	Cancer progression cohort; depth-corrected per-gene residualization not in original scoring run; refer to depth_corrected_trend.csv for sample-mean resid trend
GSM7980864_PTC-1	GSE250521	PTC	2262	1.0484491600083869e-08	0.09421232553704686	0.02957369075583039	-1.0484491600083869e-08	-0.09421232553704686	-0.02957369075583039	1.304074845398164e-08	2.69300875298431e-08	1.7203585307870665e-08				raw_within_sample_z; sample-level depth-corrected residual via depth_corrected_trend.py (epi-only, score-level)	Cancer progression cohort; depth-corrected per-gene residualization not in original scoring run; refer to depth_corrected_trend.csv for sample-mean resid trend
GSM7980865_PTC-2	GSE250521	PTC	4947	-2.862209419859013e-09	0.07716841894753032	0.03808377184648343	2.862209419859013e-09	-0.07716841894753032	-0.03808377184648343	-4.500378006333721e-09	7.71127895705839e-08	5.75607843436835e-09				raw_within_sample_z; sample-level depth-corrected residual via depth_corrected_trend.py (epi-only, score-level)	Cancer progression cohort; depth-corrected per-gene residualization not in original scoring run; refer to depth_corrected_trend.csv for sample-mean resid trend
GSM7980866_PTC-3	GSE250521	PTC	4516	6.630918954949032e-08	0.06179945100516386	0.05406362806028344	-6.630918954949032e-08	-0.06179945100516386	-0.05406362806028344	5.194964271455538e-08	-1.6949568198735268e-08	9.818645268155399e-09				raw_within_sample_z; sample-level depth-corrected residual via depth_corrected_trend.py (epi-only, score-level)	Cancer progression cohort; depth-corrected per-gene residualization not in original scoring run; refer to depth_corrected_trend.csv for sample-mean resid trend
GSM7980867_PTC-4	GSE250521	PTC	4498	1.8370766514845645e-08	0.14340321816582383	0.13655853324201775	-1.8370766514845645e-08	-0.14340321816582383	-0.13655853324201775	3.3477710094538456e-08	-1.747130724823036e-08	-2.73557581902782e-09				raw_within_sample_z; sample-level depth-corrected residual via depth_corrected_trend.py (epi-only, score-level)	Cancer progression cohort; depth-corrected per-gene residualization not in original scoring run; refer to depth_corrected_trend.csv for sample-mean resid trend
GSM7980868_LPTC-1	GSE250521	LPTC	1520	-3.279839454414644e-08	0.0768261949507425	0.08331377653447368	3.279839454414644e-08	-0.0768261949507425	-0.08331377653447368	-3.920139473736016e-08	4.803924079001046e-08	7.828532891531269e-09				raw_within_sample_z; sample-level depth-corrected residual via depth_corrected_trend.py (epi-only, score-level)	Cancer progression cohort; depth-corrected per-gene residualization not in original scoring run; refer to depth_corrected_trend.csv for sample-mean resid trend
GSM7980869_LPTC-2	GSE250521	LPTC	4071	-2.243927683856984e-08	0.2774129189927427	0.4785558808802495	2.243927683856984e-08	-0.2774129189927427	-0.4785558808802495	-2.1686460332747034e-08	1.896912304898732e-08	-9.08759518685726e-09				raw_within_sample_z; sample-level depth-corrected residual via depth_corrected_trend.py (epi-only, score-level)	Cancer progression cohort; depth-corrected per-gene residualization not in original scoring run; refer to depth_corrected_trend.csv for sample-mean resid trend
