table	dataset	score	scope	version	n	spearman_rho	spearman_p	pearson_r	pearson_p	flag	interpretation
independent_lineage_validation	GSE230424	DM1_like vs THYROID_NONOVERLAP	all_spots	raw	14133	-0.6778991184603385	0.0	-0.6543048029526817	0.0		DM1_like vs THYROID_NONOVERLAP — true independent lineage check (no overlap with 8-gene)
independent_lineage_validation	GSE230424	DM1_like vs THYROID_NONOVERLAP	all_spots	resid	14133	-0.4907277373778117	0.0	-0.488155572164167	0.0		DM1_like vs THYROID_NONOVERLAP — true independent lineage check (no overlap with 8-gene)
independent_lineage_validation	GSE248205	DM1_like vs THYROID_NONOVERLAP	all_spots	raw	15550	-0.5916398323344473	0.0	-0.592702430229072	0.0		DM1_like vs THYROID_NONOVERLAP — true independent lineage check (no overlap with 8-gene)
independent_lineage_validation	GSE248205	DM1_like vs THYROID_NONOVERLAP	all_spots	resid	15550	-0.4237188283680889	0.0	-0.4512621022011145	0.0		DM1_like vs THYROID_NONOVERLAP — true independent lineage check (no overlap with 8-gene)
independent_lineage_validation	GSE230424	DM1_like vs THYROID_NONOVERLAP	sample_mean_all	raw	4	0.1999999999999999	0.8	-0.0431972882257185	0.9568027117742814		DM1_like vs THYROID_NONOVERLAP at sample-mean (all)
independent_lineage_validation	GSE230424	DM1_like vs THYROID_NONOVERLAP	sample_mean_epi50	raw	4	-1.0	0.0	-0.9079401692940424	0.0920598307059576		DM1_like vs THYROID_NONOVERLAP at sample-mean (epi50)
independent_lineage_validation	GSE230424	DM1_like vs THYROID_NONOVERLAP	sample_mean_epi25	raw	4	-0.7999999999999999	0.2000000000000001	-0.8901738446021238	0.1098261553978763		DM1_like vs THYROID_NONOVERLAP at sample-mean (epi25)
independent_lineage_validation	GSE230424	DM1_like vs THYROID_NONOVERLAP	sample_mean_all	resid	4	0.3999999999999999	0.6	0.2354598609066923	0.7645401390933078		DM1_like vs THYROID_NONOVERLAP at sample-mean (all)
independent_lineage_validation	GSE230424	DM1_like vs THYROID_NONOVERLAP	sample_mean_epi50	resid	4	-1.0	0.0	-0.99229985472452	0.0077001452754801		DM1_like vs THYROID_NONOVERLAP at sample-mean (epi50)
independent_lineage_validation	GSE230424	DM1_like vs THYROID_NONOVERLAP	sample_mean_epi25	resid	4	-0.7999999999999999	0.2000000000000001	-0.8855376804163091	0.1144623195836909		DM1_like vs THYROID_NONOVERLAP at sample-mean (epi25)
independent_lineage_validation	GSE248205	DM1_like vs THYROID_NONOVERLAP	sample_mean_all	raw	8	-0.7619047619047621	0.0280049391530718	-0.6804112023543244	0.0632948920800435		DM1_like vs THYROID_NONOVERLAP at sample-mean (all)
independent_lineage_validation	GSE248205	DM1_like vs THYROID_NONOVERLAP	sample_mean_epi50	raw	8	-0.9761904761904764	3.314396026200098e-05	-0.952856443924328	0.0002527687647699		DM1_like vs THYROID_NONOVERLAP at sample-mean (epi50)
independent_lineage_validation	GSE248205	DM1_like vs THYROID_NONOVERLAP	sample_mean_epi25	raw	8	-0.9761904761904764	3.314396026200098e-05	-0.9875673132915304	4.759666886352331e-06		DM1_like vs THYROID_NONOVERLAP at sample-mean (epi25)
independent_lineage_validation	GSE248205	DM1_like vs THYROID_NONOVERLAP	sample_mean_all	resid	8	0.1904761904761905	0.6514014957024814	0.2404759603301334	0.5661890148104232		DM1_like vs THYROID_NONOVERLAP at sample-mean (all)
independent_lineage_validation	GSE248205	DM1_like vs THYROID_NONOVERLAP	sample_mean_epi50	resid	8	-0.880952380952381	0.0038503204637324	-0.9835697384701192	1.0952324856746703e-05		DM1_like vs THYROID_NONOVERLAP at sample-mean (epi50)
independent_lineage_validation	GSE248205	DM1_like vs THYROID_NONOVERLAP	sample_mean_epi25	resid	8	-0.880952380952381	0.0038503204637324	-0.995775779417616	1.878463837366856e-07		DM1_like vs THYROID_NONOVERLAP at sample-mean (epi25)
technical_confounding	GSE230424	RAI_8_score_raw	all_spots_vs_log_total_counts	raw	14133	0.5250977996463394	0.0			⚠️ depth-confound	Score ~ log_total_counts confound check; |ρ|>0.30 flagged
technical_confounding	GSE230424	DM1_like_score_raw	all_spots_vs_log_total_counts	raw	14133	-0.5250977996463394	0.0			⚠️ depth-confound	Score ~ log_total_counts confound check; |ρ|>0.30 flagged
technical_confounding	GSE230424	RAI_8_score_resid	all_spots_vs_log_total_counts	resid	14133	0.0486943146475044	6.962959406502137e-09			ok	Score ~ log_total_counts confound check; |ρ|>0.30 flagged
technical_confounding	GSE230424	DM1_like_score_resid	all_spots_vs_log_total_counts	resid	14133	-0.0486943146475044	6.962959406502137e-09			ok	Score ~ log_total_counts confound check; |ρ|>0.30 flagged
technical_confounding	GSE230424	THYROID_NONOVERLAP_score_raw	all_spots_vs_log_total_counts	raw	14133	0.541594583405772	0.0			⚠️ depth-confound	Score ~ log_total_counts confound check; |ρ|>0.30 flagged
technical_confounding	GSE230424	THYROID_NONOVERLAP_score_resid	all_spots_vs_log_total_counts	resid	14133	0.0447775991484107	1.0069570702760873e-07			ok	Score ~ log_total_counts confound check; |ρ|>0.30 flagged
technical_confounding	GSE248205	RAI_8_score_raw	all_spots_vs_log_total_counts	raw	15550	0.3018068576401589	0.0			⚠️ depth-confound	Score ~ log_total_counts confound check; |ρ|>0.30 flagged
technical_confounding	GSE248205	DM1_like_score_raw	all_spots_vs_log_total_counts	raw	15550	-0.3018068576401589	0.0			⚠️ depth-confound	Score ~ log_total_counts confound check; |ρ|>0.30 flagged
technical_confounding	GSE248205	RAI_8_score_resid	all_spots_vs_log_total_counts	resid	15550	-0.0016644993789532	0.8355835265535433			ok	Score ~ log_total_counts confound check; |ρ|>0.30 flagged
technical_confounding	GSE248205	DM1_like_score_resid	all_spots_vs_log_total_counts	resid	15550	0.0016644993789532	0.8355835265535433			ok	Score ~ log_total_counts confound check; |ρ|>0.30 flagged
technical_confounding	GSE248205	THYROID_NONOVERLAP_score_raw	all_spots_vs_log_total_counts	raw	15550	0.3284834630155037	0.0			⚠️ depth-confound	Score ~ log_total_counts confound check; |ρ|>0.30 flagged
technical_confounding	GSE248205	THYROID_NONOVERLAP_score_resid	all_spots_vs_log_total_counts	resid	15550	0.00190202385698	0.8125304662085958			ok	Score ~ log_total_counts confound check; |ρ|>0.30 flagged
