accession	is_thyroid	is_spatial	novel	n_samples	taxon	platform	publication_date	entry_type	title	summary	suppfile
GSE305267	1	1	1	368	Homo sapiens	24676	2025/08/12	GSE	Microbial signals in primary and metastatic brain tumors	Gliomas and brain metastases (BrM) are associated with poor prognosis, necessitating a deeper understanding of brain tumor biology and the development of effective therapeutic strategies. While our group and others have demonstrated microbial presence in various tumors, recent controversies regarding cancer-type-specific intra-tumoral microbiota emphasize the importance of rigo	TXT
GSE305978	1	1	1	1	Homo sapiens	33484	2025/08/22	GSE	Thyroid Hormone Promotes Fetal Neurogenesis [CosMx]	Maternal low thyroxine (T4) serum levels during the first trimester of pregnancy correlate with cerebral cortex volume and mental development of the progeny, but why neural cells during early fetal brain development are vulnerable to maternal T4 levels remains unknown. In this study, using iPSCs obtained from a boy with a loss-of-function mutation in MCT8—a transporter previous	CSV, RDS, ZIP
GSE308145	1	1	1	1	Homo sapiens	24676	2025/10/03	GSE	Systematic benchmarking of imaging spatial transcriptomics platforms in FFPE tissues - scRNA-seq Data	Emerging imaging spatial transcriptomics (iST) platforms and coupled analytical methods can recover cell-to-cell interactions, groups of spatially covarying genes, and gene signatures associated with pathological features, and are thus particularly well-suited for applications in formalin fixed paraffin embedded (FFPE) tissues. Here, we benchmark the performance of three commer	CSV, MTX, TSV
GSE317276	1	1	1	9	Homo sapiens	24676	2026/02/01	GSE	Integrated multi-platform metabolomics reveals fatty acid-mediated inflammatory signatures in pretibial myxedema	Context: Pretibial myxedema (PTM) is a refractory autoimmune dermopathy associated with Graves’ disease. Although metabolic dysregulation has been recognized in thyroid-associated disorders, the metabolic profile and its functional role in PTM remain unclear. Objective: To characterize the metabolic landscape of PTM lesions and explore the contribution of fatty acids to fibrobl	CSV
GSE318551	1	1	1	6	Mus musculus	23479	2026/02/05	GSE	TRalpha Deficiency Drives Sarcopenia by Disrupting Perimitochondrial Targeting of Pink1 mRNA and Mitophagy	Skeletal muscle-specific ablation of thyroid hormone receptor alpha (TRalpha) in young mice is sufficient to recapitulate key phenotypic hallmarks of age-related sarcopenia—including myofiber atrophy, exercise intolerance, and mitochondrial quality control failure—establishing receptor decline as a cell-autonomous driver of sarcopenia pathogenesis rather than a passive biomarke	TXT
GSM7221915	1	1	1		Homo sapiens	18573	2024/06/27	GSM	P1, ST-seq	thyroid	CSV, JPG, MTX, TSV
GSM7221916	1	1	1		Homo sapiens	18573	2024/06/27	GSM	P2, ST-seq	thyroid	CSV, JPG, MTX, TSV
GSM7221917	1	1	1		Homo sapiens	18573	2024/06/27	GSM	P3, ST-seq	thyroid	CSV, JPG, MTX, TSV
GSM7221918	1	1	1		Homo sapiens	18573	2024/06/27	GSM	P4, ST-seq	thyroid	CSV, JPG, MTX, TSV
GSM7306435	1	1	1		Mus musculus	24247	2023/11/16	GSM	10_day, scRNAseq (spatial)	Thyroid tissues	XLS
GSM7980860	1	1	1		Homo sapiens	24676	2025/02/16	GSM	N-1, replicate 1, 10X visium	Thyroid	CSV, JSON, MTX, PNG, TSV
GSM7980861	1	1	1		Homo sapiens	24676	2025/02/16	GSM	N-2, replicate 2, 10X visium	Thyroid	CSV, JSON, MTX, PNG, TSV
GSM7980862	1	1	1		Homo sapiens	24676	2025/02/16	GSM	N-3, replicate 3, 10X visium	Thyroid	CSV, JSON, MTX, PNG, TSV
GSM7980863	1	1	1		Homo sapiens	24676	2025/02/16	GSM	N-4, replicate 4, 10X visium	Thyroid	CSV, JSON, MTX, PNG, TSV
GSM7980864	1	1	1		Homo sapiens	24676	2025/02/16	GSM	PTC-1, replicate 1, 10X visium	Thyroid	CSV, JSON, MTX, PNG, TSV
GSM7980865	1	1	1		Homo sapiens	24676	2025/02/16	GSM	PTC-2, replicate 2, 10X visium	Thyroid	CSV, JSON, MTX, PNG, TSV
GSM7980866	1	1	1		Homo sapiens	24676	2025/02/16	GSM	PTC-3, replicate 3, 10X visium	Thyroid	CSV, JSON, MTX, PNG, TSV
GSM7980867	1	1	1		Homo sapiens	24676	2025/02/16	GSM	PTC-4, replicate 4, 10X visium	Thyroid	CSV, JSON, MTX, PNG, TSV
GSM7980868	1	1	1		Homo sapiens	24676	2025/02/16	GSM	LPTC-1, replicate 1, 10X visium	Thyroid	CSV, JSON, MTX, PNG, TSV
GSM7980869	1	1	1		Homo sapiens	24676	2025/02/16	GSM	LPTC-2, replicate 2, 10X visium	Thyroid	CSV, JSON, MTX, PNG, TSV
GSM7980870	1	1	1		Homo sapiens	24676	2025/02/16	GSM	LPTC-3, replicate 3, 10X visium	Thyroid	CSV, JSON, MTX, PNG, TSV
GSM7980871	1	1	1		Homo sapiens	24676	2025/02/16	GSM	LPTC-4, replicate 4, 10X visium	Thyroid	CSV, JSON, MTX, PNG, TSV
GSM7980872	1	1	1		Homo sapiens	24676	2025/02/16	GSM	ATC-1, replicate 1, 10X visium	Thyroid	CSV, JSON, MTX, PNG, TSV
GSM7980873	1	1	1		Homo sapiens	24676	2025/02/16	GSM	ATC-2, replicate 2, 10X visium	Thyroid	CSV, JSON, MTX, PNG, TSV
GSM7980874	1	1	1		Homo sapiens	24676	2025/02/16	GSM	ATC-3, replicate 3, 10X visium	Thyroid	CSV, JSON, MTX, PNG, TSV
GSM7980875	1	1	1		Homo sapiens	24676	2025/02/16	GSM	ATC-4, replicate 4, 10X visium	Thyroid	CSV, JSON, MTX, PNG, TSV
GSE230424	1	1	0	4	Homo sapiens	18573	2024/06/27	GSE	Spatial transcriptome gene expression profile in 2 patients with Hashimoto's thyroiditis and 2 patients with papillary thyroid cancer combined with Hashimoto's thyroiditis.	Hashimoto's thyroiditis and papillary thyroid cancer are the most common thyroid disorders. We used spatial transcriptome sequencing (ST-seq) to investigate their potential relationship.	CSV, JPG, MTX, TSV
GSE248205	1	1	0	8	Homo sapiens	24676	2024/06/06	GSE	Unraveling the molecular architecture of autoimmune thyroid diseases at spatial resolution	Autoimmune thyroid diseases (AITD) such as Graves' disease (GD) or Hashimoto's thyroiditis (HT) are organ-specific diseases related to complex interactions between distinct components of the thyroid ecosystem. We applied spatial transcriptomics (ST) to explore the molecular architecture and heterogeneity of different cells present in the thyroid tissue, including thyroid follic	
GSE250521	1	1	0	25	Homo sapiens	24676	2025/02/16	GSE	A Spatially Resolved Transcriptome Landscape during Thyroid Cancer Progression	Thyroid cancer ranks as the ninth most common cancer type in terms of incidence worldwide. Furthermore, the global incidence of thyroid cancer has been on the rise over the past decades.Spatial transcriptomics technology systematically profiles gene expression across tissue space by combing high-throughput RNA sequencing and imaging techniques. The applications of ST have revea	CSV, JSON, MTX, PNG, TSV
GSE168449	1	0	1	6	Homo sapiens	24676	2021/03/09	GSE	CircRNA circTIAM1 promotes papillary thyroid cancer progression through the miR-646/HNRNPA1 signaling pathway	Papillary thyroid cancer (PTC) is a common endocrine tumor with rapidly increasing incidence in recent years. Although the majority of PTC are relatively indolen and have a good prognosis, it still has a certain proportion of PTC which is highly aggressive with lymphatic metastasis, iodine resistance and easy to recur. Circular RNAs as an class of noncoding RNAs are linked to a	XLSX
GSE252574	1	0	1	2	Mus musculus	24247	2025/01/01	GSE	Neonatal Hypothyroidism Rearranges the 3D Chromatin Structure in the Liver	Children with congenital hypothyroidism (1 in every ~2,500 live births) may develop a dramatic neurological, muscle-skeleton, and metabolic syndrome due to insufficient thyroid hormone (TH) signaling during development 1-3. While the mechanisms involved remain largely unknown, it is well established that the condition is irreversible if treatment is not initiated during the imm	H5, HIC, WIG
GSE254669	1	0	1	254	Mus musculus	21493;24247;17021	2024/07/05	GSE	RNA-Seq data of mouse retina, retinal pigment epithelium and cones	The differentiation of cone photoreceptors, which mediate daylight vision and color vision, depends critically upon thyroid hormone.However, the route of access of blood-borne thyroid hormone to cones is undefined because cones reside behind the blood-retina barrier. This study uses genetic manipulation of a membrane transporter for thyroid hormone (Mct8) in mouse models to sho	CSV
GSM7908359	1	0	1		Homo sapiens	24676	2024/06/06	GSM	Thyroid – C1	Thyroid	
GSM7908360	1	0	1		Homo sapiens	24676	2024/06/06	GSM	Thyroid – C2	Thyroid	
GSM7908361	1	0	1		Homo sapiens	24676	2024/06/06	GSM	Thyroid – HT1	Thyroid	
GSM7908362	1	0	1		Homo sapiens	24676	2024/06/06	GSM	Thyroid – HT2	Thyroid	
GSM7908363	1	0	1		Homo sapiens	24676	2024/06/06	GSM	Thyroid – HT3	Thyroid	
GSM7908364	1	0	1		Homo sapiens	24676	2024/06/06	GSM	Thyroid – GD1	Thyroid	
GSM7908365	1	0	1		Homo sapiens	24676	2024/06/06	GSM	Thyroid – GD2	Thyroid	
GSM7908366	1	0	1		Homo sapiens	24676	2024/06/06	GSM	Thyroid – GD3	Thyroid	
GSM9076528	1	0	1		Homo sapiens	18573	2025/12/10	GSM	Patient 1_ROI 001_ PanCK+	Normal thyroid 1, non-DICER1-mutated, PanCK+	
GSM9076529	1	0	1		Homo sapiens	18573	2025/12/10	GSM	Patient 1_ROI 001_ VIM+	Normal thyroid 1, non-DICER1-mutated, VIM+	
GSM9076530	1	0	1		Homo sapiens	18573	2025/12/10	GSM	Patient 1_ROI 002_ PanCK+	Normal thyroid 2, non-DICER1-mutated, PanCK+	
GSM9076531	1	0	1		Homo sapiens	18573	2025/12/10	GSM	Patient 1_ROI 002_ VIM+	Normal thyroid 2, non-DICER1-mutated, VIM+	
GSM9076532	1	0	1		Homo sapiens	18573	2025/12/10	GSM	Patient 1_ROI 003_ PanCK+	Normal thyroid 3, non-DICER1-mutated, PanCK+	
GSM9076533	1	0	1		Homo sapiens	18573	2025/12/10	GSM	Patient 1_ROI 003_ VIM+	Normal thyroid 3, non-DICER1-mutated, VIM+	
GSM9076596	1	0	1		Homo sapiens	18573	2025/12/10	GSM	Patient 2_ROI 021_ PanCK+	Normal thyroid 1, DGCR8-mutated, PanCK+	
GSM9076597	1	0	1		Homo sapiens	18573	2025/12/10	GSM	Patient 2_ROI 021_ VIM+	Normal thyroid 1, DGCR8-mutated, VIM+	
GSM9076598	1	0	1		Homo sapiens	18573	2025/12/10	GSM	Patient 2_ROI 022_ PanCK+	Normal thyroid 2, DGCR8-mutated, PanCK+	
GSM9076599	1	0	1		Homo sapiens	18573	2025/12/10	GSM	Patient 2_ROI 022_ VIM+	Normal thyroid 2, DGCR8-mutated, VIM+	
GSM9076600	1	0	1		Homo sapiens	18573	2025/12/10	GSM	Patient 2_ROI 023_ PanCK+	Normal thyroid 3, DGCR8-mutated, PanCK+	
GSM9076601	1	0	1		Homo sapiens	18573	2025/12/10	GSM	Patient 2_ROI 023_ VIM+	Normal thyroid 3, DGCR8-mutated, VIM+	
GSE1133	0	1	1	438	Mus musculus; Homo sapiens	96;1073;1074	2004/03/19	GSE	tissue-specific pattern of mRNA expression	The tissue-specific pattern of mRNA expression can indicate important clues about gene function. High-density oligonucleotide arrays offer the opportunity to examine patterns of gene expression on a genome scale. Toward this end, we have designed custom arrays that interrogate the expression of the vast majority of protein-encoding human and mouse genes and have used them to pr	CEL
GSE115183	0	1	1	25	Arabidopsis thaliana	17133	2018/11/09	GSE	Mobile PEAR transcription factors integrate hormone and miRNA cues to prime cambial growth	In addition to apical growth, plants undergo radial growth to increase girth, a particularly prominent feature in trees. During both apical and radial growth the phytohormones auxin and cytokinins form symmetries that govern further growth patterns. But whereas the gene regulatory networks interpreting the hormonal fields during apical growth are well established, such networks	CEL
GSE129264	0	1	1	39	Mus musculus; Gallus gallus	9385;9250	2020/03/31	GSE	Sudden reduction of miRNAs during embryonic development-- cohort, buffered regulation of miRNA in Dorsal Root Ganglion	Micro RNAs (miRNA) are short, endogenous non-coding RNAs, they function via base pairing with complementary sequences with their targets. With the current advance in modern technologies including Next Generation Sequencing, miRNAs have rapidly emerged as important regulators in various functions in cell proliferation, differentiation, cell death and metabolisms. miRNAs showed s	XLSX
GSE150704	0	1	1	12	Mus musculus	21103	2021/11/30	GSE	Spatial Organization of Transcribed Eukaryotic Genes	The nuclear organization of the genome is accepted as an important feature of gene expression regulation. However, it has remained unknown what the spatial organization of a single transcribed gene is. Here, we made use of several long highly expressed mammalian genes to describe their structure and spatial arrangement during transcription. We demonstrate that an expressed gene	COOL
GSE214861	0	1	1	4	Mus musculus	24247	2023/10/12	GSE	Myelin-Associated Oligodendrocytic Basic Protein-Dependent Myelin Repair Confers the Long-lasting Antidepressant Effect of Ketamine	To examine ketamine’s long-lasting effects on gene expression in the brains of mice exhibiting depression-like behaviors, we used spatial transcriptomics (ST) to analyze transcriptomics on the cortices of mice exposed to chronic social defeat stress (CSDS) and treated with ketamine.	CSV, PDF, PNG, XLS
GSE270382	0	1	1	4	Mus musculus	24247	2024/12/16	GSE	Tau accumulation induces microglial state alterations in Alzheimer’s disease model mice (Spatial Transcriptomics)	Unique microglial states have been identified in Alzheimer’s disease (AD) model mice and postmortem AD brains. Although it has been well documented that amyloid-β accumulation induces the alteration of microglial states, the relationship between tau pathology and microglial states remains incompletely understood because of a lack of suitable AD models. In the present study, we 	CSV, JPG, JSON, MTX, PNG, TSV
GSE286962	0	1	1	20	Homo sapiens	24676	2025/01/14	GSE	From Local to Systemic: The Journey of Tick Bite Biomarkers in Australian patients.	Tick bites and tick-related diseases are on the rise. Diagnostic tests that identify well-characterised tick-borne pathogens (TBPs) possess limited capacity to address the causation of symptoms asso-ciated with poorly characterised tick-related illnesses, such as debilitating symptom complexes attributed to ticks (DSCATT) in Australia. Identification of local signals in tick-bi	TXT
GSE299970	0	1	1	1	Homo sapiens	34284	2026/03/22	GSE	10X Visium Spatial transcriptomics of pancreatic caner patient tissue.	We obtained transcriptome profiling of pancreatic cancer tissue specimen by using 10X Visium FFPE version2.	CSV, H5, JPG, JSON, PNG, TIFF
GSE45994	0	1	1	6	Homo sapiens	6244	2013/09/01	GSE	Cell transcriptional state alters genomic patterns of DNA double-strand break repair in human astrocytes	The misrepair of DNA double-strand breaks in close spatial proximity within the nucleus can result in chromosomal rearrangements that are important in the pathogenesis of hematopoietic and solid malignancies.  It is unknown why certain epigenetic states, such as those found in stem or progenitor cells, appear to facilitate neoplastic transformation.  Here we show that altering 	CEL, CHP
GSE80105	0	1	1	8	Homo sapiens; Mus musculus	13112;11154;16417	2016/07/20	GSE	Synergistic model of chromatin predicts Dnase-I accessibility	Enhancers and promoters commonly occur in accessible chromatin characterized by depleted nucleosome contact; however, it is unclear how chromatin accessibility is governed. We show that a logic of cis-acting DNA sequence features can predict the majority of chromatin accessibility at high spatial resolution. We develop a new type of high-dimensional machine learning model, the 	TAR, TSV, TXT
GDS592	0	0	1	122	Mus musculus	1073	2004/03/19	GDS	Large-scale analysis of the mouse transcriptome (GNF1M)	Gene atlas of mouse protein-encoding transcriptome. Gene expression profiles from 61 physiologically normal tissues. Samples generated from adult (10-12 week old) C57BL/6 mice (4 male, 3 female) by dissection. 	CEL
GDS596	0	0	1	158	Homo sapiens	96	2004/03/19	GDS	Large-scale analysis of the human transcriptome (HG-U133A)	Gene atlas of human protein-encoding transcriptome. Examined gene expression profiles from 79 physiologically normal tissues obtained from various sources.	CEL
GPL1261	0	0	1	59095	Mus musculus	1261	2004/05/25	GPL	[Mouse430_2] Affymetrix Mouse Genome 430 2.0 Array	Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html  June 03, 2009: annotation table updated with netaffx build 28 June 07, 2012: annotation table updated with netaffx build 32 June 23, 2016: annotation table updated with netaffx build 35 Protocol: see manufacturer's web site 	
GPL570	0	0	1	176395	Homo sapiens	570	2003/11/07	GPL	[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array	Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html  June 03, 2009: annotation table updated with netaffx build 28 June 06, 2012: annotation table updated with netaffx build 32 June 23, 2016: annotation table updated with netaffx build 35 Protocol: see manufacturer's web site 	
GPL81	0	0	1	6909	Mus musculus	81	2002/03/11	GPL	[MG_U74Av2] Affymetrix Murine Genome U74A Version 2 Array	Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html  June 03, 2009: annotation table updated with netaffx build 28 June 07, 2012: annotation table updated with netaffx build 32 June 24, 2016: annotation table updated with netaffx build 35 Protocol: see manufacturer's web site 	
GSE231954	0	0	1	5	Mus musculus	24247	2023/11/16	GSE	Myeloid cells interact with a subset of thyrocytes to promote their migration and follicle formation through NF-κB.	This SuperSeries is composed of the SubSeries listed below.	MTX, TSV, XLS
GSE32465	0	0	1	399	Homo sapiens	9052	2011/09/29	GSE	Transcription Factor Binding Sites by ChIP-seq from ENCODE/HAIB	This data was generated by ENCODE. If you have questions about the data, contact the submitting laboratory directly (Florencia Pauli mailto:fpauli@hudsonalpha.org). If you have questions about the Genome Browser track associated with this data, contact ENCODE (mailto:genome@soe.ucsc.edu).  The ChIP-Seq method was used to assay chromatin fragments bound by specific or general tr	BIGWIG, BROADPEAK, TXT
