cohort	classifier	n	gene_overlap	AUC	DIA_AUC
GSE27155	LogReg	54	50	0.6981132075471699	0.6981132075471699
GSE27155	RandomForest	54	50	0.339622641509434	0.660377358490566
GSE27155	SVM_RBF	54	50	0.15094339622641506	0.8490566037735849
GSE27155	kNN	54	50	0.5566037735849056	0.5566037735849056
GSE76039	LogReg	37	54	1.0	1.0
GSE76039	RandomForest	37	54	0.9722222222222222	0.9722222222222222
GSE76039	SVM_RBF	37	54	0.2777777777777778	0.7222222222222222
GSE76039	kNN	37	54	0.9166666666666666	0.9166666666666666
GSE213647	LogReg	381	55	0.9851851851851852	0.9851851851851852
GSE213647	RandomForest	381	55	0.9816993464052288	0.9816993464052288
GSE213647	SVM_RBF	381	55	0.9631808278867102	0.9631808278867102
GSE213647	kNN	381	55	0.975446623093682	0.975446623093682
