method	family	n_rows	file	score_col	notes	status
ESM2-Bayesian	custom	311	wave1/predictions_itsndb.tsv	pred_mean	trained on master pool (no_overlap held out)	loaded
Structure_LR	custom	311	wave2/structure_lr_predictions.tsv	p_struct_lr	trained on master pool (no_overlap held out)	loaded
Wave1+Structure_avg50	ensemble	311	wave2/structure_lr_predictions.tsv	p_wave1_plus_struct_avg50	Wave1 + Structure_LR average	loaded
QK_SVM	quantum	319	wave2/qk_svm_predictions.tsv	p_qk_svm	trained on master pool	loaded
RBF_SVM	custom	319	wave2/qk_svm_predictions.tsv	p_rbf_svm	trained on master pool	loaded
GP_RBF	custom	319	wave2/qk_svm_predictions.tsv	p_gp_rbf	trained on master pool	loaded
GP_quantum	quantum	319	wave2/qk_svm_predictions.tsv	p_gp_q	trained on master pool	loaded
VQC	quantum	319	wave2/vqc_predictions.tsv	p_vqc	trained on master pool	loaded
LR_8d_classical	custom	319	wave2/vqc_predictions.tsv	p_lr_8d_classical	8-d compressed LR baseline	loaded
MHCflurry	off-the-shelf	319	wave3_mhcflurry/predictions.tsv	score_mhcflurry	pre-trained; ITSNdb may overlap MHCflurry training	loaded
PRIME	off-the-shelf	319	wave3_prime/predictions.tsv	score_prime	pre-trained immunogenicity model	loaded
BigMHC_IM	off-the-shelf	319	wave3_bigmhc/predictions.tsv	score_bigmhc_im	pre-trained; potential overlap with ITSNdb	loaded
DeepImmuno	off-the-shelf	319	wave3_deepimmuno/predictions.tsv	score_deepimmuno	pre-trained immunogenicity model	loaded
NetMHCpan	off-the-shelf	319	wave3_netmhcpan/predictions.tsv	score_netmhcpan	binding score (proxy for immunogenicity)	loaded
TransPHLA	off-the-shelf	319	wave3_transphla/predictions.tsv	score_transphla	pre-trained binding/peptide-HLA model	loaded
GroupDRO	custom	4393	wave4a/predictions_groupdro.tsv	pred_mean	trained on master pool — DG variant	loaded
MIRO	custom	4393	wave4a/predictions_miro.tsv	pred_mean	trained on master pool — DG variant	loaded
MoLE	custom	4393	wave4a/predictions_mole.tsv	pred_mean	trained on master pool — MoE variant	loaded
kNN	custom	319	wave4b/predictions_knn.tsv	pred_knn	kNN over Wave1 ESM2 embeddings	loaded
TENT	custom	311	wave4b/predictions_tent.tsv	pred_tent	test-time entropy minimization on Wave1 probe	loaded
Conformal	custom	311	wave4b/predictions_conformal.tsv	pred_p	conformal-calibrated Wave1	loaded
WiSE-FT	custom	311	wave4b/predictions_wisefit.tsv	pred_wisefit	weight-space ensembling Wave1 vs zero-shot	loaded
Ensemble_E1	ensemble	319	wave4c/ensemble_predictions.tsv	score_E1	rank-mean of off-the-shelf	loaded
Ensemble_E2	ensemble	319	wave4c/ensemble_predictions.tsv	score_E2	rank-mean across all base	loaded
Ensemble_E3a	ensemble	319	wave4c/ensemble_predictions.tsv	score_E3a	stacked LR — TRAINED on in_master	loaded
Ensemble_E4a	ensemble	319	wave4c/ensemble_predictions.tsv	score_E4a	stacked LR — TRAINED on in_master (variant)	loaded
Ensemble_E3b	ensemble	319	wave4c/ensemble_predictions.tsv	score_E3b	stacked LR — out-of-fold (no_overlap)	loaded
Ensemble_E4b	ensemble	319	wave4c/ensemble_predictions.tsv	score_E4b	stacked LR — out-of-fold (no_overlap)	loaded
MultiTask_A_only	custom	311	wave5b/predictions_A_only.tsv	pred_A_mean	Wave 5b — single-task immunogenicity head	loaded
MultiTask_AB	custom	311	wave5b/predictions_AB.tsv	pred_A_mean	Wave 5b — A + affinity multi-task	loaded
MultiTask_AC	custom	311	wave5b/predictions_AC.tsv	pred_A_mean	Wave 5b — A + presentation multi-task	loaded
MultiTask_full	custom	311	wave5b/predictions_full.tsv	pred_A_mean	Wave 5b — A + affinity + presentation + processing	loaded
