column	requirement	description
candidate_id	required	unique row id
patient_id	recommended	patient or sample id for per-patient top-k
peptide_mut	required	mutant peptide sequence, class-I length preferred
peptide_wt	strongly_recommended	matched WT peptide for counterfactual/self-risk
hla	required	HLA allele such as HLA-A*02:01
source_protein	recommended	gene or protein id
source_window_15aa	optional	local source sequence window
source_window_30aa	optional	larger source sequence window
tumor_rna_tpm	recommended	tumor expression proxy
tumor_vaf	recommended	variant allele fraction 0-1 or 0-100
clonality	optional	clonal/subclonal if available
variant_consequence	optional	variant annotation
