histology	gene	hotspot	thca_tcga__n_mut	thca_tcga__n_test	thca_tcga__prev	thca_tcga_pan_can_atlas_2018__n_mut	thca_tcga_pan_can_atlas_2018__n_test	thca_tcga_pan_can_atlas_2018__prev	thca_tcga_pub__n_mut	thca_tcga_pub__n_test	thca_tcga_pub__prev	thpa_tcga_gdc__n_mut	thpa_tcga_gdc__n_test	thpa_tcga_gdc__prev	thyroid_gatci_2024__n_mut	thyroid_gatci_2024__n_test	thyroid_gatci_2024__prev	thyroid_mskcc_2016__n_mut	thyroid_mskcc_2016__n_test	thyroid_mskcc_2016__prev	pooled_n_mut	pooled_n_test	pooled_prevalence
Anaplastic Thyroid Carcinoma	BRAF	BRAF_any																15	33	0.45454545454545453	15	33	0.45454545454545453
Anaplastic Thyroid Carcinoma	BRAF	BRAF_other																1	33	0.030303030303030304	1	33	0.030303030303030304
Anaplastic Thyroid Carcinoma	BRAF	V600E																15	33	0.45454545454545453	15	33	0.45454545454545453
Anaplastic Thyroid Carcinoma	HRAS	HRAS_any																2	33	0.06060606060606061	2	33	0.06060606060606061
Anaplastic Thyroid Carcinoma	HRAS	HRAS_codon12																0	33	0.0	0	33	0.0
Anaplastic Thyroid Carcinoma	HRAS	HRAS_codon13																2	33	0.06060606060606061	2	33	0.06060606060606061
Anaplastic Thyroid Carcinoma	HRAS	HRAS_codon61																0	33	0.0	0	33	0.0
Anaplastic Thyroid Carcinoma	HRAS	HRAS_other																0	33	0.0	0	33	0.0
Anaplastic Thyroid Carcinoma	KRAS	KRAS_any																0	33	0.0	0	33	0.0
Anaplastic Thyroid Carcinoma	KRAS	KRAS_codon12																0	33	0.0	0	33	0.0
Anaplastic Thyroid Carcinoma	KRAS	KRAS_codon13																0	33	0.0	0	33	0.0
Anaplastic Thyroid Carcinoma	KRAS	KRAS_codon61																0	33	0.0	0	33	0.0
Anaplastic Thyroid Carcinoma	KRAS	KRAS_other																0	33	0.0	0	33	0.0
Anaplastic Thyroid Carcinoma	NRAS	NRAS_any																6	33	0.18181818181818182	6	33	0.18181818181818182
Anaplastic Thyroid Carcinoma	NRAS	NRAS_codon12																0	33	0.0	0	33	0.0
Anaplastic Thyroid Carcinoma	NRAS	NRAS_codon13																0	33	0.0	0	33	0.0
Anaplastic Thyroid Carcinoma	NRAS	NRAS_codon61																6	33	0.18181818181818182	6	33	0.18181818181818182
Anaplastic Thyroid Carcinoma	NRAS	NRAS_other																0	33	0.0	0	33	0.0
Anaplastic Thyroid Carcinoma	TERT	C228T																21	33	0.6363636363636364	21	33	0.6363636363636364
Anaplastic Thyroid Carcinoma	TERT	C250T																2	33	0.06060606060606061	2	33	0.06060606060606061
Anaplastic Thyroid Carcinoma	TERT	TERT_any																24	33	0.7272727272727273	24	33	0.7272727272727273
Anaplastic Thyroid Carcinoma	TERT	TERT_promoter_other																1	33	0.030303030303030304	1	33	0.030303030303030304
Anaplastic Thyroid Carcinoma	TP53	TP53_any																23	33	0.696969696969697	23	33	0.696969696969697
Anaplatic Thyroid Cancer	BRAF	BRAF_any													42	190	0.22105263157894736				42	190	0.22105263157894736
Anaplatic Thyroid Cancer	BRAF	BRAF_other													0	190	0.0				0	190	0.0
Anaplatic Thyroid Cancer	BRAF	V600E													42	190	0.22105263157894736				42	190	0.22105263157894736
Anaplatic Thyroid Cancer	HRAS	HRAS_any													5	190	0.02631578947368421				5	190	0.02631578947368421
Anaplatic Thyroid Cancer	HRAS	HRAS_codon12													0	190	0.0				0	190	0.0
Anaplatic Thyroid Cancer	HRAS	HRAS_codon13													0	190	0.0				0	190	0.0
Anaplatic Thyroid Cancer	HRAS	HRAS_codon61													4	190	0.021052631578947368				4	190	0.021052631578947368
Anaplatic Thyroid Cancer	HRAS	HRAS_other													1	190	0.005263157894736842				1	190	0.005263157894736842
Anaplatic Thyroid Cancer	KRAS	KRAS_any													3	190	0.015789473684210527				3	190	0.015789473684210527
Anaplatic Thyroid Cancer	KRAS	KRAS_codon12													2	190	0.010526315789473684				2	190	0.010526315789473684
Anaplatic Thyroid Cancer	KRAS	KRAS_codon13													1	190	0.005263157894736842				1	190	0.005263157894736842
Anaplatic Thyroid Cancer	KRAS	KRAS_codon61													0	190	0.0				0	190	0.0
Anaplatic Thyroid Cancer	KRAS	KRAS_other													0	190	0.0				0	190	0.0
Anaplatic Thyroid Cancer	NRAS	NRAS_any													19	190	0.1				19	190	0.1
Anaplatic Thyroid Cancer	NRAS	NRAS_codon12													0	190	0.0				0	190	0.0
