reason	n_candidates	n_positive_label	median_claim_safe_score	top_rescue_lane
missing_patient_disease_metadata	2715	1179	0.0863285685022528	clean_claim_not_rescuable_without_new_holdout_or_overlap_audit
model_abstention	2707	1179	0.0862259632597522	clean_claim_not_rescuable_without_new_holdout_or_overlap_audit
low_claim_safe_score	2676	1152	0.0852814963862428	clean_claim_not_rescuable_without_new_holdout_or_overlap_audit
high_leakage_claim_blocker	2304	1143	0.01028814371225955	clean_claim_not_rescuable_without_new_holdout_or_overlap_audit
near_peptide_overlap_caution	2300	1122	0.0100759481857092	clean_claim_not_rescuable_without_new_holdout_or_overlap_audit
exact_peptide_hla_overlap_claim_blocker	2274	1114	0.00762888657155485	clean_claim_not_rescuable_without_new_holdout_or_overlap_audit
study_overlap_caution	2086	1039	0.011711699130706351	clean_claim_not_rescuable_without_new_holdout_or_overlap_audit
benchmark_negative_label	1536	0	0.0	clean_claim_not_rescuable_without_new_holdout_or_overlap_audit
low_prevalence_source	1035	48	0.0	clean_claim_not_rescuable_without_new_holdout_or_overlap_audit
expert_disagreement	493	106	0.0937277438495607	rescuable_by_patient_metadata_completion
posterior_uncertainty	317	72	0.0939802288392926	rescuable_by_patient_metadata_completion
public_training_overlap_caveat	213	103	0.0	clean_claim_not_rescuable_without_new_holdout_or_overlap_audit
sparse_expert_support	200	87	0.0	clean_claim_not_rescuable_without_new_holdout_or_overlap_audit
medium_leakage_caution	23	5	0.042328418989231	rescuable_by_patient_metadata_completion
underrepresented_hla_or_sparse_allele	3	1	0.4237459137336227	rescuable_by_patient_metadata_completion
exact_peptide_overlap_claim_caveat	1	1	0.2495954752391184	rescuable_by_patient_metadata_completion
