section	type	label	title	description	accessions
CAR-T	figure	Fig 1	CAR-T response durability landscape	Longitudinal CAR-T sampling across leukapheresis, early post-infusion, and later follow-up time points; contrasts durable responders against early relapsers and highlights the native cytotoxic T-cell repertoire as a companion state variable.	GSE290722, GSE313971, GSE308384, GSE236468, GSE304795, GSE312384, GSE292859, GSE284026
CAR-T	figure	Fig 2	CAR-T tonic signaling and binding-domain redesign	Construct-level comparison of tonic signaling, antigen sensitivity, and fitness across CD22-CAR designs; useful for showing why binding-domain architecture can rescue performance without changing the target antigen.	GSE290722, GSE313971, GSE308384, GSE236468, GSE304795, GSE312384, GSE292859, GSE284026
CAR-T	figure	Fig 3	CAR-T manufacturing and expansion QC	Process panel linking nanoparticle-assisted expansion, cell-yield, phenotype preservation, and anti-lymphoma potency; ideal for demonstrating how manufacturing changes propagate into a deployable product profile.	GSE290722, GSE313971, GSE308384, GSE236468, GSE304795, GSE312384, GSE292859, GSE284026
CAR-T	figure	Fig 4	CAR-T translation and persistence in solid tumors	Translation-control / persistence panel that frames pTα or related translational rewiring as a route to solid-tumor activity rather than a pure in vitro biology finding.	GSE290722, GSE313971, GSE308384, GSE236468, GSE304795, GSE312384, GSE292859, GSE284026
CAR-T	figure	Fig 5	CAR-T lineage state and exhaustion rescue	Chromatin-state / lineage-state view centered on BACH2 and exhaustion-related transitions; good for arguing that transcriptional brakes and memory skew explain potency differences.	GSE290722, GSE313971, GSE308384, GSE236468, GSE304795, GSE312384, GSE292859, GSE284026
CAR-T	figure	Fig 6	Armored CAR-T payload localization	Tumor-restricted payload delivery schematic showing how armored CAR design can raise local cytokine exposure while keeping systemic toxicity lower than blanket secretion.	GSE290722, GSE313971, GSE308384, GSE236468, GSE304795, GSE312384, GSE292859, GSE284026
CAR-T	table	Table 1	CAR-T candidate map	Accession, modality, score, best task, and practical caveat for every CAR-T-related GEO record in the bundle.	GSE290722, GSE313971, GSE308384, GSE236468, GSE304795, GSE312384, GSE292859, GSE284026
CAR-T	table	Table 2	CAR-T validation corridor	Pairs each CAR-T anchor with the best external or orthogonal validation cohort, so the reader can see which claims are strong versus still mechanistic.	GSE290722, GSE313971, GSE308384, GSE236468, GSE304795, GSE312384, GSE292859, GSE284026
CAR-T	table	Table 3	CAR-T risk and boundary table	Summarizes what must not be overclaimed: mouse-only findings, process-only signals, construct-specific effects, and antigen-low model dependence.	GSE290722, GSE313971, GSE308384, GSE236468, GSE304795, GSE312384, GSE292859, GSE284026
CAR-NKT	figure	Fig 1	Allogeneic CAR-NKT design	Architecture showing how HSPC-engineered CD33-targeted CAR-NKT cells are positioned as an off-the-shelf alternative to bespoke CAR-T manufacturing.	GSE270430, GSE223071
CAR-NKT	figure	Fig 2	CAR-NKT plus hypomethylating-agent synergy	Response panel that combines target engagement, HMA co-treatment, and anti-malignancy activity to show the translation hook rather than only the antigen construct.	GSE270430, GSE223071
CAR-NKT	figure	Fig 3	Responder phenotype from CAR-NKT clinical series	Clinical readout from the neuroblastoma CAR-NKT series highlighting which responder states are most useful for validation and why the platform is still thin.	GSE270430, GSE223071
CAR-NKT	figure	Fig 4	CAR-NKT translational corridor	Cross-disease bridge figure showing why AML/MDS and neuroblastoma should be treated as adjacent validation lanes rather than one shared proof.	GSE270430, GSE223071
CAR-NKT	table	Table 1	CAR-NKT validation sources	Accession-linked list of the primary CAR-NKT dataset and the adjacent clinical series used to support the platform hypothesis.	GSE270430, GSE223071
CAR-NKT	table	Table 2	CAR-NKT caveat table	Notes where the evidence is strong enough for a platform pitch and where it still depends on one disease setting.	GSE270430, GSE223071
TIL	figure	Fig 1	TIL exhaustion rescue via RELB	Mechanistic panel showing how RELB reprograms exhausted TILs toward a more therapy-competent state.	GSE303442
TIL	figure	Fig 2	TIL product potency and expansion	Product-quality panel that links rescue to expansion, cytotoxicity, and the kind of potency metrics used for adoptive cell therapy release decisions.	GSE303442
TIL	figure	Fig 3	Organoid and xenograft support	Orthogonal validation panel that moves the claim from expression change toward a more convincing functional readout.	GSE303442
TIL	figure	Fig 4	TIL manufacturing and persistence logic	A practical QC figure that separates product expansion, persistence, and re-infusion readiness from direct clinical efficacy.	GSE303442
TIL	table	Table 1	TIL validation anchors	Lists the primary TIL GEO study and the orthogonal support classes that strengthen the productization story.	GSE303442
TIL	table	Table 2	TIL boundary table	Keeps the reader from overcalling a manufacturing/potency result as a proven outcome effect.	GSE303442
Blinatumomab	figure	Fig 1	Blinatumomab response durability	Longitudinal patient sampling across therapy windows showing how T-cell dysfunction evolves during blinatumomab exposure.	GSE294241, GSE292621
Blinatumomab	figure	Fig 2	Re-dosing drives TCF7-high central memory state	Single-cell multi-omics panel showing how re-dosing shifts CD8 T cells toward a more central-memory phenotype with reduced cytokine output.	GSE294241, GSE292621
Blinatumomab	figure	Fig 3	Cytokine-risk and efficacy tradeoff	Side-by-side panel that links improved memory state to lower cytokine production, making the scheduling problem concrete rather than purely descriptive.	GSE294241, GSE292621
Blinatumomab	figure	Fig 4	Dose window and sample timing	A practical clinical figure that lays out where pre/post samples should land if the goal is response prediction rather than a generic biology readout.	GSE294241, GSE292621
Blinatumomab	table	Table 1	Blinatumomab biomarkers and scheduling cues	Compiles the response-state markers most relevant to who should be re-dosed and when.	GSE294241, GSE292621
Blinatumomab	table	Table 2	Blinatumomab safety boundary table	Highlights why cytokine-risk biology must be separated from efficacy claims.	GSE294241, GSE292621
