model	family	input	hla_modeled	paired_alpha_beta	code_url	source_url	weights	throughput	priority	claim_use	blocker	rank	local_status	runnable_now
NetTCR-2.2	sequence paired-chain CNN	peptide + CDR1/2/3 alpha + CDR1/2/3 beta	no explicit HLA	required/preferred	https://github.com/mnielLab/NetTCR-2.2	https://doi.org/10.7554/eLife.93934.3	local pretrained TFLite weights found	high	P0	TCR-available subset baseline/expert only	CROSS-Neo registry lacks CDR1/CDR2; need V-gene CDR reconstruction or full-chain TCR import	1	local_ready:/data/thca/_tmp/relocated_2026_05_09/NetTCR-2.2	yes
ERGO-II	sequence LSTM/attention TCR-peptide	peptide + CDR3 beta; optional alpha, V/J, MHC, T-cell type	optional MHC feature	not required	https://github.com/IdoSpringer/ERGO-II	https://github.com/IdoSpringer/ERGO-II	local pretrained checkpoint and autoencoder weights found	high	P0	strong next practical model because CDR3-only path matches current registry	CROSS-Neo input adapter and strict split evaluation	2	local_ready:/data/thca/tcr_model_repos/ERGO-II	yes
pMTnet	sequence beta-chain peptide-HLA model	CDR3 beta + peptide + HLA	yes	no, beta-only	https://github.com/tianshilu/pMTnet	https://github.com/tianshilu/pMTnet	local trained model/library run successfully	high after legacy setup	P0/P1	diagnostic peptide-HLA-TCR score; useful for beta-only rows	strict leakage-filtered benchmark and score calibration	3	local_ready:/data/thca/tcr_model_repos/pMTnet	yes
TSpred	paired-chain CNN + reciprocal attention	paired alpha/beta TCR sequence + epitope	no explicit HLA in headline task	yes	https://github.com/ha01994/TSpred	https://academic.oup.com/bioinformatics/article/40/8/btae472/7721043	local example checkpoint run successfully	high if pretrained model is available	P1	paired TCR subset benchmark; seen/unseen epitope split baseline	requires CDR1/CDR2 reconstruction for registry-scale use	4	local_ready:/data/thca/tcr_model_repos/TSpred	yes
PanPep	meta-learning peptide-TCR	peptide + TCR sequence, commonly CDR3 beta in public usage; extensions reported for alpha/alpha-beta	no explicit HLA in original core task	not required in original core task	https://github.com/bm2-lab/PanPep	https://www.nature.com/articles/s42256-023-00619-3	local model and memory files run successfully	high/medium	P1	unseen-peptide stress test and negative-control/diagnostic baseline	weak zero-shot pilot; try few-shot only if compatible support labels exist	5	local_ready:/data/thca/tcr_model_repos/PanPep	yes
TEPCAM	cross-attention + multi-channel convolution	TCR sequence + peptide	no explicit HLA	verify code; likely sequence-level TCR/epitope	https://github.com/Chenjw99/TEPCAM	https://pubmed.ncbi.nlm.nih.gov/37983648/	local checkpoint run successfully	high	P1/P2	sequence-only TCRbeta-peptide expert; compare to pMTnet	no HLA input; needs strict source/epitope-heldout validation	6	local_ready:/data/thca/tcr_model_repos/TEPCAM	yes
TEINet	deep TCR-epitope sequence model	CDR3 beta + epitope	no explicit HLA	no	https://github.com/jiangdada1221/TEINet	https://academic.oup.com/bib/article/doi/10.1093/bib/bbad086/7076118	check repo	high	P2	legacy/secondary beta-only baseline	install and compare against ERGO/pMTnet first	7	not_found	no
TCR-H	SVM physicochemical CDR3beta-epitope	CDR3 beta + epitope	no explicit HLA	no	https://github.com/rajitha-tatikonda/TCR-H	https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2024.1426173/full	classical model/code	very high	P1/P2	explainable low-compute hard-split baseline	clone and map feature script	8	local_ready:/data/thca/tcr_model_repos/TCR-H	yes
MixTCRpred	dual-alpha-aware TCR-epitope model	paired/dual alpha TCR context + beta + epitope depending dataset	not central	yes/optional depending mode	https://github.com/viragbioinfo/IMMREP_2022_TCRSpecificity	https://www.nature.com/articles/s41467-024-47461-8	check associated release	medium	P2	dual-alpha case-study model; secondary benchmark	repo/tool packaging verification	9	not_found	no
TCRen	structure/statistical potential	TCR-pMHC model/structure or homology model + peptide context	yes via pMHC structure	yes for TCR complex	https://github.com/antigenomics/tcren-ms	https://www.nature.com/articles/s43588-024-00653-0	code/data; statistical potential	medium; structure generation bottleneck	P1/P2	structure-guided case diagnostics, especially unseen epitopes	requires modeled/experimental TCR-pMHC structures	10	not_found	no
TCRLens	structure-aware EGNN	TCR-pMHC-I structure/interface graph	yes, class I focus	yes	https://github.com/paopitsiri/TCRLens	https://www.lifescience.net/publications/1944865/tcrlens-structure-aware-equivariant-graph-learning/	check repo	medium; structure generation bottleneck	P2	future structure branch benchmark	requires actual TCR-pMHC-I structures and installation	11	not_found	no
tFold-TCR	structure prediction	full TCR alpha/beta + MHC + beta2M + peptide sequences	yes via structure	yes	https://github.com/TencentAI4S/tfold	https://github.com/TencentAI4S/tfold	downloaded via package functions if installed	medium/high on GPU	P1	structure feature generator, not recognition classifier alone	not installed; full-chain sequences missing for many jobs	12	not_found	no
TCRdock	TCR-pMHC structure/docking geometry	peptide-HLA + TCR alpha/beta V/J/CDR3 or structures	yes	yes	https://github.com/phbradley/TCRdock	https://pmc.ncbi.nlm.nih.gov/articles/PMC9859041/	AlphaFold/TCRdock workflow assets	medium	P1	geometry/contact diagnostics	not installed locally	13	not_found	no
AlphaFold-Multimer/ColabFold	general complex structure prediction	full chain FASTA: TCR alpha/beta, MHC, beta2M, peptide	yes	yes for TCR-pMHC	https://github.com/google-deepmind/alphafold	https://github.com/sokrypton/ColabFold	local colabfold wrapper available	medium	P1	structure feature generator and parser validation	full-chain sequences missing for most registry rows	14	local_ready:/home/seungho/personal/THCA_data_analysis/.venv/bin/colabfold_batch	yes
UniPMT	unified peptide-MHC-TCR graph/multitask	peptide + MHC + TCR features depending task	yes	verify, often CDR3 beta heavy	https://github.com/ethanmock/UniPMT	https://www.nature.com/articles/s42256-025-01002-0	check repo	high/medium	P1/P2	unified pMHC/TCR expert benchmark	install and verify checkpoint/data format	15	not_found	no
UnifyImmun	unified cross-attention pHLA/pTCR	peptide + HLA and/or peptide + TCR	yes for pHLA branch	verify	https://github.com/hliulab/UnifyImmun	https://www.nature.com/articles/s42256-024-00973-w	repo trained model folder reported	high/medium	P2	cross-attention baseline, pHLA+pTCR multitask comparison	install and checkpoint verification	16	not_found	no
ImRex	interaction-map CNN	CDR3 beta + epitope	no explicit HLA	no	https://github.com/pmoris/ImRex	https://github.com/pmoris/ImRex	small pretrained models reported	high	P2	legacy beta-only baseline	lower priority than ERGO/pMTnet/PanPep	17	not_found	no
TITAN	bimodal attention	TCR sequence + epitope	no explicit HLA	not central	https://github.com/PaccMann/TITAN	https://arxiv.org/abs/2105.03323	trained_model directory in repo	high/medium	P2	legacy benchmark	not a first next model	18	not_found	no
