class	method	wave	category	no_overlap_AUROC	no_overlap_AUPRC	no_overlap_n	no_overlap_n_pos	in_master_AUROC	combined_AUROC	use	caveat
MHC-I	Wave8_TCR_SelfSim_full	wave8	candidate feature model	0.7353673723536738	0.5978636925675818	106.0	33.0	0.5864518976169462	0.6285760205721633	candidate only	TCR+SelfSim; exact-reference sensitive
MHC-I	Wave8_TCR_SelfSim_no_exact	wave8	candidate feature model	0.7320464923204648	0.6503371929643545	106.0	33.0	0.5738305383936453	0.6127852780456445	candidate only	self_exact dropped; TCR exact still present
MHC-I	Wave8_TCR_motif_only	wave8	candidate feature model	0.7218762972187629	0.6101101528545781	106.0	33.0	0.4815092674315975	0.5563926390228223	candidate only	TCR motif only; exact-reference driven
MHC-I	MHCflurry	wave3/10	public pretrained	0.668327106683271	0.552953122346244	106.0	33.0	0.6415710503089145	0.63673256187721	caveated comparator	training corpus unresolved; upper-bound comparator
MHC-I	Structure_LR	wave2/10	local biophys baseline	0.653169014084507	0.4886546596772878	103.0	32.0	0.689517625231911	0.6893752656183595	primary local baseline	known local split; cleanest local comparator
MHC-I	Wave8_TCR_only	wave8	candidate feature model	0.6436280614362806	0.5454567970784542	106.0	33.0	0.5856134157105031	0.6120218579234973	candidate only	drops after TCR exact-hit removal
MHC-I	Stack_LR_inmaster_E3a	wave4c	stacked ensemble	0.6313823163138231	0.4143777932170026	106.0	33.0	0.8747572815533982	0.7660720025715204	supplement only	trained on in-master; not fair primary
MHC-I	BigMHC_IM	wave3/9/10	public pretrained	0.6259858862598588	0.3803216095607181	106.0	33.0	0.8415710503089144	0.7476695596271296	caveated comparator	training corpus unresolved; in-master inflated
MHC-I	Wave8_SelfSim_full	wave8	candidate feature model	0.6249481112494811	0.4070063074580834	106.0	33.0	0.4637246248896734	0.5025514304082289	candidate only	self-similarity label-artifact risk
MHC-I	Stack_mean_E1	wave4c	stacked ensemble	0.6234952262349522	0.4606848350084154	106.0	33.0	0.7386584289496911	0.6902523304403729	negative/supp	simple mean; no win over single tools
MHC-I	Stack_LR_OOF_E3b	wave4c	stacked ensemble	0.6210045662100456	0.4337030403745776	106.0	33.0		0.6210045662100456	negative/supp	OOF on n=106; no win
MHC-I	Stack_median_E2	wave4c	stacked ensemble	0.6110419261104193	0.4082463862827109	106.0	33.0	0.6963371579876436	0.659153005464481	negative/supp	median; no win
MHC-I	W7A_QK_only	wave7	synthesis/quantum kernel	0.6089663760896638	0.4385084580160546	106.0	33.0	0.8357016769638129	0.7673175827708132	negative/supp	below MHCflurry/Structure_LR
MHC-I	Wave8_SelfSim_no_exact	wave8	candidate feature model	0.6087588210875882	0.4787120147504048	106.0	33.0	0.4986760812003531	0.5102057216329154	candidate only	modest only after self_exact drop
MHC-I	TSCAPE_TITANiAN	wave9	public pretrained 2025	0.605230386052304	0.4508144607245319	106.0	33.0	0.6398940864960283	0.6021375763420123	caveated comparator	training corpus unresolved
MHC-I	VQC	wave2/10	quantum	0.597343295973433	0.4284924125231237	106.0	33.0	0.6007943512797882	0.5985213757634201	negative/supp	no advantage
MHC-I	GP_quantum	wave2/10	quantum	0.5828144458281445	0.4394291000241095	106.0	33.0	0.587819947043248	0.5869897139183542	negative/supp	no advantage
MHC-I	DeepImmuno	wave3/10	public pretrained	0.5790784557907845	0.4131526440540058	106.0	33.0	0.8025595763459842	0.7019045323047252	caveated comparator	training corpus unresolved; inflated on in-master
MHC-I	PRIME	wave3/9/10	public pretrained	0.572436695724367	0.3569985346429762	106.0	33.0	0.5638570167696382	0.5673015107682416	caveated comparator	flat but modest; public-training caveat
MHC-I	W7A_full	wave7	synthesis	0.5649647156496472	0.3551138398452228	106.0	33.0	0.8502206531332746	0.7622950819672131	negative/supp	combination hurts
MHC-I	TransPHLA	wave3/9/10	public pretrained	0.5550020755500208	0.3462126210337717	106.0	33.0	0.5831996434937612	0.5797004654928152	caveated comparator	training corpus unresolved
MHC-I	W7B_stacked	wave7	synthesis	0.5512660855126609	0.3408863218677792	106.0	33.0	0.8975286849073257	0.8019929283188685	negative/supp	good combined; weak no-overlap
MHC-I	NetMHCpan_4.1	wave3/9/10	public pretrained binder	0.5502283105022832	0.3456829447347427	106.0	33.0	0.5709179170344219	0.5668796207007393	caveated comparator	binding-only; public-training caveat
MHC-I	MHCnuggets_2	wave9	public pretrained	0.5205479452054794	0.3608166862351802	106.0	33.0	0.7097209720972097	0.6474186444825054	negative/supp	near chance on no-overlap
MHC-I	TENT	wave4b	test-time adaptation	0.4859154929577465	0.3158346363731981	103.0	32.0	0.8742115027829314	0.750531236719082	negative/supp	below chance/no-overlap
MHC-I	MultiTask_full	wave5b	local deep multitask	0.4793133802816901	0.3121089208680854	103.0	32.0	0.910204081632653	0.7744581385465363	ablation	small lift but below chance/no-overlap
MHC-I	MultiTask_AD	wave5b	local deep multitask	0.474031690140845	0.3262497441018574	103.0	32.0	0.9264378478664194	0.7925201869953251	ablation	below chance/no-overlap
MHC-I	MultiTask_AC	wave5b	local deep multitask	0.4727112676056338	0.3070613342155925	103.0	32.0	0.9204081632653062	0.7873778155546111	ablation	below chance/no-overlap
MHC-I	MultiTask_AB	wave5b	local deep multitask	0.4630281690140845	0.304920770225303	103.0	32.0	0.9252319109461966	0.7903527411814705	ablation	below chance/no-overlap
MHC-I	NetMHCstabpan	wave9	public pretrained stability	0.4578663345786633	0.303353154985761	106.0	33.0	0.533936451897617	0.5093619414979106	negative/supp	wrong biology step; below chance
MHC-I	MultiTask_A_only	wave5b	local deep single-task	0.4480633802816902	0.315678005120548	103.0	32.0	0.9387755102040816	0.8058648533786655	negative/supp	below chance/no-overlap
MHC-I	kNN	wave4b	retrieval	0.4250726442507264	0.3214697562904275	106.0	33.0	0.92171226831421	0.7854588556734168	negative/supp	memorizes/inflates in-master
MHC-I	RF_biophys	wave11	local RF baseline	0.423412204234122	0.2718651545401681	106.0	33.0	0.8984995586937334	0.7531340405014465	negative/supp	collapses external after overlap audit
MHC-I	ESM2_Bayesian	wave1/10	local deep Bayesian	0.4106514084507042	0.2738878834649987	103.0	32.0	0.9384972170686456	0.7840628984275395	negative headline	canonical leakage-failure baseline
MHC-II	NetMHCIIpan / class-II peptide predictors	not run	would require HLA-DR/DQ/DP peptide benchmark							not evaluated	No class-II peptide immunogenicity endpoint/scoring output exists in p_neo_bayesian.
MHC-II	HLA-DRA/DRB/DQA/DQB/DP expression/genotype analyses	other HLA/Paper2 dirs	HLA biology, not peptide predictor benchmark							not comparable	Search finds class-II HLA expression/reference-panel outputs, but they are not comparable to ITSNdb peptide AUROC.
