method_name	method_family	method_role	uses_public_pretraining	training_overlap_audit_status	training_overlap_audited_row_level	row_level_audit_files_detected	public_tool_training_overlap_any	candidate_overlap_rows	candidate_overlap_fraction	clean_comparator_allowed_after_audit	reviewer_disposition	caveat	overlap_detail	training_data_summary	training_overlap_risk	provenance_confidence	audit_source_file	source_urls
BigMHC_IM	deep_immunogenicity	caveated_public_comparator	True	unresolved_no_row_level_training_corpus	False	NA	True	NA	NA	False	caveated_public_comparator_only	public deep presentation/immunogenicity model; row-level training overlap unresolved	No row-level public-tool training corpus matched to candidate_id/peptide-HLA was found.	BigMHC public model; Mendeley release includes el_train/el_val/el_test for presentation and im_train/im_val/im_test for immunogenicity transfer learning, plus IEDB and MANAFEST files	unresolved/high: explicit immunogenicity-transfer training and public neoepitope/IEDB resources; strong in-master inflation locally	official_dataset	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	https://data.mendeley.com/datasets/dvmz6pkzvb/4; https://www.nature.com/articles/s42256-023-00694-6
DeepImmuno	deep_immunogenicity	caveated_public_comparator	True	unresolved_no_row_level_training_corpus	False	NA	True	NA	NA	False	caveated_public_comparator_only	public immunogenicity model; row-level training overlap unresolved	No row-level public-tool training corpus matched to candidate_id/peptide-HLA was found.	DeepImmuno-CNN public immunogenicity model; >9,000 IEDB T-cell assay records filtered to 8,971 peptide-HLA instances from IEDB as of 2020-08-13; evaluated on TESLA/COVID independent sets	unresolved/high: IEDB/TESLA-style immunogenicity training/evaluation; local in-master inflation	paper_reported	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	https://academic.oup.com/bib/article/22/6/bbab160/6261914
MHCflurry	deep_immunogenicity	caveated_public_comparator	True	unresolved_no_row_level_training_corpus	False	NA	True	NA	NA	False	caveated_public_comparator_only	public pretrained MHC-I presentation/binding tool; row-level training overlap unresolved	No row-level public-tool training corpus matched to candidate_id/peptide-HLA was found.	public pretrained MHC-I presentation model; local install mhcflurry 2.2.1 model generated 2020-06-11; pretrained on MS-identified MHC-I ligands and peptide/MHC affinity measurements from IEDB plus other sources	unresolved/high: ITSNdb or close public IEDB/MS-derived measurements could overlap the pretrained corpus	official_doc_plus_local	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	https://openvax.github.io/mhcflurry/intro.html
MHCnuggets_2	deep_immunogenicity	caveated_public_comparator	True	unresolved_no_row_level_training_corpus	False	NA	True	NA	NA	False	caveated_public_comparator_only	public MHC binding predictor; row-level training overlap unresolved	No row-level public-tool training corpus matched to candidate_id/peptide-HLA was found.	public MHC class I/II binding predictor; paper describes IEDB-curated binding data and allele-specific transfer learning	unresolved/high: IEDB-derived training; endpoint is binding, not direct immunogenicity	paper_reported	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	https://www.cs.jhu.edu/~rohit/research/mhcnuggets_paper.pdf
NetMHCpan_4.1	deep_immunogenicity	caveated_public_comparator	True	unresolved_no_row_level_training_corpus	False	NA	True	NA	NA	False	caveated_public_comparator_only	public pretrained NetMHC-family tool; row-level training overlap unresolved	No row-level public-tool training corpus matched to candidate_id/peptide-HLA was found.	NetMHCpan 4.1 public ANN; >850,000 quantitative binding-affinity and MS-eluted-ligand peptides across MHC-I molecules	unresolved/high: public BA/EL training; not immunogenicity-specific; overlap with IEDB-like benchmark cannot be excluded without train data audit	official_doc	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	https://services.healthtech.dtu.dk/services/NetMHCpan-4.1/
NetMHCstabpan	deep_immunogenicity	caveated_public_comparator	True	unresolved_no_row_level_training_corpus	False	NA	True	NA	NA	False	caveated_public_comparator_only	public pretrained NetMHC-family tool; row-level training overlap unresolved	No row-level public-tool training corpus matched to candidate_id/peptide-HLA was found.	NetMHCstabpan public ANN; >25,000 quantitative peptide-MHC-I stability measurements covering 75 HLA molecules	medium/high: public stability training; biological endpoint mismatched to immunogenicity	official_doc	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	https://services.healthtech.dtu.dk/services/NetMHCstabpan-1.0/
PRIME	deep_immunogenicity	caveated_public_comparator	True	unresolved_no_row_level_training_corpus	False	NA	True	NA	NA	False	caveated_public_comparator_only	public immunogenicity predictor; row-level training overlap unresolved	No row-level public-tool training corpus matched to candidate_id/peptide-HLA was found.	PRIME public immunogenicity predictor; reported curated 4,958 peptide dataset with pathogen/cancer-testis and cancer mutation immunogenicity labels, plus antigen-presentation/TCR-recognition features	unresolved/high: direct immunogenicity public training; benchmark overlap cannot be excluded without row-level audit	paper_reported	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	https://pubmed.ncbi.nlm.nih.gov/33665637/; https://pmc.ncbi.nlm.nih.gov/articles/PMC7897774/
TSCAPE_TITANiAN	deep_immunogenicity	caveated_public_comparator	True	unresolved_no_row_level_training_corpus	False	NA	True	NA	NA	False	caveated_public_comparator_only	public multidomain immunogenicity/TCR model; row-level training overlap unresolved	No row-level public-tool training corpus matched to candidate_id/peptide-HLA was found.	T-SCAPE/TITANiAN public multidomain immunogenicity model; reported pretraining on MHC presentation, pMHC binding, TCR-pMHC interaction, source organism, T-cell activation; sources include IEDB, VDJdb, McPAS-TCR, ImmuneCODE, TBAdb, 10x Genomics, OAS, UniProt, PRIME, MHCBN, BigMHC, BioPhi, PanPep	unresolved/high: many public immunogenicity/TCR/presentation sources; exact training overlap must be audited	paper_reported	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	https://pmc.ncbi.nlm.nih.gov/articles/PMC12680054/; https://pubmed.ncbi.nlm.nih.gov/41348893/
TransPHLA	deep_immunogenicity	caveated_public_comparator	True	unresolved_no_row_level_training_corpus	False	NA	True	NA	NA	False	caveated_public_comparator_only	public pHLA binding transformer; row-level training overlap unresolved	No row-level public-tool training corpus matched to candidate_id/peptide-HLA was found.	TransPHLA public pHLA binding transformer; positive pHLA binders from Anthem plus IEDB, EPIMHC, MHCBN, SYFPEITHI, MS HLA ligands, and training sets of other pHLA tools; negatives sampled from IEDB immunopeptidome source proteins	unresolved/high: broad public binder/MS-ligand training; binding endpoint only	paper_reported	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	https://www.nature.com/articles/s42256-022-00459-7; https://xlab.sjtu.edu.cn/pdf/2022-NMI-TransMut.pdf
A_score_standardization_train_only	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
