candidate_id	peptide	hla_allele_4digit	source_name	label	ga_rl_barneo_priority_score	ga_rl_barneo_unique_rank	scenario_id	disease	disease_segment	scenario_name	disease_context_gate	presentation_gate	antigen_gate	immune_context_gate	safety_gate	research_priority	required_evidence	scenario_gate_multiplier	combination_strategy	evidence_grade	main_caveat	patient_selection_from_strategy_matrix	demo_patient_gated_score	patient_gated_rank_within_scenario	patient_gated_confidence_bin	patient_metadata_status	hard_gate_status	abstain	abstention_reason_primary	abstention_reason_all	research_triage_only	clinical_use	patient_gate_weighted_priority	patient_gate_priority_rank
CNV0_02407	KLMNIQQKL	HLA-A*02:01	ITSNdb_main	1.0	0.7292138422717543	1	PAAD_RESECTED_PERSONALIZED	PAAD	PAAD resected/personalized	PAAD resected/MRD low-burden personalized vaccine window	1.0	0.7	0.8	0.7	0.8	high_if_metadata_complete	resected or MRD-positive low-burden PDAC; sufficient private neoantigens; intact HLA/presentation; fit for standard therapy	0.3136	adjuvant autogene cevumeran + atezolizumab lead-in + mFOLFIRINOX	A: phase 1 signal plus randomized phase 2 ongoing	small n; responder/non-responder analysis, not definitive approval evidence	resected PDAC; sufficient neoantigens; HLA intact; no evidence of disease; fit for FOLFIRINOX	0.22868146093642217	1.0	low	absent_from_master	scenario_only_no_patient_row_match	True	GA/RL candidate lacks direct patient-queue match; scenario-only research triage fallback	no patient_queue match; scenario-only fallback; research triage only	True	False	0.1667576867857665	1
CNV0_02504	LLVDLAEEL	HLA-A*02:01	ITSNdb_main	1.0	0.72	2	PAAD_RESECTED_PERSONALIZED	PAAD	PAAD resected/personalized	PAAD resected/MRD low-burden personalized vaccine window	1.0	0.7	0.8	0.7	0.8	high_if_metadata_complete	resected or MRD-positive low-burden PDAC; sufficient private neoantigens; intact HLA/presentation; fit for standard therapy	0.3136	adjuvant autogene cevumeran + atezolizumab lead-in + mFOLFIRINOX	A: phase 1 signal plus randomized phase 2 ongoing	small n; responder/non-responder analysis, not definitive approval evidence	resected PDAC; sufficient neoantigens; HLA intact; no evidence of disease; fit for FOLFIRINOX	0.225792	2.0	low	absent_from_master	scenario_only_no_patient_row_match	True	GA/RL candidate lacks direct patient-queue match; scenario-only research triage fallback	no patient_queue match; scenario-only fallback; research triage only	True	False	0.16257023999999998	2
CNV0_02410	MLGEQLFPL	HLA-A*02:01	ITSNdb_main	1.0	0.72	3	PAAD_RESECTED_PERSONALIZED	PAAD	PAAD resected/personalized	PAAD resected/MRD low-burden personalized vaccine window	1.0	0.7	0.8	0.7	0.8	high_if_metadata_complete	resected or MRD-positive low-burden PDAC; sufficient private neoantigens; intact HLA/presentation; fit for standard therapy	0.3136	adjuvant autogene cevumeran + atezolizumab lead-in + mFOLFIRINOX	A: phase 1 signal plus randomized phase 2 ongoing	small n; responder/non-responder analysis, not definitive approval evidence	resected PDAC; sufficient neoantigens; HLA intact; no evidence of disease; fit for FOLFIRINOX	0.225792	3.0	low	absent_from_master	scenario_only_no_patient_row_match	True	GA/RL candidate lacks direct patient-queue match; scenario-only research triage fallback	no patient_queue match; scenario-only fallback; research triage only	True	False	0.16257023999999998	3
CNV0_02407	KLMNIQQKL	HLA-A*02:01	ITSNdb_main	1.0	0.7292138422717543	1	PAAD_MRD_KRAS_PUBLIC	PAAD	PAAD MRD+ KRAS-public	PAAD MRD-positive KRAS public-vaccine branch	1.0	0.7	0.65	0.7	0.8	high_if_kras_hla_match	MRD-positive PDAC; covered KRAS/NRAS mutation; HLA context; ctDNA/CA19-9 monitoring	0.2547999999999999	ELI-002 7P/2P amphiphile KRAS vaccine, consider checkpoint/chemo sequencing in trials	A-: phase 1 final strong correlative signal; phase 2 ongoing	monotherapy phase 1; combination timing not proven	MRD+ after locoregional therapy; KRAS/NRAS covered mutation; ctDNA/CA19-9 monitor	0.18580368701084293	1.0	low	absent_from_master	scenario_only_no_patient_row_match	True	GA/RL candidate lacks direct patient-queue match; scenario-only research triage fallback	no patient_queue match; scenario-only fallback; research triage only	True	False	0.13549062051343522	4
CNV0_02504	LLVDLAEEL	HLA-A*02:01	ITSNdb_main	1.0	0.72	2	PAAD_MRD_KRAS_PUBLIC	PAAD	PAAD MRD+ KRAS-public	PAAD MRD-positive KRAS public-vaccine branch	1.0	0.7	0.65	0.7	0.8	high_if_kras_hla_match	MRD-positive PDAC; covered KRAS/NRAS mutation; HLA context; ctDNA/CA19-9 monitoring	0.2547999999999999	ELI-002 7P/2P amphiphile KRAS vaccine, consider checkpoint/chemo sequencing in trials	A-: phase 1 final strong correlative signal; phase 2 ongoing	monotherapy phase 1; combination timing not proven	MRD+ after locoregional therapy; KRAS/NRAS covered mutation; ctDNA/CA19-9 monitor	0.18345599999999992	2.0	low	absent_from_master	scenario_only_no_patient_row_match	True	GA/RL candidate lacks direct patient-queue match; scenario-only research triage fallback	no patient_queue match; scenario-only fallback; research triage only	True	False	0.13208831999999995	5
CNV0_02410	MLGEQLFPL	HLA-A*02:01	ITSNdb_main	1.0	0.72	3	PAAD_MRD_KRAS_PUBLIC	PAAD	PAAD MRD+ KRAS-public	PAAD MRD-positive KRAS public-vaccine branch	1.0	0.7	0.65	0.7	0.8	high_if_kras_hla_match	MRD-positive PDAC; covered KRAS/NRAS mutation; HLA context; ctDNA/CA19-9 monitoring	0.2547999999999999	ELI-002 7P/2P amphiphile KRAS vaccine, consider checkpoint/chemo sequencing in trials	A-: phase 1 final strong correlative signal; phase 2 ongoing	monotherapy phase 1; combination timing not proven	MRD+ after locoregional therapy; KRAS/NRAS covered mutation; ctDNA/CA19-9 monitor	0.18345599999999992	3.0	low	absent_from_master	scenario_only_no_patient_row_match	True	GA/RL candidate lacks direct patient-queue match; scenario-only research triage fallback	no patient_queue match; scenario-only fallback; research triage only	True	False	0.13208831999999995	6
CNV0_02407	KLMNIQQKL	HLA-A*02:01	ITSNdb_main	1.0	0.7292138422717543	1	PAAD_RESECTED_KRAS_BROAD	PAAD	PAAD resected KRAS broad	PAAD resected KRAS broad long-peptide branch	0.9	0.65	0.6	0.65	0.65	conditional	resected KRAS-mutant PDAC after standard therapy; immune-toxicity fitness; driver mutation coverage	0.1482975	mKRAS long-peptide vaccine + nivolumab + ipilimumab	B: phase 1 immunogenicity	dual checkpoint toxicity; DFS signal small and G12D looked weaker	resected KRAS-mutant PDAC after standard therapy; fit for immune-related toxicity	0.10814058977429548	1.0	low	absent_from_master	scenario_only_no_patient_row_match	True	GA/RL candidate lacks direct patient-queue match; scenario-only research triage fallback	no patient_queue match; scenario-only fallback; research triage only	True	False	0.0788576149748476	7
CNV0_02504	LLVDLAEEL	HLA-A*02:01	ITSNdb_main	1.0	0.72	2	PAAD_RESECTED_KRAS_BROAD	PAAD	PAAD resected KRAS broad	PAAD resected KRAS broad long-peptide branch	0.9	0.65	0.6	0.65	0.65	conditional	resected KRAS-mutant PDAC after standard therapy; immune-toxicity fitness; driver mutation coverage	0.1482975	mKRAS long-peptide vaccine + nivolumab + ipilimumab	B: phase 1 immunogenicity	dual checkpoint toxicity; DFS signal small and G12D looked weaker	resected KRAS-mutant PDAC after standard therapy; fit for immune-related toxicity	0.1067742	2.0	low	absent_from_master	scenario_only_no_patient_row_match	True	GA/RL candidate lacks direct patient-queue match; scenario-only research triage fallback	no patient_queue match; scenario-only fallback; research triage only	True	False	0.076877424	8
CNV0_02410	MLGEQLFPL	HLA-A*02:01	ITSNdb_main	1.0	0.72	3	PAAD_RESECTED_KRAS_BROAD	PAAD	PAAD resected KRAS broad	PAAD resected KRAS broad long-peptide branch	0.9	0.65	0.6	0.65	0.65	conditional	resected KRAS-mutant PDAC after standard therapy; immune-toxicity fitness; driver mutation coverage	0.1482975	mKRAS long-peptide vaccine + nivolumab + ipilimumab	B: phase 1 immunogenicity	dual checkpoint toxicity; DFS signal small and G12D looked weaker	resected KRAS-mutant PDAC after standard therapy; fit for immune-related toxicity	0.1067742	3.0	low	absent_from_master	scenario_only_no_patient_row_match	True	GA/RL candidate lacks direct patient-queue match; scenario-only research triage fallback	no patient_queue match; scenario-only fallback; research triage only	True	False	0.076877424	9
CNV0_02407	KLMNIQQKL	HLA-A*02:01	ITSNdb_main	1.0	0.7292138422717543	1	THCA_RR_DTC_PDTC_HIGH_RISK	THCA	THCA RR-DTC/PDTC	THCA progressive RR-DTC/PDTC/high-risk recurrence	0.8	0.65	0.6	0.65	0.7	conditional	progressive radioiodine-refractory DTC, PDTC, or high-risk recurrence; intact presentation; measurable immune context	0.14196	NA	NA	NA	NA	0.10351919704889825	1.0	low	absent_from_master	scenario_only_no_patient_row_match	True	GA/RL candidate lacks direct patient-queue match; scenario-only research triage fallback	no patient_queue match; scenario-only fallback; research triage only	True	False	0.07548763142891395	10
