candidate_id	abstain	confidence_bin	abstention_reason_primary	abstention_reason_all	abstention_reason
CNV0_00000	True	high	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim
CNV0_00001	True	high	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; High disagreement across predictors	High leakage risk invalidates clean benchmark claim
CNV0_00001	True	high	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; High disagreement across predictors	High disagreement across predictors
CNV0_00002	True	high	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim
CNV0_00003	True	high	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; High disagreement across predictors	High leakage risk invalidates clean benchmark claim
CNV0_00003	True	high	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; High disagreement across predictors	High disagreement across predictors
CNV0_00004	True	high	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; High disagreement across predictors	High leakage risk invalidates clean benchmark claim
CNV0_00004	True	high	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; High disagreement across predictors	High disagreement across predictors
CNV0_00005	True	high	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; High disagreement across predictors	High leakage risk invalidates clean benchmark claim
CNV0_00005	True	high	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; High disagreement across predictors	High disagreement across predictors
CNV0_00006	True	high	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; High disagreement across predictors	High leakage risk invalidates clean benchmark claim
CNV0_00006	True	high	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; High disagreement across predictors	High disagreement across predictors
CNV0_00007	True	high	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; High disagreement across predictors	High leakage risk invalidates clean benchmark claim
CNV0_00007	True	high	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; High disagreement across predictors	High disagreement across predictors
CNV0_00008	True	high	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; High disagreement across predictors	High leakage risk invalidates clean benchmark claim
CNV0_00008	True	high	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; High disagreement across predictors	High disagreement across predictors
CNV0_00009	True	high	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; High disagreement across predictors	High leakage risk invalidates clean benchmark claim
CNV0_00009	True	high	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; High disagreement across predictors	High disagreement across predictors
