field	gate_group	required_for	how_used	reviewer_safe_default_if_missing	field_present	missing_or_empty	non_empty	metadata_status
patient_id	identity	both	links candidates to patient-level gates	unknown patient context	True	2715	0	present_but_empty
cancer_type	disease_context	both	selects PAAD vs THCA gate rules	no disease-specific confidence	True	2715	0	present_but_empty
disease_context	disease_context	both	captures MRD, recurrence, metastatic, ATC, PDTC, RR-DTC	disease gate unknown	True	2715	0	present_but_empty
tumor_burden_context	disease_context	PAAD	separates resected/MRD low-burden from bulky metastatic disease	PAAD vaccine-first confidence capped	False	2715	0	absent_from_master
disease_status	disease_context	both	captures resected, MRD-positive, progressive, recurrent, metastatic	disease gate unknown	False	2715	0	absent_from_master
tumor_stage	disease_context	both	supports high-risk recurrence/progression triage	stage-based gate unknown	True	2715	0	present_but_empty
histology	disease_context	THCA	separates PTC, PDTC, ATC, RR-DTC	routine low-risk PTC cannot be separated	False	2715	0	absent_from_master
driver_mutation	antigen	both	supports KRAS/BRAF/RET/NTRK/RAS/TERT context	driver-aware strategy unavailable	False	2715	0	absent_from_master
kras_mutation	antigen	PAAD	enables separate KRAS public-vaccine logic	KRAS-public branch unavailable	False	2715	0	absent_from_master
braf_v600e	disease_context	THCA	enables ATC BRAF/MEK backbone logic	BRAF-specific THCA strategy unavailable	False	2715	0	absent_from_master
ret_ntrk_fusion	disease_context	THCA	supports targeted backbone selection	fusion-targeted backbone unknown	False	2715	0	absent_from_master
tert_status	disease_context	THCA	supports high-risk recurrence context	risk context incomplete	False	2715	0	absent_from_master
hla	presentation	both	minimum HLA typing	presentation gate weak	True	0	2715	present_complete
hla_allele_4digit	presentation	both	allele-specific calibration and Korean-HLA focus	allele support unknown	True	0	2715	present_complete
hla_loh	presentation	both	detects antigen-presentation escape	presentation escape unknown	True	2715	0	present_but_empty
b2m_status	presentation	both	detects MHC-I presentation failure	presentation escape unknown	True	2715	0	present_but_empty
hla_expression	presentation	both	supports intact HLA expression	presentation gate unknown	False	2715	0	absent_from_master
antigen_processing_status	presentation	both	TAP/proteasome/presentation integrity	processing gate unknown	True	2715	0	present_but_empty
expression_tpm	antigen	both	supports expressed antigen evidence	antigen evidence weak	True	2715	0	present_but_empty
mutant_expression	antigen	both	supports expressed mutant allele	antigen evidence weak	True	2715	0	present_but_empty
vaf	antigen	both	supports clonality/allele fraction	clonality unknown	True	2715	0	present_but_empty
clonality	antigen	both	prioritizes clonal antigens	antigen durability unknown	True	2715	0	present_but_empty
immune_context_score	immune_context	both	immune-competent tumor context	immune gate unknown	True	2715	0	present_but_empty
tls_score	immune_context	THCA	supports HT/TLS immune-active thyroid context	THCA immune-active branch weak	True	2715	0	present_but_empty
ifng_score	immune_context	both	supports inflamed/IFNG context	immune gate unknown	True	2715	0	present_but_empty
cytolytic_score	immune_context	both	supports CD8/cytolytic activity	immune gate unknown	True	2715	0	present_but_empty
autoimmune_history	safety	both	immune-related toxicity and thyroiditis risk	safety gate unknown	False	2715	0	absent_from_master
thyroiditis_status	safety	THCA	Hashimoto/GD/thyroid autoimmunity safety context	THCA safety gate unknown	False	2715	0	absent_from_master
steroid_use	immune_context	both	immune competence and vaccine response risk	immune gate unknown	False	2715	0	absent_from_master
alc	immune_context	both	lymphocyte competence	immune gate unknown	False	2715	0	absent_from_master
ecog	safety	both	fitness for combination therapy	safety gate unknown	False	2715	0	absent_from_master
ctdna_status	disease_context	PAAD	MRD monitoring and response window	MRD branch unavailable	False	2715	0	absent_from_master
ca19_9	disease_context	PAAD	PAAD disease monitoring	PAAD monitoring unavailable	False	2715	0	absent_from_master
rai_refractory	disease_context	THCA	progressive RR-DTC branch	RR-DTC branch unavailable	False	2715	0	absent_from_master
manufacturing_feasible	manufacturing	both	tissue/RNA/QC/turnaround feasibility	manufacturing gate unknown	False	2715	0	absent_from_master
tumor_tissue_qc	manufacturing	both	input material adequacy	manufacturing gate unknown	False	2715	0	absent_from_master
wes_rna_qc	manufacturing	both	private neoantigen calling feasibility	manufacturing gate unknown	False	2715	0	absent_from_master
turnaround_window	manufacturing	both	whether vaccine manufacture fits disease tempo	manufacturing gate unknown	False	2715	0	absent_from_master
