atlas_group	atlas_decision	audit_priority	n_candidates	mean_priority_score	mean_barneo_ng_score	mean_source_prev	mean_hla_prev
T1_survivors	GA_RL_hit_confirmed_T1_by_BAR_Neo_NG	NA	3	0.7230712807572514	0.7200000000000001	0.6482412060301508	0.3483483483483483
T1_survivors	GA_RL_hit_blocked_from_clean_claim	A_blocked_high_GA_review_leakage_or_overlap	0	NA	NA	NA	NA
T1_survivors	GA_RL_hit_blocked_from_clean_claim	B_watchlist_high_GA_manual_review	0	NA	NA	NA	NA
T1_survivors	GA_RL_hit_blocked_from_clean_claim	NA	0	NA	NA	NA	NA
T1_survivors	GA_RL_hit_confirmed_T1_by_BAR_Neo_NG	A_blocked_high_GA_review_leakage_or_overlap	0	NA	NA	NA	NA
T1_survivors	GA_RL_hit_confirmed_T1_by_BAR_Neo_NG	B_watchlist_high_GA_manual_review	0	NA	NA	NA	NA
T1_survivors	GA_RL_hit_watchlist_manual_review	A_blocked_high_GA_review_leakage_or_overlap	0	NA	NA	NA	NA
T1_survivors	GA_RL_hit_watchlist_manual_review	B_watchlist_high_GA_manual_review	0	NA	NA	NA	NA
T1_survivors	GA_RL_hit_watchlist_manual_review	NA	0	NA	NA	NA	NA
blocked_high_GA	GA_RL_hit_blocked_from_clean_claim	A_blocked_high_GA_review_leakage_or_overlap	69	0.25	0.11879512533720674	NA	NA
blocked_high_GA	GA_RL_hit_watchlist_manual_review	B_watchlist_high_GA_manual_review	3	0.563030664155723	0.4952942988809845	NA	NA
blocked_high_GA	GA_RL_hit_blocked_from_clean_claim	B_watchlist_high_GA_manual_review	0	NA	NA	NA	NA
blocked_high_GA	GA_RL_hit_blocked_from_clean_claim	NA	0	NA	NA	NA	NA
blocked_high_GA	GA_RL_hit_confirmed_T1_by_BAR_Neo_NG	A_blocked_high_GA_review_leakage_or_overlap	0	NA	NA	NA	NA
blocked_high_GA	GA_RL_hit_confirmed_T1_by_BAR_Neo_NG	B_watchlist_high_GA_manual_review	0	NA	NA	NA	NA
blocked_high_GA	GA_RL_hit_confirmed_T1_by_BAR_Neo_NG	NA	0	NA	NA	NA	NA
blocked_high_GA	GA_RL_hit_watchlist_manual_review	A_blocked_high_GA_review_leakage_or_overlap	0	NA	NA	NA	NA
blocked_high_GA	GA_RL_hit_watchlist_manual_review	NA	0	NA	NA	NA	NA
