module	matched_panel_gene	random_gene
random_matched_001	DIO1	TMEM115
random_matched_001	FOXE1	ATP6V1D
random_matched_001	NKX2-1	UBE2L3
random_matched_001	PAX8	NDUFS5
random_matched_001	SLC5A5	ZKSCAN8
random_matched_001	TG	CTSB
random_matched_001	TPO	PSME1
random_matched_001	TSHR	CLTA
random_matched_002	DIO1	ENOSF1
random_matched_002	FOXE1	TWF2
random_matched_002	NKX2-1	MRPL33
random_matched_002	PAX8	TAGLN2
random_matched_002	SLC5A5	PRKCA
random_matched_002	TG	CD24
random_matched_002	TPO	CIRBP
random_matched_002	TSHR	TSC22D3
random_matched_003	DIO1	FXR1
random_matched_003	FOXE1	NDUFA4L2
random_matched_003	NKX2-1	RAMP3
random_matched_003	PAX8	ATP5ME
random_matched_003	SLC5A5	ALKBH4
random_matched_003	TG	C3
random_matched_003	TPO	NAA38
random_matched_003	TSHR	SPARCL1
random_matched_004	DIO1	NPEPL1
random_matched_004	FOXE1	SSRP1
random_matched_004	NKX2-1	MMP24OS
random_matched_004	PAX8	NDUFB11
random_matched_004	SLC5A5	XPNPEP3
random_matched_004	TG	SNHG5
random_matched_004	TPO	NDUFA13
random_matched_004	TSHR	JUN
random_matched_005	DIO1	TP53INP1
random_matched_005	FOXE1	ELL2
random_matched_005	NKX2-1	FKBP11
random_matched_005	PAX8	ENO1
random_matched_005	SLC5A5	LIAS
random_matched_005	TG	CALR
random_matched_005	TPO	TXNIP
random_matched_005	TSHR	HSPG2
random_matched_006	DIO1	THEMIS2
random_matched_006	FOXE1	IK
random_matched_006	NKX2-1	TPM4
random_matched_006	PAX8	GABARAP
random_matched_006	SLC5A5	NIPAL2
random_matched_006	TG	FOSB
random_matched_006	TPO	GLUL
random_matched_006	TSHR	PLD3
random_matched_007	DIO1	LMO4
random_matched_007	FOXE1	KIFC3
random_matched_007	NKX2-1	SSNA1
random_matched_007	PAX8	CD81
random_matched_007	SLC5A5	GDF15
random_matched_007	TG	EEF1B2
random_matched_007	TPO	NAA38
random_matched_007	TSHR	CDC37
random_matched_008	DIO1	PPP1R18
random_matched_008	FOXE1	RNF5
random_matched_008	NKX2-1	C1orf122
random_matched_008	PAX8	BEX3
random_matched_008	SLC5A5	CCZ1B
random_matched_008	TG	PDIA3
random_matched_008	TPO	SLC26A7
random_matched_008	TSHR	TNFRSF12A
random_matched_009	DIO1	ANKRD12
random_matched_009	FOXE1	EMC7
random_matched_009	NKX2-1	CD47
random_matched_009	PAX8	EEF1B2
random_matched_009	SLC5A5	POMC
