endpoint	model	n	events	epv	or_	ci_low	ci_high	p	method
new tumour event after initial treatment	Tier 1 · Cohen's d (patient bootstrap)	145	9		-0.8375526374779908	-1.374704850198604	-0.2474217677706927	0.004880495554155938	nonparametric
new tumour event after initial treatment	Tier 1 · rank-biserial correlation	145	9		-0.5620915032679739			0.004880495554155938	nonparametric
new tumour event after initial treatment	Tier 2 · Firth, score only	145	9	9.0	0.22116077261694736	0.062404220341816787	0.7837945426865514	0.019419857539473506	Firth
new tumour event after initial treatment	Tier 3 · Firth + stage	145	9	4.5	0.239175282816587	0.06896855163035522	0.8294333367618055	0.024148551855758704	Firth
new tumour event after initial treatment	Tier 3 · Firth + purity	145	9	4.5	0.20198994552132432	0.05442223833863006	0.7496923929853672	0.01682252120858929	Firth
new tumour event after initial treatment	Tier 3 · Firth + stage + purity (exploratory)	145	9	3.0	0.21943933526108889	0.060355626773269916	0.7978315268056281	0.021281915744415514	Firth
persistent disease within 3 months of surgery	Tier 1 · Cohen's d (patient bootstrap)	72	13		-0.7818505105851636	-1.2942920938802471	-0.3110770629522166	0.011801509911764348	nonparametric
persistent disease within 3 months of surgery	Tier 1 · rank-biserial correlation	72	13		-0.44980443285528027			0.011801509911764348	nonparametric
persistent disease within 3 months of surgery	Tier 2 · Firth, score only	72	13	13.0	0.22449149426045337	0.061042669560510646	0.8255934964530666	0.024547453193110913	Firth
persistent disease within 3 months of surgery	Tier 3 · Firth + stage	72	13	6.5	0.23804121026978764	0.065052856629394	0.8710396548689289	0.030112608003900698	Firth
persistent disease within 3 months of surgery	Tier 3 · Firth + purity	72	13	6.5	0.22313228057298642	0.06004136025825283	0.8292286253934172	0.02511745916855146	Firth
persistent disease within 3 months of surgery	Tier 3 · Firth + stage + purity (exploratory)	72	13	4.33	0.23659108371649712	0.06407353297284295	0.8736109637948521	0.030561430265124034	Firth
