gene	in_panel_8	in_tds_16	category
DIO1	True	True	panel ∩ TDS-16
FOXE1	True	True	panel ∩ TDS-16
NKX2-1	True	True	panel ∩ TDS-16
PAX8	True	True	panel ∩ TDS-16
SLC5A5	True	True	panel ∩ TDS-16
TG	True	True	panel ∩ TDS-16
TPO	True	True	panel ∩ TDS-16
TSHR	True	True	panel ∩ TDS-16
DIO2	False	True	TDS-16 only (eTDS-extended iodide axis)
DUOX1	False	True	TDS-16 only (eTDS-extended iodide axis)
DUOX2	False	True	TDS-16 only (eTDS-extended iodide axis)
GLIS3	False	True	TDS-16 only (eTDS-extended iodide axis)
SLC26A4	False	True	TDS-16 only (eTDS-extended iodide axis)
SLC5A8	False	True	TDS-16 only (eTDS-extended iodide axis)
THRA	False	True	TDS-16 only (eTDS-extended iodide axis)
THRB	False	True	TDS-16 only (eTDS-extended iodide axis)
