dataset_name,accession,cancer_type,sample_size,sample_type,omics_type,platform,rai_label_type,label_tier,has_expression,has_mutation,has_clinical_response,public_download,controlled_access,useful_for,limitations,priority,next_action
GSE151179,GSE151179,papillary_thyroid_carcinoma,~50_PTC_primary_metastasis_pairs,,bulk_mRNA,Affymetrix or Illumina (verify on download),"RAI_avid_vs_refractory, metastatic_uptake_yes_no, sample_type (primary_tumor / lymph_node_metastasis / distant_metastasis), remission_persistence (some samples)",Tier_2_RAI_avidity,True,False,True,True,False,,,1,download_and_validate_panel
GSE151180,GSE151180,,,,miRNA,,,Tier_2_RAI_avidity,True,False,True,True,False,,,3,defer_until_mRNA_results
GSE151181,GSE151181,,,,,,,,False,False,False,False,False,,,,
Boucai_2023_CCR,request,metastatic_differentiated_thyroid_cancer,,,bulk_RNA_seq + WES,,exceptional_responder_vs_non_responder (RECIST v1.1),Tier_1_direct_clinical_RAI_response,True,True,True,False,True,"Boucai et al. Clin Cancer Res 2023, exceptional RAI responders",,1,docs/data_request_boucai.md
Mu_2024_JCEM,HRA004166,distant_metastatic_differentiated_thyroid_cancer,220,,targeted_NGS (ThyroLead-like),,"initially_RAI_refractory, continually_RAI_avid, gradually_RAI_refractory, partly_RAI_refractory",Tier_2_RAI_avidity (with gray-zone subgroups),False,True,True,False,True,"Mu et al. JCEM 2024, distant metastatic DTC RAI uptake patterns",,1,docs/data_request_mu_hra004166.md
GSE299988,GSE299988,papillary_thyroid_carcinoma,"small (~10-30, verify)",,bulk_expression,,"RAI_avid_vs_non_avid, adjacent_normal_present",Tier_2_RAI_avidity,True,False,True,True,False,,,2,download_supportive_validation
TCGA-THCA,TCGA-THCA,papillary_thyroid_carcinoma_majority,~504,,RNA_seq + WES + HM450 + CNV + clinical,,"no_direct_RAI_response_field, {'weak_proxies': 'recurrence, DFI, PFI, progression, residual_disease'}",Tier_4_molecular_proxy_only,True,True,False,True,False,,,1,discovery_context_panel_score + driver_stratification (no overclaim)
GSE112202,GSE112202,thyroid_cancer_cell_lines_or_tumors,,,,,"treatment_vs_control, restored_iodide_handling",Tier_5_redifferentiation,False,False,False,True,False,digoxin redifferentiation + RAI,,2,download_and_check_panel_directionality
GSE184362,GSE184362,papillary_thyroid_carcinoma,,,single_cell_RNA_seq,,primary_tumor / paratumor / LN_met / RAI_refractory_distant_met,Tier_2_RAI_avidity (per-sample) + cell_state_mechanism,True,False,True,True,False,Pu 2021 PTC scRNA + lymph node + RAI-refractory distant met,,3,plan_scRNA_workflow_before_download (heavy)
Redifferentiation_trials,,,,,,,restored_RAI_uptake_post_MAPK_inhibition,Tier_5_redifferentiation,False,False,False,False,False,,,2,scan_supplements + 04_redifferentiation_dataset_scan.ipynb
