dataset	score	n	spearman_rho_with_log_counts	p	flag
GSE230424	RAI_8_score_raw	14133	0.5250977996463394	0.0	⚠️ depth-confound
GSE230424	DM1_like_score_raw	14133	-0.5250977996463394	0.0	⚠️ depth-confound
GSE230424	RAI_8_score_resid	14133	0.04869431464750445	6.962959406502137e-09	ok
GSE230424	DM1_like_score_resid	14133	-0.04869431464750445	6.962959406502137e-09	ok
GSE230424	THYROID_NONOVERLAP_score_raw	14133	0.541594583405772	0.0	⚠️ depth-confound
GSE230424	THYROID_NONOVERLAP_score_resid	14133	0.04477759914841075	1.0069570702760872e-07	ok
GSE248205	RAI_8_score_raw	15550	0.30180685764015897	0.0	⚠️ depth-confound
GSE248205	DM1_like_score_raw	15550	-0.30180685764015897	0.0	⚠️ depth-confound
GSE248205	RAI_8_score_resid	15550	-0.0016644993789532675	0.8355835265535433	ok
GSE248205	DM1_like_score_resid	15550	0.0016644993789532675	0.8355835265535433	ok
GSE248205	THYROID_NONOVERLAP_score_raw	15550	0.3284834630155037	0.0	⚠️ depth-confound
GSE248205	THYROID_NONOVERLAP_score_resid	15550	0.0019020238569800432	0.8125304662085958	ok
