dataset	accession_or_source	data_type	sample_size	mutation_available	rna_seq_available	mirna_available	methylation_available	single_cell_available	fusion_available	clinical_outcome_available	rai_response_available	access_type	support_for_paper	limitations_blockers	source_url
TCGA-THCA / GDC	TCGA-THCA; GDC project	bulk multi-omics: WES/mutation, RNA-seq, miRNA-seq, DNA methylation, CNV/SV, clinical	GDC current project metadata: 507 cases; local discovery denominator: 482 mutation-callable tumors	yes	yes	yes	yes	no	partial: SV/fusion-related files exist but curated fusion calls incomplete	yes: clinical and TCGA-CDR-derived endpoints usable	no: treatment exists but avid/refractory RAI response is not a clean endpoint	public plus controlled for some raw/identifiable data	Primary discovery cohort for BRAF/RAS-negative count, DICER1/EIF1AX/PPM1D enrichment, TERT integration, TDS/RAI-gene expression, exploratory survival limitations	Do not infer RAI resistance; survival underpowered in BRAF/RAS-negative subset; fusion calls incomplete	https://portal.gdc.cancer.gov/projects/TCGA-THCA ; https://gdc.cancer.gov/about-data/publications/thca_2014
cBioPortal TCGA THCA Firehose Legacy	thca_tcga	bulk cBioPortal TCGA Firehose mutation, CNA, RNA-seq V2, methylation, RPPA, clinical	API check: all 516; sequenced 405; RNA-seq V2 509; methylation 511; RPPA 224; complete 397	yes	yes	no via cBioPortal API count	yes	no	no structural-variant profile in Firehose	yes	no	public	Cross-checks mutation/CNA/expression/methylation and clinical fields; useful independent portal for reproducibility	Firehose and publication/GDC processing differ; no direct RAI response; not a separate biological cohort from TCGA	http://www.cbioportal.org/study/summary?id=thca_tcga
cBioPortal TCGA THCA PanCancer Atlas	thca_tcga_pan_can_atlas_2018	bulk harmonized PanCancer Atlas mutation, CNA, RNA-seq, methylation-derived generic assays, RPPA, structural variants, treatment/clinical	API check: all 500; sequenced 490; RNA-seq 498; CNA 497; RPPA 369; complete 480; structural variants 135	yes	yes	no via cBioPortal API count	yes	no	partial: structural-variant profile available	yes	no	public	Cross-check PanCancer Atlas clinical/molecular calls; useful for structural-variant/fusion candidate overlay and treatment metadata review	Not independent from TCGA; structural variants are not a complete validated thyroid fusion catalogue; no direct RAI avid/refractory endpoint	http://www.cbioportal.org/study/summary?id=thca_tcga_pan_can_atlas_2018
GSE151179 / GSE151180	GSE151181 SuperSeries; GSE151179 mRNA; GSE151180 miRNA	mRNA expression array plus miRNA array in RAI-avid/refractory PTC series	GSE151179: 52 thyroid samples from 39 PTCs and 13 matched non-neoplastic thyroids; GSE151180: 47/52 miRNA profiles	yes: common PTC mutations/fusions by PTC-MA per GEO summary	no: mRNA microarray, not RNA-seq	yes	no	no	yes: common PTC gene fusions characterized by PTC-MA	partial: RAI outcome/response labels, not broad survival	yes: RAI uptake/response stratification available; use exact metadata labels	public	Best direct public validation of RAI-related differentiation/RAI-gene score against RAI-avid versus refractory labels	Array platform; lesion/timepoint structure must be preserved; do not transfer RAI-resistance claim back to TCGA without validation	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE151179 ; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE151181
GSE184362	GSE184362	scRNA-seq of PTC ecosystem	158,577 cells from 11 patients; 23 specimens including 7 primary tumors, 6 paratumors, 8 metastatic LNs, 2 subcutaneous metastatic loci	no	no	no	no	yes	no	partial: specimen type and clinical course metadata	no direct response endpoint; includes RAI-refractory distant-metastasis specimens	public processed; raw also deposited in GSA HRA001107 per GEO	High-priority validation of thyroid-cell differentiation gradient, malignant epithelial state, primary/metastasis/RAI-refractory specimen context	Do not treat specimen label as a quantitative RAI response endpoint; mutation/fusion not available in GEO record	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE184362
GSE232237	GSE232237	Korean thyroid cancer scRNA-seq	GEO summary: 3 normal thyroid, 7 PTC, 5 ATC cases; GEO lists 12 samples	no	no	no	no	yes	no	limited histology labels	no	public	Independent Korean single-cell validation for normal/PTC/ATC differentiation gradient and malignant epithelial cell states	Sample-count wording differs between summary and GSM count; no mutation/fusion/RAI response endpoint	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE232237
GSE60542	GSE60542	Affymetrix GPL570 bulk expression array of PTC primary tumors, nodal metastases, matched normal thyroid, normal lymph nodes	92 samples: 11 N0 primary PTC, 17 N+ primary PTC, 17 matched nodal metastases, 24 matched normal thyroids, 4 normal lymph nodes, plus replicates/controls	no	no: microarray only	no	no	no	no	partial: nodal status and sample pairing, not robust survival	no	public	Can test whether differentiation/RAI-gene axis behaves across primary PTC, nodal metastasis, and normal thyroid	Strong lymphoid confounding warning for metastasis comparisons; no mutation/fusion/RAI-response data	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60542
GSE29265	GSE29265	Affymetrix GPL570 bulk expression array	49 samples: 9 ATC, 20 PTC, 20 patient-matched non-tumor controls	no	no: microarray only	no	no	no	no	no	no	public	Supports dedifferentiation directionality and external expression replication across PTC/ATC/normal	No mutation/fusion/clinical outcome/RAI response; older array platform	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29265
GSE33630	GSE33630	Affymetrix GPL570 bulk expression array	105 samples: 11 ATC, 49 PTC, 45 normal thyroids	no	no: microarray only	no	no	no	no	no	no	public	Large public PTC/ATC/normal expression validation for thyroid differentiation and RAI-gene depletion in advanced disease	No mutation/fusion/outcome/RAI response; normal samples include non-tumoral thyroid context	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE33630
GSE65144	GSE65144	Affymetrix GPL570 bulk expression array	25 samples: 12 ATC, 13 normal thyroids	no	no: microarray only	no	no	no	no	no	no	public	Clean ATC-versus-normal support for advanced dedifferentiation and loss of thyroid-lineage/RAI genes	No PTC arm, mutation/fusion/outcome/RAI response absent; therapeutic-target language in original study should not be imported without functional data	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65144
