primitive_type	primitive	n_methods
core_primitives	CDR3beta_peptide_HLA_input	1
core_primitives	CNN_immunogenicity_model	1
core_primitives	MS_EL_pretraining	1
core_primitives	RNN_controller_generates_architecture	1
core_primitives	TCR_recognition_determinants	1
core_primitives	WES_RNA_reprocessing	1
core_primitives	aging_evolution	1
core_primitives	antigen_subtype_taxonomy	1
core_primitives	architecture_mutation	1
core_primitives	assay_metadata	1
core_primitives	binding_affinity_plus_EL_integration	1
core_primitives	binding_promiscuity	1
core_primitives	curated_cancer_epitope_labels	1
core_primitives	distill_neural_solution_to_code	1
core_primitives	emergent_regularization	1
core_primitives	evolve_learning_algorithms_from_math_ops	1
core_primitives	human_comprehensible_algorithm	1
core_primitives	immunoediting_signal	1
core_primitives	immunogenicity_transfer_learning	1
core_primitives	interpretable_pMHC_features	1
core_primitives	limited_compute_efficiency	1
core_primitives	low_human_bias_search	1
core_primitives	motif_deconvolution	1
core_primitives	multi_allele_class_I_prediction	1
core_primitives	multimodal_sequence_structure_biochemistry	1
core_primitives	oncogenicity_context	1
core_primitives	pairing_specificity_prediction	1
core_primitives	pan_allelic_peptide_HLA_encoder	1
core_primitives	pan_specific_MHC_prediction	1
core_primitives	physiochemical_aware_encoding	1
core_primitives	policy_gradient_search	1
core_primitives	presentation_hotspots	1
core_primitives	presentation_plus_TCR_recognition_propensity	1
core_primitives	seven_model_ensemble	1
core_primitives	symbolic_essence_network	1
core_primitives	top_k_sensitivity_benchmark	1
core_primitives	tournament_selection	1
core_primitives	transfer_learning_TCR_pMHC	1
core_primitives	validation_reward	1
modalities	peptide_sequence	8
modalities	HLA_allele	7
modalities	immune_response_label	4
modalities	MS_eluted_ligand	2
modalities	DNA_variant	1
modalities	HLA_presentation_score	1
modalities	OOD_task_suite	1
modalities	RNA_expression	1
modalities	TCR_CDR3beta	1
modalities	TCR_recognition_features	1
modalities	age_metadata	1
modalities	algorithm_code	1
modalities	amino_acid_properties	1
modalities	antigen_subtype	1
modalities	architecture_tokens	1
modalities	assay_metadata	1
modalities	binding_affinity	1
modalities	biochemical_features	1
modalities	distilled_code	1
modalities	fitness_metric	1
modalities	gene_context	1
modalities	genotype	1
modalities	math_operations	1
modalities	neural_parameters	1
modalities	pMHC_context	1
modalities	pMHC_structure	1
modalities	patient_context	1
modalities	response_label	1
modalities	training_data	1
modalities	training_trace	1
modalities	validation_metric	1
modalities	validation_tasks	1
preprocessing_primitives	8_15mer_peptide_filter	1
preprocessing_primitives	CDR3beta_normalization	1
preprocessing_primitives	EL_random_negative_design	1
preprocessing_primitives	HLA_normalization	1
preprocessing_primitives	HLA_peptide_pair_encoding	1
preprocessing_primitives	MS_EL_and_BA_label_merge	1
preprocessing_primitives	OOD_generalization_test	1
preprocessing_primitives	SNV_to_neopeptide_expansion	1
preprocessing_primitives	TCR_facing_residue_features	1
preprocessing_primitives	TCR_pair_availability_gate	1
preprocessing_primitives	age_tracking	1
preprocessing_primitives	allele_resolution_normalization	1
