source	target	relation
CROSS-Neo_Darwin_RL	choose_label_confidence_model	controller_can_choose
CROSS-Neo_Darwin_RL	choose_split_policy	controller_can_choose
CROSS-Neo_Darwin_RL	activate_modality_branches	controller_can_choose
CROSS-Neo_Darwin_RL	choose_encoder_family	controller_can_choose
CROSS-Neo_Darwin_RL	choose_fusion_rule	controller_can_choose
CROSS-Neo_Darwin_RL	choose_search_operator	controller_can_choose
CROSS-Neo_Darwin_RL	compose_reward	controller_can_choose
CROSS-Neo_Darwin_RL	allocate_96_well_arms	controller_can_choose
CROSS-Neo_Darwin_RL	source_balanced_AUPRC	optimizes
CROSS-Neo_Darwin_RL	low_leakage_AUPRC	optimizes
CROSS-Neo_Darwin_RL	top96_precision	optimizes
CROSS-Neo_Darwin_RL	wetlab_interpreter_hit_yield	optimizes
CROSS-Neo_Darwin_RL	external_comparator_delta	optimizes
CROSS-Neo_Darwin_RL	modality_completeness	optimizes
CROSS-Neo_Darwin_RL	novelty_diversity	optimizes
CROSS-Neo_Darwin_RL	interpretability	optimizes
CROSS-Neo_Darwin_RL	complexity_penalty	optimizes
BigMHC	CROSS-Neo_Darwin_RL	contributes_primitives
BigMHC	MS_EL_pretraining	has_core_primitive
BigMHC	immunogenicity_transfer_learning	has_core_primitive
BigMHC	seven_model_ensemble	has_core_primitive
BigMHC	pan_allelic_peptide_HLA_encoder	has_core_primitive
BigMHC	class_I_filter	has_preprocessing_primitive
BigMHC	8_15mer_peptide_filter	has_preprocessing_primitive
BigMHC	HLA_normalization	has_preprocessing_primitive
BigMHC	EL_random_negative_design	has_preprocessing_primitive
BigMHC	peptide_sequence	has_modality
BigMHC	HLA_allele	has_modality
BigMHC	MS_eluted_ligand	has_modality
BigMHC	immune_response_label	has_modality
BigMHC	two_stage_EL_to_IM_transfer	has_search_gene
BigMHC	public_prior_score	has_search_gene
BigMHC	ensemble_diversity_weight	has_search_gene
BigMHC	training_overlap_audit	has_risk_guard
BigMHC	public_tool_dependency_boundary	has_risk_guard
MS_EL_pretraining	CROSS-Neo_Darwin_RL	available_to_search
immunogenicity_transfer_learning	CROSS-Neo_Darwin_RL	available_to_search
seven_model_ensemble	CROSS-Neo_Darwin_RL	available_to_search
pan_allelic_peptide_HLA_encoder	CROSS-Neo_Darwin_RL	available_to_search
class_I_filter	CROSS-Neo_Darwin_RL	available_to_search
8_15mer_peptide_filter	CROSS-Neo_Darwin_RL	available_to_search
HLA_normalization	CROSS-Neo_Darwin_RL	available_to_search
EL_random_negative_design	CROSS-Neo_Darwin_RL	available_to_search
peptide_sequence	CROSS-Neo_Darwin_RL	available_to_search
HLA_allele	CROSS-Neo_Darwin_RL	available_to_search
MS_eluted_ligand	CROSS-Neo_Darwin_RL	available_to_search
immune_response_label	CROSS-Neo_Darwin_RL	available_to_search
two_stage_EL_to_IM_transfer	CROSS-Neo_Darwin_RL	available_to_search
public_prior_score	CROSS-Neo_Darwin_RL	available_to_search
ensemble_diversity_weight	CROSS-Neo_Darwin_RL	available_to_search
training_overlap_audit	CROSS-Neo_Darwin_RL	available_to_search
public_tool_dependency_boundary	CROSS-Neo_Darwin_RL	available_to_search
ImmunoStruct	CROSS-Neo_Darwin_RL	contributes_primitives
ImmunoStruct	multimodal_sequence_structure_biochemistry	has_core_primitive
ImmunoStruct	interpretable_pMHC_features	has_core_primitive
ImmunoStruct	multi_allele_class_I_prediction	has_core_primitive
ImmunoStruct	pMHC_structure_standardization	has_preprocessing_primitive
ImmunoStruct	biochemical_descriptor_generation	has_preprocessing_primitive
ImmunoStruct	allele_stratified_split	has_preprocessing_primitive
ImmunoStruct	peptide_sequence	has_modality
ImmunoStruct	HLA_allele	has_modality
ImmunoStruct	pMHC_structure	has_modality
ImmunoStruct	biochemical_features	has_modality
ImmunoStruct	immune_response_label	has_modality
ImmunoStruct	structure_branch	has_search_gene
ImmunoStruct	biochemistry_branch	has_search_gene
ImmunoStruct	late_fusion_attention	has_search_gene
ImmunoStruct	structure_uncertainty_gate	has_search_gene
ImmunoStruct	structure_availability_bias	has_risk_guard
ImmunoStruct	allele_coverage_check	has_risk_guard
multimodal_sequence_structure_biochemistry	CROSS-Neo_Darwin_RL	available_to_search
interpretable_pMHC_features	CROSS-Neo_Darwin_RL	available_to_search
multi_allele_class_I_prediction	CROSS-Neo_Darwin_RL	available_to_search
pMHC_structure_standardization	CROSS-Neo_Darwin_RL	available_to_search
biochemical_descriptor_generation	CROSS-Neo_Darwin_RL	available_to_search
allele_stratified_split	CROSS-Neo_Darwin_RL	available_to_search
pMHC_structure	CROSS-Neo_Darwin_RL	available_to_search
biochemical_features	CROSS-Neo_Darwin_RL	available_to_search
structure_branch	CROSS-Neo_Darwin_RL	available_to_search
biochemistry_branch	CROSS-Neo_Darwin_RL	available_to_search
late_fusion_attention	CROSS-Neo_Darwin_RL	available_to_search
structure_uncertainty_gate	CROSS-Neo_Darwin_RL	available_to_search
structure_availability_bias	CROSS-Neo_Darwin_RL	available_to_search
allele_coverage_check	CROSS-Neo_Darwin_RL	available_to_search
DeepImmuno	CROSS-Neo_Darwin_RL	contributes_primitives
DeepImmuno	CNN_immunogenicity_model	has_core_primitive
DeepImmuno	physiochemical_aware_encoding	has_core_primitive
DeepImmuno	top_k_sensitivity_benchmark	has_core_primitive
DeepImmuno	beta_binomial_response_confidence	has_preprocessing_primitive
DeepImmuno	HLA_peptide_pair_encoding	has_preprocessing_primitive
DeepImmuno	low_confidence_label_filter	has_preprocessing_primitive
DeepImmuno	peptide_sequence	has_modality
DeepImmuno	HLA_allele	has_modality
DeepImmuno	amino_acid_properties	has_modality
DeepImmuno	immune_response_label	has_modality
DeepImmuno	AA_property_channel	has_search_gene
DeepImmuno	confidence_weighted_label	has_search_gene
DeepImmuno	small_CNN_branch	has_search_gene
DeepImmuno	top_k_reward	has_search_gene
DeepImmuno	small_data_overfit_check	has_risk_guard
DeepImmuno	threshold_sensitivity_audit	has_risk_guard
CNN_immunogenicity_model	CROSS-Neo_Darwin_RL	available_to_search
physiochemical_aware_encoding	CROSS-Neo_Darwin_RL	available_to_search
top_k_sensitivity_benchmark	CROSS-Neo_Darwin_RL	available_to_search
beta_binomial_response_confidence	CROSS-Neo_Darwin_RL	available_to_search
HLA_peptide_pair_encoding	CROSS-Neo_Darwin_RL	available_to_search
low_confidence_label_filter	CROSS-Neo_Darwin_RL	available_to_search
amino_acid_properties	CROSS-Neo_Darwin_RL	available_to_search
AA_property_channel	CROSS-Neo_Darwin_RL	available_to_search
confidence_weighted_label	CROSS-Neo_Darwin_RL	available_to_search
small_CNN_branch	CROSS-Neo_Darwin_RL	available_to_search
top_k_reward	CROSS-Neo_Darwin_RL	available_to_search
small_data_overfit_check	CROSS-Neo_Darwin_RL	available_to_search
threshold_sensitivity_audit	CROSS-Neo_Darwin_RL	available_to_search
PRIME	CROSS-Neo_Darwin_RL	contributes_primitives
PRIME	presentation_plus_TCR_recognition_propensity	has_core_primitive
PRIME	TCR_recognition_determinants	has_core_primitive
PRIME	immunoediting_signal	has_core_primitive
PRIME	TCR_facing_residue_features	has_preprocessing_primitive
PRIME	presentation_rank_features	has_preprocessing_primitive
PRIME	neoepitope_label_harmonization	has_preprocessing_primitive
PRIME	peptide_sequence	has_modality
PRIME	HLA_presentation_score	has_modality
PRIME	TCR_recognition_features	has_modality
PRIME	immune_response_label	has_modality
PRIME	TCR_propensity_branch	has_search_gene
PRIME	TCR_facing_position_mask	has_search_gene
PRIME	immunoediting_prior	has_search_gene
PRIME	non_tumor_training_boundary	has_risk_guard
PRIME	label_context_check	has_risk_guard
presentation_plus_TCR_recognition_propensity	CROSS-Neo_Darwin_RL	available_to_search
TCR_recognition_determinants	CROSS-Neo_Darwin_RL	available_to_search
immunoediting_signal	CROSS-Neo_Darwin_RL	available_to_search
TCR_facing_residue_features	CROSS-Neo_Darwin_RL	available_to_search
presentation_rank_features	CROSS-Neo_Darwin_RL	available_to_search
neoepitope_label_harmonization	CROSS-Neo_Darwin_RL	available_to_search
HLA_presentation_score	CROSS-Neo_Darwin_RL	available_to_search
TCR_recognition_features	CROSS-Neo_Darwin_RL	available_to_search
TCR_propensity_branch	CROSS-Neo_Darwin_RL	available_to_search
TCR_facing_position_mask	CROSS-Neo_Darwin_RL	available_to_search
immunoediting_prior	CROSS-Neo_Darwin_RL	available_to_search
non_tumor_training_boundary	CROSS-Neo_Darwin_RL	available_to_search
label_context_check	CROSS-Neo_Darwin_RL	available_to_search
NetMHCpan_4_1	CROSS-Neo_Darwin_RL	contributes_primitives
NetMHCpan_4_1	motif_deconvolution	has_core_primitive
NetMHCpan_4_1	binding_affinity_plus_EL_integration	has_core_primitive
NetMHCpan_4_1	pan_specific_MHC_prediction	has_core_primitive
NetMHCpan_4_1	allele_resolution_normalization	has_preprocessing_primitive
NetMHCpan_4_1	peptide_length_windows	has_preprocessing_primitive
NetMHCpan_4_1	MS_EL_and_BA_label_merge	has_preprocessing_primitive
NetMHCpan_4_1	peptide_sequence	has_modality
NetMHCpan_4_1	HLA_allele	has_modality
NetMHCpan_4_1	binding_affinity	has_modality
NetMHCpan_4_1	MS_eluted_ligand	has_modality
NetMHCpan_4_1	presentation_gate	has_search_gene
NetMHCpan_4_1	motif_deconvolution_prior	has_search_gene
NetMHCpan_4_1	BA_EL_dual_score	has_search_gene
NetMHCpan_4_1	presentation_not_immunogenicity_boundary	has_risk_guard
motif_deconvolution	CROSS-Neo_Darwin_RL	available_to_search
binding_affinity_plus_EL_integration	CROSS-Neo_Darwin_RL	available_to_search
pan_specific_MHC_prediction	CROSS-Neo_Darwin_RL	available_to_search
allele_resolution_normalization	CROSS-Neo_Darwin_RL	available_to_search
peptide_length_windows	CROSS-Neo_Darwin_RL	available_to_search
MS_EL_and_BA_label_merge	CROSS-Neo_Darwin_RL	available_to_search
binding_affinity	CROSS-Neo_Darwin_RL	available_to_search
presentation_gate	CROSS-Neo_Darwin_RL	available_to_search
motif_deconvolution_prior	CROSS-Neo_Darwin_RL	available_to_search
BA_EL_dual_score	CROSS-Neo_Darwin_RL	available_to_search
presentation_not_immunogenicity_boundary	CROSS-Neo_Darwin_RL	available_to_search
pMTnet	CROSS-Neo_Darwin_RL	contributes_primitives
pMTnet	transfer_learning_TCR_pMHC	has_core_primitive
pMTnet	CDR3beta_peptide_HLA_input	has_core_primitive
pMTnet	pairing_specificity_prediction	has_core_primitive
pMTnet	CDR3beta_normalization	has_preprocessing_primitive
pMTnet	peptide_HLA_pairing	has_preprocessing_primitive
pMTnet	TCR_pair_availability_gate	has_preprocessing_primitive
pMTnet	TCR_CDR3beta	has_modality
pMTnet	peptide_sequence	has_modality
pMTnet	HLA_allele	has_modality
pMTnet	pMHC_context	has_modality
pMTnet	TCR_expert_branch	has_search_gene
pMTnet	TCR_missingness_policy	has_search_gene
pMTnet	pairing_affinity_gate	has_search_gene
pMTnet	TCR_sparse_proxy_guard	has_risk_guard
pMTnet	HLA_A02_bias_check	has_risk_guard
transfer_learning_TCR_pMHC	CROSS-Neo_Darwin_RL	available_to_search
CDR3beta_peptide_HLA_input	CROSS-Neo_Darwin_RL	available_to_search
pairing_specificity_prediction	CROSS-Neo_Darwin_RL	available_to_search
CDR3beta_normalization	CROSS-Neo_Darwin_RL	available_to_search
peptide_HLA_pairing	CROSS-Neo_Darwin_RL	available_to_search
TCR_pair_availability_gate	CROSS-Neo_Darwin_RL	available_to_search
TCR_CDR3beta	CROSS-Neo_Darwin_RL	available_to_search
pMHC_context	CROSS-Neo_Darwin_RL	available_to_search
TCR_expert_branch	CROSS-Neo_Darwin_RL	available_to_search
TCR_missingness_policy	CROSS-Neo_Darwin_RL	available_to_search
pairing_affinity_gate	CROSS-Neo_Darwin_RL	available_to_search
TCR_sparse_proxy_guard	CROSS-Neo_Darwin_RL	available_to_search
HLA_A02_bias_check	CROSS-Neo_Darwin_RL	available_to_search
Harmonized_Neoantigen_ML	CROSS-Neo_Darwin_RL	contributes_primitives
Harmonized_Neoantigen_ML	WES_RNA_reprocessing	has_core_primitive
Harmonized_Neoantigen_ML	presentation_hotspots	has_core_primitive
Harmonized_Neoantigen_ML	binding_promiscuity	has_core_primitive
Harmonized_Neoantigen_ML	oncogenicity_context	has_core_primitive
Harmonized_Neoantigen_ML	matched_WES_RNA_harmonization	has_preprocessing_primitive
Harmonized_Neoantigen_ML	patient_cohort_split	has_preprocessing_primitive
Harmonized_Neoantigen_ML	SNV_to_neopeptide_expansion	has_preprocessing_primitive
Harmonized_Neoantigen_ML	expression_filter	has_preprocessing_primitive
Harmonized_Neoantigen_ML	DNA_variant	has_modality
Harmonized_Neoantigen_ML	RNA_expression	has_modality
Harmonized_Neoantigen_ML	peptide_sequence	has_modality
Harmonized_Neoantigen_ML	HLA_allele	has_modality
Harmonized_Neoantigen_ML	gene_context	has_modality
Harmonized_Neoantigen_ML	patient_context	has_modality
Harmonized_Neoantigen_ML	expression_gate	has_search_gene
Harmonized_Neoantigen_ML	hotspot_feature	has_search_gene
Harmonized_Neoantigen_ML	binding_promiscuity_feature	has_search_gene
Harmonized_Neoantigen_ML	oncogenicity_prior	has_search_gene
Harmonized_Neoantigen_ML	patient_level_leakage_guard	has_risk_guard
Harmonized_Neoantigen_ML	cohort_generalization_split	has_risk_guard
WES_RNA_reprocessing	CROSS-Neo_Darwin_RL	available_to_search
presentation_hotspots	CROSS-Neo_Darwin_RL	available_to_search
binding_promiscuity	CROSS-Neo_Darwin_RL	available_to_search
oncogenicity_context	CROSS-Neo_Darwin_RL	available_to_search
matched_WES_RNA_harmonization	CROSS-Neo_Darwin_RL	available_to_search
patient_cohort_split	CROSS-Neo_Darwin_RL	available_to_search
SNV_to_neopeptide_expansion	CROSS-Neo_Darwin_RL	available_to_search
expression_filter	CROSS-Neo_Darwin_RL	available_to_search
DNA_variant	CROSS-Neo_Darwin_RL	available_to_search
RNA_expression	CROSS-Neo_Darwin_RL	available_to_search
gene_context	CROSS-Neo_Darwin_RL	available_to_search
patient_context	CROSS-Neo_Darwin_RL	available_to_search
expression_gate	CROSS-Neo_Darwin_RL	available_to_search
hotspot_feature	CROSS-Neo_Darwin_RL	available_to_search
binding_promiscuity_feature	CROSS-Neo_Darwin_RL	available_to_search
oncogenicity_prior	CROSS-Neo_Darwin_RL	available_to_search
patient_level_leakage_guard	CROSS-Neo_Darwin_RL	available_to_search
cohort_generalization_split	CROSS-Neo_Darwin_RL	available_to_search
CEDAR	CROSS-Neo_Darwin_RL	contributes_primitives
CEDAR	curated_cancer_epitope_labels	has_core_primitive
CEDAR	antigen_subtype_taxonomy	has_core_primitive
CEDAR	assay_metadata	has_modality
CEDAR	neoantigen_viral_self_other_taxonomy	has_preprocessing_primitive
CEDAR	assay_type_filter	has_preprocessing_primitive
CEDAR	full_HLA_resolution_filter	has_preprocessing_primitive
CEDAR	peptide_sequence	has_modality
CEDAR	HLA_allele	has_modality
CEDAR	antigen_subtype	has_modality
CEDAR	response_label	has_modality
CEDAR	label_provenance_node	has_search_gene
CEDAR	assay_confidence_weight	has_search_gene
CEDAR	antigen_subtype_gate	has_search_gene
CEDAR	publication_overlap_audit	has_risk_guard
CEDAR	assay_context_stratification	has_risk_guard
curated_cancer_epitope_labels	CROSS-Neo_Darwin_RL	available_to_search
antigen_subtype_taxonomy	CROSS-Neo_Darwin_RL	available_to_search
assay_metadata	CROSS-Neo_Darwin_RL	available_to_search
neoantigen_viral_self_other_taxonomy	CROSS-Neo_Darwin_RL	available_to_search
assay_type_filter	CROSS-Neo_Darwin_RL	available_to_search
full_HLA_resolution_filter	CROSS-Neo_Darwin_RL	available_to_search
antigen_subtype	CROSS-Neo_Darwin_RL	available_to_search
response_label	CROSS-Neo_Darwin_RL	available_to_search
label_provenance_node	CROSS-Neo_Darwin_RL	available_to_search
assay_confidence_weight	CROSS-Neo_Darwin_RL	available_to_search
antigen_subtype_gate	CROSS-Neo_Darwin_RL	available_to_search
publication_overlap_audit	CROSS-Neo_Darwin_RL	available_to_search
assay_context_stratification	CROSS-Neo_Darwin_RL	available_to_search
AutoML_Zero	CROSS-Neo_Darwin_RL	contributes_primitives
AutoML_Zero	evolve_learning_algorithms_from_math_ops	has_core_primitive
AutoML_Zero	low_human_bias_search	has_core_primitive
AutoML_Zero	emergent_regularization	has_core_primitive
AutoML_Zero	primitive_operation_library	has_preprocessing_primitive
AutoML_Zero	task_suite_curriculum	has_preprocessing_primitive
AutoML_Zero	program_safety_checks	has_preprocessing_primitive
AutoML_Zero	algorithm_code	has_modality
AutoML_Zero	math_operations	has_modality
AutoML_Zero	validation_tasks	has_modality
AutoML_Zero	program_tree_gene	has_search_gene
AutoML_Zero	loss_function_gene	has_search_gene
AutoML_Zero	optimizer_gene	has_search_gene
AutoML_Zero	regularizer_gene	has_search_gene
AutoML_Zero	compute_budget_cap	has_risk_guard
AutoML_Zero	invalid_program_rejection	has_risk_guard
AutoML_Zero	complexity_penalty	has_risk_guard
evolve_learning_algorithms_from_math_ops	CROSS-Neo_Darwin_RL	available_to_search
low_human_bias_search	CROSS-Neo_Darwin_RL	available_to_search
emergent_regularization	CROSS-Neo_Darwin_RL	available_to_search
primitive_operation_library	CROSS-Neo_Darwin_RL	available_to_search
task_suite_curriculum	CROSS-Neo_Darwin_RL	available_to_search
program_safety_checks	CROSS-Neo_Darwin_RL	available_to_search
