method	domain	source_type	source_url	paper_anchor	core_primitives	preprocessing_primitives	modalities	search_gene	risk_guard
BigMHC	neoantigen_immunogenicity	biomedical_ai	https://doi.org/10.1038/s42256-023-00694-6	Nature Machine Intelligence 2023	MS_EL_pretraining;immunogenicity_transfer_learning;seven_model_ensemble;pan_allelic_peptide_HLA_encoder	class_I_filter;8_15mer_peptide_filter;HLA_normalization;EL_random_negative_design	peptide_sequence;HLA_allele;MS_eluted_ligand;immune_response_label	two_stage_EL_to_IM_transfer;public_prior_score;ensemble_diversity_weight	training_overlap_audit;public_tool_dependency_boundary
ImmunoStruct	neoantigen_immunogenicity	biomedical_ai	https://www.nature.com/articles/s42256-025-01163-y	Nature Machine Intelligence 2025	multimodal_sequence_structure_biochemistry;interpretable_pMHC_features;multi_allele_class_I_prediction	pMHC_structure_standardization;biochemical_descriptor_generation;allele_stratified_split	peptide_sequence;HLA_allele;pMHC_structure;biochemical_features;immune_response_label	structure_branch;biochemistry_branch;late_fusion_attention;structure_uncertainty_gate	structure_availability_bias;allele_coverage_check
DeepImmuno	neoantigen_immunogenicity	biomedical_ai	https://pmc.ncbi.nlm.nih.gov/articles/PMC7781330/	Frontiers Immunology 2021	CNN_immunogenicity_model;physiochemical_aware_encoding;top_k_sensitivity_benchmark	beta_binomial_response_confidence;HLA_peptide_pair_encoding;low_confidence_label_filter	peptide_sequence;HLA_allele;amino_acid_properties;immune_response_label	AA_property_channel;confidence_weighted_label;small_CNN_branch;top_k_reward	small_data_overfit_check;threshold_sensitivity_audit
PRIME	neoantigen_immunogenicity	biomedical_ai	https://www.sciencedirect.com/science/article/pii/S2666379121000057	Cell Reports Medicine 2021	presentation_plus_TCR_recognition_propensity;TCR_recognition_determinants;immunoediting_signal	TCR_facing_residue_features;presentation_rank_features;neoepitope_label_harmonization	peptide_sequence;HLA_presentation_score;TCR_recognition_features;immune_response_label	TCR_propensity_branch;TCR_facing_position_mask;immunoediting_prior	non_tumor_training_boundary;label_context_check
NetMHCpan_4_1	antigen_presentation	biomedical_ai	https://doi.org/10.1093/nar/gkaa379	Nucleic Acids Research 2020	motif_deconvolution;binding_affinity_plus_EL_integration;pan_specific_MHC_prediction	allele_resolution_normalization;peptide_length_windows;MS_EL_and_BA_label_merge	peptide_sequence;HLA_allele;binding_affinity;MS_eluted_ligand	presentation_gate;motif_deconvolution_prior;BA_EL_dual_score	presentation_not_immunogenicity_boundary
pMTnet	TCR_pMHC_recognition	biomedical_ai	https://www.nature.com/articles/s42256-021-00383-2	Nature Machine Intelligence 2021	transfer_learning_TCR_pMHC;CDR3beta_peptide_HLA_input;pairing_specificity_prediction	CDR3beta_normalization;peptide_HLA_pairing;TCR_pair_availability_gate	TCR_CDR3beta;peptide_sequence;HLA_allele;pMHC_context	TCR_expert_branch;TCR_missingness_policy;pairing_affinity_gate	TCR_sparse_proxy_guard;HLA_A02_bias_check
Harmonized_Neoantigen_ML	patient_level_neoantigen_selection	biomedical_dataset_method	https://doi.org/10.1016/j.immuni.2023.09.002	Immunity 2023	WES_RNA_reprocessing;presentation_hotspots;binding_promiscuity;oncogenicity_context	matched_WES_RNA_harmonization;patient_cohort_split;SNV_to_neopeptide_expansion;expression_filter	DNA_variant;RNA_expression;peptide_sequence;HLA_allele;gene_context;patient_context	expression_gate;hotspot_feature;binding_promiscuity_feature;oncogenicity_prior	patient_level_leakage_guard;cohort_generalization_split
CEDAR	curated_cancer_epitope_data	biomedical_database	https://pmc.ncbi.nlm.nih.gov/articles/PMC9825495/	Nucleic Acids Research 2023	curated_cancer_epitope_labels;antigen_subtype_taxonomy;assay_metadata	neoantigen_viral_self_other_taxonomy;assay_type_filter;full_HLA_resolution_filter	peptide_sequence;HLA_allele;assay_metadata;antigen_subtype;response_label	label_provenance_node;assay_confidence_weight;antigen_subtype_gate	publication_overlap_audit;assay_context_stratification
AutoML_Zero	ai_algorithm_discovery	ai_method	https://arxiv.org/abs/2003.03384	ICML 2020	evolve_learning_algorithms_from_math_ops;low_human_bias_search;emergent_regularization	primitive_operation_library;task_suite_curriculum;program_safety_checks	algorithm_code;math_operations;validation_tasks	program_tree_gene;loss_function_gene;optimizer_gene;regularizer_gene	compute_budget_cap;invalid_program_rejection;complexity_penalty
NAS_RL	ai_architecture_search	ai_method	https://research.google/pubs/neural-architecture-search-with-reinforcement-learning/	ICLR 2017	RNN_controller_generates_architecture;validation_reward;policy_gradient_search	architecture_tokenization;child_model_training_budget;reward_normalization	architecture_tokens;validation_metric;training_trace	RL_controller_action;mutation_policy_learning;reward_shaping	validation_overfit_guard;early_stop_fidelity_check
Regularized_Evolution	ai_architecture_search	ai_method	https://arxiv.org/abs/1802.01548	AAAI 2019	aging_evolution;tournament_selection;architecture_mutation;limited_compute_efficiency	population_initialization;age_tracking;fitness_cache	genotype;fitness_metric;age_metadata	aging_selection;diversity_preserving_mutation;fitness_cache_reuse	random_search_baseline;search_cost_reporting
Deep_Distilling	ai_algorithm_discovery	ai_method	https://www.nature.com/articles/s43588-024-00593-9	Nature Computational Science 2024	distill_neural_solution_to_code;symbolic_essence_network;human_comprehensible_algorithm	task_trace_generation;symbolic_program_extraction;OOD_generalization_test	training_data;neural_parameters;distilled_code;OOD_task_suite	distill_to_interpretable_rule;posthoc_code_simplification;OOD_reward	equivalence_test;overcompression_failure_check
