signature	signature_group	genes	n_genes	expected_direction	source	claim_guard
IFNG_TIS	IFNG_TIS	IFNG;STAT1;CXCL9;CXCL10;IDO1;HLA-DRA;GZMB;PRF1	8	immune_readiness_axis	canonical/provisional	signature score only; not an ICI response predictor
CYTOLYTIC	CYTOLYTIC	GZMA;GZMB;PRF1;GNLY;NKG7	5	immune_readiness_axis	canonical/provisional	signature score only; not an ICI response predictor
MHC1_CORE	MHC1_CORE	HLA-A;HLA-B;HLA-C;B2M;TAP1;TAP2;NLRC5	7	immune_readiness_axis	canonical/provisional	signature score only; not an ICI response predictor
MHC2_CORE	MHC2_CORE	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;CIITA	7	immune_readiness_axis	canonical/provisional	signature score only; not an ICI response predictor
ANTIGEN_PROCESSING	ANTIGEN_PROCESSING	TAP1;TAP2;TAPBP;PSMB8;PSMB9;PSMB10;ERAP1;ERAP2	8	immune_readiness_axis	canonical/provisional	signature score only; not an ICI response predictor
TLS_CABRITA	TLS_CABRITA	CXCL13;CCL19;CCL21;LTB;CD79A;MS4A1;BANK1	7	immune_readiness_axis	canonical/provisional	signature score only; not an ICI response predictor
CXCL13_AXIS	CXCL13_AXIS	CXCL13;CXCR5;ICOS;PDCD1;TOX;BCL6	6	immune_readiness_axis	canonical/provisional	signature score only; not an ICI response predictor
T_CELL_EXHAUSTION	T_CELL_EXHAUSTION	PDCD1;CTLA4;LAG3;HAVCR2;TIGIT;TOX;CXCL13	7	immune_readiness_axis	canonical/provisional	signature score only; not an ICI response predictor
TREG	TREG	FOXP3;IL2RA;CTLA4;IKZF2;TNFRSF18	5	context_dependent_suppressive	canonical/provisional	signature score only; not an ICI response predictor
M2_TAM	M2_TAM	CD163;MRC1;MSR1;IL10;VSIG4;MARCO	6	context_dependent_suppressive	canonical/provisional	signature score only; not an ICI response predictor
MDSC_LIKE	MDSC_LIKE	S100A8;S100A9;ARG1;IL1B;CXCR2;FCGR3B	6	context_dependent_suppressive	canonical/provisional	signature score only; not an ICI response predictor
STROMAL_EXCLUSION	STROMAL_EXCLUSION	TGFB1;TGFBI;COL1A1;COL3A1;ACTA2;FAP;CXCL12	7	higher_with_lineage_silencing	canonical/provisional	signature score only; not an ICI response predictor
IFN_GAMMA_RESPONSE	IFN_GAMMA_RESPONSE	STAT1;IRF1;GBP1;GBP2;CXCL9;CXCL10;IDO1	7	immune_readiness_axis	canonical/provisional	signature score only; not an ICI response predictor
DEDIFFERENTIATED_EPI	DEDIFFERENTIATED_EPI	VIM;FN1;SNAI2;TWIST1;ZEB1;ITGA5;MMP2	7	higher_with_lineage_silencing	canonical/provisional	signature score only; not an ICI response predictor
