benchmark_family	dataset	source	validation_type	n	n_pos	n_with_hla	n_8_15	status
wave11_public_external	improve_cedar	IMPROVE_Neoepitopes_CEDAR_benchmark_data	EXTERNAL_TEST	282	0.0	0	0	ok
wave11_public_external	nepdb	NEPdb	HELD_OUT	15243	163.0	11873	572	ok
wave11_public_external	tesla_mmc4	TESLA_mmc4	EXTERNAL_TEST	605	37.0	605	605	ok
wave11_public_external	tesla_mmc7	TESLA_mmc7_validation	EXTERNAL_TEST	310	4.0	310	310	ok
wave11_public_external	neoranking_gartner	NeoRanking_Gartner_nmers_ranking	EXTERNAL_TEST	0	0.0	0	0	missing_in_master
wave11_public_external	neodb	Neodb	UNKNOWN	705	705.0	559	552	ok
wave11_public_external	mcpas	McPAS-TCR	UNKNOWN	415	415.0	83	82	ok
wave11_public_external	cedar_partial	CEDAR	PARTIAL_OVERLAP	4802	4663.0	942	909	ok
wave11_public_external	tsnadb_validated	TSNAdb_validated	HELD_OUT	0	0.0	0	0	missing_in_master
wave11_public_external	dbpepneo2_mhci	dbPepNeo2_MHCI	HELD_OUT	470	470.0	470	467	ok
public_industrial_scout	industrial_patent_company_poster_scout	59 public sources / 19 org families	LOCKED_PUBLIC_INDUSTRIAL_SCOUT	26323		12177	11511	locked_metric_classI=25; locked_metric_classII=0
