benchmark_family	dataset	algorithm	score_col	claim_status	locally_evaluated	diagnostic_after_failure	notes	n	n_pos	n_neg	positive_rate	binary_metric_possible	low_power	AUPRC	AUROC	top5_precision	top5_hits	top10_precision	top10_hits	top20_precision	top20_hits	top50_precision	top50_hits	top96_precision	top96_hits	training_overlap_fraction	overlap_warning	top24_precision	top24_hits
wave11_public_external	cedar_partial	BigMHC_IM	score_bigmhc_im	local_prediction_file	True	False		898	840	58	0.9354120267260579	True	False	0.9548156905030141	0.5422619047619048	1.0	5	1.0	10	1.0	20.0	1.0	50.0	0.9895833333333334	95	1.0	True		
wave11_public_external	dbpepneo2_mhci	BigMHC_IM	score_bigmhc_im	local_prediction_file	True	False		467	467	0	1.0	False	True			1.0	5	1.0	10	1.0	20.0	1.0	50.0	1.0	96	0.3084	True		
wave11_public_external	itsndb	BigMHC_IM	score_bigmhc_im	local_prediction_file	True	False		319	136	183	0.4263322884012539	True	False	0.628389054528874	0.7476695596271296	0.4	2	0.5	5	0.6	12.0	0.74	37.0	0.6875	66	0.5831	True		
wave11_public_external	mcpas	BigMHC_IM	score_bigmhc_im	local_prediction_file	True	False		82	82	0	1.0	False	True			1.0	5	1.0	10	1.0	20.0	1.0	50.0	1.0	82	0.7439	True		
wave11_public_external	neodb	BigMHC_IM	score_bigmhc_im	local_prediction_file	True	False		552	552	0	1.0	False	True			1.0	5	1.0	10	1.0	20.0	1.0	50.0	1.0	96	0.1504	False		
wave11_public_external	nepdb	BigMHC_IM	score_bigmhc_im	local_prediction_file	True	False		498	151	347	0.3032128514056225	True	False	0.7711641442060881	0.87037425806821	1.0	5	0.9	9	0.95	19.0	0.9	45.0	0.8020833333333334	77	1.0	True		
wave11_public_external	tesla_mmc4	BigMHC_IM	score_bigmhc_im	local_prediction_file	True	False		605	37	568	0.06115702479338843	True	False	0.2913883193160864	0.8641511229539398	0.4	2	0.4	4	0.35	7.0	0.32	16.0	0.21875	21	1.0	True		
wave11_public_external	tesla_mmc7	BigMHC_IM	score_bigmhc_im	local_prediction_file	True	False		310	4	306	0.012903225806451613	True	True	0.5700757575757576	0.991830065359477	0.6	3	0.3	3	0.2	4.0	0.08	4.0	0.041666666666666664	4	1.0	True		
wave11_public_external	itsndb	DeepImmuno	score_deepimmuno	local_prediction_file	True	False		319	136	183	0.4263322884012539	True	False	0.6109140013999454	0.7019045323047252	0.8	4	0.8	8	0.7	14.0	0.58	29.0	0.6145833333333334	59	0.0063	False		
wave11_public_external	itsndb	ESM2_Bayesian	score_esm2_bayesian	local_prediction_file	True	False		311	130	181	0.4180064308681672	True	False	0.6912313334954805	0.7840628984275395	1.0	5	0.7	7	0.75	15.0	0.74	37.0	0.6875	66	0.5768	True		
wave11_public_external	itsndb	GP_quantum	score_gp_quantum	local_prediction_file	True	False		319	136	183	0.4263322884012539	True	False	0.5449008882680674	0.5869897139183542	1.0	5	0.9	9	0.8	16.0	0.54	27.0	0.5416666666666666	52	0.5768	True		
wave11_public_external	cedar_partial	MHCflurry	score_mhcflurry	local_prediction_file	True	False		845	787	58	0.9313609467455621	True	False	0.9727594949624689	0.737173027209394	1.0	5	1.0	10	1.0	20.0	1.0	50.0	1.0	96	0.0011	False		
wave11_public_external	dbpepneo2_mhci	MHCflurry	score_mhcflurry	local_prediction_file	True	False		463	463	0	1.0	False	True			1.0	5	1.0	10	1.0	20.0	1.0	50.0	1.0	96	0.0043	False		
wave11_public_external	itsndb	MHCflurry	score_mhcflurry	local_prediction_file	True	False		319	136	183	0.4263322884012539	True	False	0.5883300898267776	0.63673256187721	0.8	4	0.8	8	0.8	16.0	0.7	35.0	0.59375	57	0.0063	False		
wave11_public_external	mcpas	MHCflurry	score_mhcflurry	local_prediction_file	True	False		80	80	0	1.0	False	True			1.0	5	1.0	10	1.0	20.0	1.0	50.0	1.0	80	0.7439	True		
wave11_public_external	neodb	MHCflurry	score_mhcflurry	local_prediction_file	True	False		549	549	0	1.0	False	True			1.0	5	1.0	10	1.0	20.0	1.0	50.0	1.0	96	0.0236	False		
wave11_public_external	nepdb	MHCflurry	score_mhcflurry	local_prediction_file	True	False		413	151	262	0.36561743341404357	True	False	0.5434033412535654	0.6546433446236288	0.6	3	0.7	7	0.6	12.0	0.66	33.0	0.59375	57	0.0	False		
wave11_public_external	tesla_mmc4	MHCflurry	score_mhcflurry	local_prediction_file	True	False		599	37	562	0.06176961602671119	True	False	0.18855793831086873	0.7564201211888045	0.2	1	0.1	1	0.2	4.0	0.26	13.0	0.1875	18	0.0	False		
wave11_public_external	tesla_mmc7	MHCflurry	score_mhcflurry	local_prediction_file	True	False		310	4	306	0.012903225806451613	True	True	0.21405677655677655	0.9665032679738562	0.0	0	0.2	2	0.15	3.0	0.08	4.0	0.041666666666666664	4	0.0	False		
wave11_public_external	itsndb	NetMHCpan_4.1	score_netmhcpan	local_prediction_file	True	False		319	136	183	0.4263322884012539	True	False	0.493204666627824	0.5668796207007393	0.6	3	0.5	5	0.5	10.0	0.52	26.0	0.5625	54	0.0063	False		
wave11_public_external	cedar_partial	PRIME	score_prime	local_prediction_file	True	False		898	840	58	0.9354120267260579	True	False	0.9677216396479912	0.6839285714285714	1.0	5	1.0	10	1.0	20.0	0.98	49.0	0.9895833333333334	95	0.0011	False		
wave11_public_external	dbpepneo2_mhci	PRIME	score_prime	local_prediction_file	True	False		467	467	0	1.0	False	True			1.0	5	1.0	10	1.0	20.0	1.0	50.0	1.0	96	0.0043	False		
wave11_public_external	itsndb	PRIME	score_prime	local_prediction_file	True	False		319	136	183	0.4263322884012539	True	False	0.480375609122494	0.5673015107682416	0.2	1	0.4	4	0.6	12.0	0.48	24.0	0.4791666666666667	46	0.0063	False		
wave11_public_external	mcpas	PRIME	score_prime	local_prediction_file	True	False		80	80	0	1.0	False	True			1.0	5	1.0	10	1.0	20.0	1.0	50.0	1.0	80	0.7439	True		
