probe_id	mean_tumor	mean_normal	delta_beta	abs_delta	t_stat	p_value	q_value
cg13606889	0.27100620912162143	0.7028269719402986	-0.4318207628186772	0.4318207628186772	-17.534118585868754	2.3835225388412394e-36	3.972537564735399e-33
cg26182406	0.3127711617567568	0.7356115308955223	-0.42284036913876555	0.42284036913876555	-17.996017906286156	4.1898474223635826e-36	5.237309277954478e-33
cg20834178	0.25302191975675686	0.6701776580597014	-0.41715573830294456	0.41715573830294456	-14.813292246086455	5.396075221920641e-29	2.1078418835627505e-27
cg13591783	0.26583242422972986	0.677761495970149	-0.41192907174041915	0.41192907174041915	-15.323307711922116	1.4126470097657837e-29	6.690658472336593e-28
cg18458509	0.29838901297297304	0.7088793226865673	-0.41049030971359424	0.41049030971359424	-18.450642446529802	1.2434766896451866e-36	3.1086917241129664e-33
cg07388969	0.3319014599999998	0.7359794910447762	-0.4040780310447764	0.4040780310447764	-17.610492849568406	1.8389467748440434e-35	1.0216370971355797e-32
cg23883632	0.36244307810810805	0.7646662074626867	-0.4022231293545786	0.4022231293545786	-16.212075310884018	1.068100056848559e-30	9.051695397021687e-29
cg08908131	0.41117699013513487	0.812434997761194	-0.4012580076260591	0.4012580076260591	-16.326810145625895	2.2732756029670053e-30	1.4667126423991656e-28
cg11228682	0.2749756323648649	0.673219774477612	-0.39824414211274717	0.39824414211274717	-15.32044039313308	5.526727600619274e-31	5.273848876471002e-29
cg23190089	0.17702946698648653	0.5725219825373136	-0.39549251555082704	0.39549251555082704	-17.442972268146892	8.979839581240013e-37	3.1086917241129664e-33
cg05521150	0.3679211805405407	0.7633183620895523	-0.3953971815490116	0.3953971815490116	-18.159873886593104	1.4421405824716324e-35	1.0216370971355797e-32
cg09968361	0.44512771000000007	0.8400127405970148	-0.39488503059701474	0.39488503059701474	-17.161171041531848	2.534751433123096e-29	1.0925652728978862e-27
cg11868461	0.3151928387297297	0.7100387423880596	-0.39484590365832994	0.39484590365832994	-13.73648456500037	1.0666288253487945e-26	1.8264192214876618e-25
cg03301058	0.2968386362027028	0.6871329456716417	-0.39029430946893895	0.39029430946893895	-14.46810843630954	3.072119104346668e-27	5.978800047748581e-26
cg06433467	0.23681399374324327	0.62700442119403	-0.3901904274507867	0.3901904274507867	-13.479391320641	5.233881718201037e-26	7.335261577883347e-25
cg09126279	0.3172082801351351	0.7072775992537315	-0.3900693191185964	0.3900693191185964	-16.529205131504916	5.763754825626883e-33	1.1084143895436314e-30
cg01432692	0.45618449540540557	0.842094162686567	-0.38590966728116144	0.38590966728116144	-16.048971217588655	9.197212028602523e-29	3.356646725767344e-27
cg03613942	0.3691236970945945	0.7537090532835821	-0.38458535618898754	0.38458535618898754	-16.92135336306157	3.402025386223636e-32	4.476349192399521e-30
cg01668008	0.45800190108108096	0.8424587468656718	-0.38445684578459083	0.38445684578459083	-16.598648340542116	1.4136403591235856e-30	1.054955491883273e-28
cg03731202	0.3464910286486486	0.7303165856716416	-0.383825557022993	0.383825557022993	-14.462298554120093	1.9705298393035674e-27	4.088236181127733e-26
