task	dataset	feature_set	model	n_samples	cv_auc	cv_pr_auc	cv_auc_ci_lo	cv_auc_ci_hi	cv_brier	cv_balanced_accuracy	cv_balanced_accuracy_youden	cv_f1	cv_mcc	cv_youden_threshold	median_feature_count	status
BRAF_like_vs_RAS_like	TCGA-THCA	TDS16	LogReg_l2	333	0.9956192751891677	0.9991527822876554	0.9903220748346274	0.9989011966681006	0.022487153442604532	0.9707287933094384	0.9707287933094384	0.9855595667870036	0.914996425249613	0.5141784318591892	16	ok
BRAF_like_vs_RAS_like	TCGA-THCA	TDS16	LogReg_elasticnet	333	0.9957520244258595	0.9991781166700259	0.9903195081244314	0.9990185319177423	0.021215091731785585	0.9707287933094384	0.9707287933094384	0.9855595667870036	0.914996425249613	0.5239456624702475	16	ok
BRAF_like_vs_RAS_like	TCGA-THCA	TDS16	RandomForest	333	0.9876875082968274	0.9974073830466501	0.972466996911201	0.9974923287991645	0.032173717717717716	0.8927718040621266	0.9635603345280764	0.9752650176678446	0.8391689699208731	0.744	16	ok
BRAF_like_vs_RAS_like	TCGA-THCA	TDS16	GradientBoosting	333	0.9779968140183195	0.9904209449899011	0.9386271267179046	0.9980024167078718	0.028272535340162355	0.9038231780167264	0.961768219832736	0.9787985865724381	0.862780568314084	0.9945022967169738	16	ok
BRAF_like_vs_RAS_like	TCGA-THCA	TDS16	XGBoost	333	0.9912385503783353	0.9982557060278712	0.98098277931869	0.9977105356992484	0.026594710744911175	0.9059139784946237	0.9620669056152927	0.9732620320855615	0.8309087691775265	0.9467594623565674	16	ok
BRAF_like_vs_RAS_like	TCGA-THCA	TierA67	LogReg_l2	333	1.0	0.9999999999999999	0.9999999999999999	1.0	0.0015468648981861904	1.0	1.0	1.0	1.0	0.6360760907926487	66	ok
BRAF_like_vs_RAS_like	TCGA-THCA	TierA67	LogReg_elasticnet	333	1.0	0.9999999999999999	0.9999999999999999	1.0	0.00250750152371717	1.0	1.0	1.0	1.0	0.5300059365748957	66	ok
BRAF_like_vs_RAS_like	TCGA-THCA	TierA67	RandomForest	333	0.9998672507633082	0.9999743524804225	0.9993553378029912	1.0	0.01204386786786787	0.9907407407407407	0.9964157706093191	0.998211091234347	0.9889267872174312	0.698	66	ok
BRAF_like_vs_RAS_like	TCGA-THCA	TierA67	GradientBoosting	333	0.9788596840568167	0.9919434813889226	0.9374706779705256	0.9991584400419236	0.015302778045250473	0.9761051373954599	0.9781959378733572	0.9910233393177738	0.9452095529024279	0.9999925867600599	66	ok
BRAF_like_vs_RAS_like	TCGA-THCA	TierA67	XGBoost	333	0.9984070091596973	0.9996920238928211	0.995751773175777	1.0	0.011703573073264174	0.9835722819593787	0.9853643966547192	0.990990990990991	0.946451595692472	0.47693729400634766	66	ok
BRAF_like_vs_RAS_like	TCGA-THCA	TierA67_clean	LogReg_l2	333	1.0	0.9999999999999999	0.9999999999999999	1.0	0.001707639644917168	1.0	1.0	1.0	1.0	0.6315386087705629	55	ok
BRAF_like_vs_RAS_like	TCGA-THCA	TierA67_clean	LogReg_elasticnet	333	1.0	0.9999999999999999	0.9999999999999999	1.0	0.0022207079372489847	0.9982078853046594	1.0	0.9982046678635548	0.989090046575439	0.495244215394235	55	ok
BRAF_like_vs_RAS_like	TCGA-THCA	TierA67_clean	RandomForest	333	0.9998008761449622	0.9999614595689453	0.9991212919057507	1.0	0.012741873873873875	0.9907407407407407	0.9946236559139785	0.998211091234347	0.9889267872174312	0.702	55	ok
BRAF_like_vs_RAS_like	TCGA-THCA	TierA67_clean	GradientBoosting	333	0.9768020708880923	0.991454082562195	0.9352891246399669	0.9980701274650673	0.02338843456762718	0.9465352449223416	0.9799880525686977	0.9838998211091234	0.8998451289653436	0.9984426182476762	55	ok
BRAF_like_vs_RAS_like	TCGA-THCA	TierA67_clean	XGBoost	333	0.9978760122129298	0.9995886899142546	0.9945066197674745	0.9997525671161698	0.013227830517521749	0.9650537634408602	0.9835722819593787	0.9874326750448833	0.9232693060659224	0.5997940301895142	55	ok
BRAF_like_vs_RAS_like	TCGA-THCA	variance_top50	LogReg_l2	333	1.0	0.9999999999999999	0.9999999999999999	1.0	0.001218017359424287	1.0	1.0	1.0	1.0	0.5893460197847719	50	ok
BRAF_like_vs_RAS_like	TCGA-THCA	variance_top50	LogReg_elasticnet	333	1.0	0.9999999999999999	0.9999999999999999	1.0	0.001863255492212747	0.9982078853046594	1.0	0.9982046678635548	0.989090046575439	0.4249419278760764	50	ok
BRAF_like_vs_RAS_like	TCGA-THCA	variance_top50	RandomForest	333	1.0	1.0	0.9999999999999999	1.0	0.003951567567567569	0.9814814814814814	1.0	0.9964285714285714	0.9778083319572793	0.722	50	ok
BRAF_like_vs_RAS_like	TCGA-THCA	variance_top50	GradientBoosting	333	1.0	1.0	0.9999999999999999	1.0	2.366541183619004e-10	1.0	1.0	1.0	1.0	0.9999925867600599	50	ok
BRAF_like_vs_RAS_like	TCGA-THCA	variance_top50	XGBoost	333	0.9999336253816541	0.9999871991807476	0.9996854356715948	1.0	0.002408626085184269	0.9889486260454002	0.9982078853046594	0.996415770609319	0.9778972520908005	0.8583704233169556	50	ok
