cancer	check	value
THCA	internal_cv_auc	0.9348421634663717
THCA	identifiability_auc	1.0
THCA	driver_ablation_cv_auc	0.9322207700814316
THCA	driver_ablation_delta	0.0026213933849401627
THCA	permutation_null_mean	0.5064605634634861
THCA	permutation_null_sd	0.034522086873897496
THCA	lodo_mean_auc	0.8562317731538809
BRCA	internal_cv_auc	0.9213033076763054
BRCA	identifiability_auc	1.0
BRCA	driver_ablation_cv_auc	0.7480320366132724
BRCA	driver_ablation_delta	0.17327127106303297
BRCA	permutation_null_mean	0.47872807017543856
BRCA	permutation_null_sd	0.061055487942672446
BRCA	lodo_mean_auc	0.7611019785746446
LUAD	internal_cv_auc	0.8483742458914083
LUAD	identifiability_auc	1.0
LUAD	driver_ablation_cv_auc	0.6535011441647598
LUAD	driver_ablation_delta	0.1948731017266485
LUAD	permutation_null_mean	0.48996268996269005
LUAD	permutation_null_sd	0.04820223882631732
LUAD	lodo_mean_auc	0.6029035661155414
SKCM	internal_cv_auc	0.9254472644060746
SKCM	identifiability_auc	1.0
SKCM	driver_ablation_cv_auc	0.76994695236114
SKCM	driver_ablation_delta	0.15550031204493464
SKCM	permutation_null_mean	0.4983461257309941
SKCM	permutation_null_sd	0.0583858191527965
SKCM	lodo_mean_auc	0.6395754628513249
