task	feature_set	model	y	p_pre	p_post
V1	TDS16	LogReg_l2	0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000	1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000
V1	TDS16	LogReg_elasticnet	0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000	1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000
V1	TDS16	RandomForest	0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0.9125;0.9250;0.9300;0.9200;0.9350;0.9125;0.9200;0.9050;0.9100;0.9075;0.9125;0.9300;0.9125;0.9200;0.9300;0.9325;0.9300;0.9250;0.9300;0.9475;0.9250;0.9250;0.9275;0.9325;0.9300;0.9300;0.9250;0.9300;0.9300;0.9300;0.9300;0.9300;0.9300;0.9300;0.9275;0.9250;0.9300;0.9300;0.9300;0.9500;0.9300	1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000
V1	TDS16	GradientBoosting	0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997;0.9997	1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000
V1	TDS16	XGBoost	0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0.9985;0.9991;0.9991;0.9985;0.9985;0.9985;0.9985;0.9982;0.9985;0.9985;0.9982;0.9990;0.9985;0.9989;0.9991;0.9990;0.9991;0.9991;0.9989;0.9991;0.9991;0.9991;0.9989;0.9989;0.9989;0.9991;0.9990;0.9991;0.9991;0.9991;0.9991;0.9989;0.9991;0.9989;0.9991;0.9989;0.9989;0.9991;0.9989;0.9991;0.9989	1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000
V1	TierA67_clean	LogReg_l2	0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0001;0.0000;0.0000;0.0000;0.0001;0.0000;0.0002;0.0002;0.0013;0.0005;0.0005;0.0011;0.0009;0.0010;0.0040;0.0020;0.0033;0.0009;0.0002;0.0008;0.0006;0.0021;0.0009;0.0003;0.0007;0.0001;0.0010;0.0001;0.0001;0.0009;0.0003;0.0014;0.0003;0.0024	0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
V1	TierA67_clean	LogReg_elasticnet	0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000	0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
V1	TierA67_clean	RandomForest	0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0.4075;0.4200;0.4225;0.3925;0.4275;0.4225;0.4000;0.4000;0.4275;0.4075;0.4300;0.4075;0.4300;0.4425;0.4250;0.4400;0.4250;0.4375;0.4475;0.4175;0.4175;0.4375;0.4500;0.4475;0.4525;0.4275;0.4450;0.4350;0.4625;0.4300;0.4375;0.4550;0.4325;0.4400;0.4200;0.4325;0.4450;0.4275;0.4500;0.4625;0.4350	0.2364;0.2667;0.2727;0.2000;0.2848;0.2727;0.2182;0.2182;0.2848;0.2364;0.2909;0.2364;0.2909;0.3212;0.2788;0.3152;0.2788;0.3091;0.3333;0.2606;0.2606;0.3091;0.3394;0.3333;0.3455;0.2848;0.3273;0.3030;0.3697;0.2909;0.3091;0.3515;0.2970;0.3152;0.2667;0.2970;0.3273;0.2848;0.3394;0.3697;0.3030
V1	TierA67_clean	GradientBoosting	0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0.2267;0.2267;0.2203;0.0804;0.2203;0.2267;0.1060;0.0904;0.2203;0.2203;0.2847;0.1174;0.2846;0.2847;0.2500;0.2435;0.2500;0.2500;0.0706;0.2847;0.2847;0.2847;0.0742;0.0881;0.0967;0.2570;0.0724;0.2847;0.0718;0.2847;0.2847;0.0894;0.2144;0.2776;0.2847;0.2144;0.2776;0.2847;0.0851;0.0914;0.2755	0.2267;0.2267;0.2203;0.0803;0.2203;0.2267;0.1060;0.0904;0.2203;0.2203;0.2846;0.1174;0.2846;0.2846;0.2500;0.2435;0.2500;0.2500;0.0706;0.2846;0.2846;0.2846;0.0742;0.0881;0.0967;0.2570;0.0724;0.2846;0.0718;0.2846;0.2846;0.0894;0.2143;0.2776;0.2846;0.2143;0.2776;0.2846;0.0851;0.0914;0.2755
V1	TierA67_clean	XGBoost	0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0.0557;0.0715;0.0715;0.0557;0.0715;0.0715;0.0624;0.0585;0.0715;0.0485;0.1230;0.0585;0.0879;0.1273;0.1230;0.1230;0.0921;0.1230;0.1071;0.1230;0.0921;0.1230;0.4388;0.2622;0.1793;0.0850;0.4475;0.1230;0.4663;0.0954;0.1230;0.4388;0.0741;0.1273;0.1230;0.0715;0.1273;0.0921;0.1793;0.4113;0.1153	0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.3829;0.1447;0.0329;0.0000;0.3946;0.0000;0.4200;0.0000;0.0000;0.3829;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0329;0.3458;0.0000
