ref_id	category	venue_year	title	doi	url	claim_tags	what_it_strengthens	best_use	boundary	priority	source_kind
R01	H&E-to-spatial transcriptomics	Cell 2026	AI-predicted spatial transcriptomics unlocks breast cancer biomarkers from pathology	10.1016/j.cell.2026.04.023	https://www.cell.com/cell/abstract/S0092-8674(26)00458-7	he_spatial_rna,virtual_spatial,guardrail	This is the closest high-impact precedent: H&E-predicted spatial transcriptomics enabling biomarker discovery.	Foreground in Fig 1 and presub; state that Paper 2 applies the logic to thyroid DM1/RAI.	Breast cancer precedent, not thyroid; do not claim same model or same biomarker class.	critical	local PDF plus web DOI check
R02	H&E-to-spatial transcriptomics	Nat Biomed Eng 2020	Integrating spatial gene expression and breast tumour morphology via deep learning	10.1038/s41551-020-0578-x	https://www.nature.com/articles/s41551-020-0578-x	he_spatial_rna,virtual_spatial,guardrail	ST-Net established local gene-expression prediction from H&E as a serious biomedical-engineering problem.	Use as the classic ST prediction precedent.	Breast cancer and paired ST training; not a thyroid validation.	critical	publisher
R03	H&E-to-transcriptomics	Nat Commun 2020	A deep learning model to predict RNA-Seq expression of tumours from whole slide images	10.1038/s41467-020-17678-4	https://www.nature.com/articles/s41467-020-17678-4	he_molecular,virtual_spatial,weak_supervision	HE2RNA supports the broad claim that WSI morphology contains transcriptomic signal.	Use for the general H&E-to-RNA premise and spatialization precedent.	Bulk RNA labels, not true thyroid spatial RNA.	critical	publisher
R04	Benchmark/guardrail	Nat Commun 2025	Benchmarking the translational potential of spatial gene expression prediction from histology	10.1038/s41467-025-56618-y	https://www.nature.com/articles/s41467-025-56618-y	he_spatial_rna,guardrail	Provides editor-facing precedent that the field now judges H&E-to-spatial expression by benchmarking and translational guardrails.	Use to justify honest caveats, held-out testing, and random-module controls.	Benchmark paper; does not validate DM1 biology.	critical	publisher
R05	Robust H&E-to-ST	Nat Commun 2026	Robust and interpretable prediction of gene markers and cell types from spatial transcriptomics data	10.1038/s41467-026-68487-0	https://www.nature.com/articles/s41467-026-68487-0	he_spatial_rna,foundation,guardrail	STimage makes robustness, uncertainty, interpretability, and multi-platform validation part of the current field standard.	Use to explain why Paper 2 co-locates caveats with results.	Do not imply Paper 2 performs STimage-level uncertainty modeling.	high	publisher
R06	Single-cell H&E-to-expression	Nat Commun 2026	sCellST predicts single-cell gene expression from H&E images	10.1038/s41467-025-67965-1	https://www.nature.com/articles/s41467-025-67965-1	he_spatial_rna,virtual_spatial,guardrail	Moves the field from spot-scale prediction toward cell-level molecular interpretation from H&E.	Use as a frontier reference; Paper 2 stays spot/module-level.	Not thyroid; not used by our pipeline.	high	publisher
R07	ST-pathology foundation model	npj Digit Med 2025	STPath: a generative foundation model for integrating spatial transcriptomics and whole-slide images	10.1038/s41746-025-02020-3	https://www.nature.com/articles/s41746-025-02020-3	he_spatial_rna,foundation,virtual_spatial,guardrail	Shows that ST+WSI foundation modeling is now an explicit digital-medicine direction.	Use to position Paper 2 as a disease-focused biomarker application rather than a new universal model.	Do not claim our model has STPath-scale pretraining or organ breadth.	high	publisher
R08	Super-resolution ST + histology	Nat Biotechnol 2024	Inferring super-resolution tissue architecture by integrating spatial transcriptomics with histology	10.1038/s41587-023-02019-9	https://www.nature.com/articles/s41587-023-02019-9	he_spatial_rna,virtual_spatial	iStar supports the spatial-resolution argument: histology can improve molecular maps beyond spot resolution.	Use as adjacent method precedent.	It integrates measured ST; Paper 2 infers thyroid DM1 spatial state from H&E features.	medium	publisher
R09	Multi-tissue H&E-to-ST	Nat Commun 2024	Self-supervised learning for characterising histomorphological diversity and spatial RNA expression prediction across 23 human tissue types	10.1038/s41467-024-50317-w	https://www.nature.com/articles/s41467-024-50317-w	he_spatial_rna,foundation,guardrail	Supports the general tissue-diversity framing for self-supervised histology representations.	Use to keep H&E framing broad without claiming pan-disease validation.	General tissue paper; not thyroid-specific.	medium	publisher
R10	Virtual spatial proteomics	Nat Med 2026	AI-enabled virtual spatial proteomics from histopathology for interpretable biomarker discovery in lung cancer	10.1038/s41591-025-04060-4	https://www.nature.com/articles/s41591-025-04060-4	he_molecular,virtual_spatial,foundation,guardrail	HEX is a major clinical precedent that H&E can generate virtual spatial molecular maps with outcome relevance.	Use as the strongest translational analog; Paper 2 is RNA/thyroid, not proteomics/lung.	Do not claim equal clinical validation or immunotherapy response prediction.	critical	publisher
R11	H&E mutation prediction	Nat Med 2018	Classification and mutation prediction from non-small cell lung cancer histopathology images using deep learning	10.1038/s41591-018-0177-5	https://www.nature.com/articles/s41591-018-0177-5	he_molecular,weak_supervision,guardrail	Classic proof that H&E can predict molecular alterations from routine slides.	Use as historical root of image-to-molecular biomarkers.	Mutation prediction is not transcriptomic/spatial prediction.	high	publisher
R12	Pan-cancer molecular pathology	Nat Cancer 2020	Pan-cancer image-based detection of clinically actionable genetic alterations	10.1038/s43018-020-0087-6	https://www.nature.com/articles/s43018-020-0087-6	he_molecular,weak_supervision,guardrail	Shows that routine FFPE H&E can reflect a broad range of molecular alterations across cancers.	Use for generality of molecular information in histology.	Do not imply Paper 2 is pan-cancer.	high	publisher
R13	Pan-cancer pathomics	Nat Cancer 2020	Pan-cancer computational histopathology reveals mutations, tumor composition and prognosis	10.1038/s43018-020-0085-8	https://www.nature.com/articles/s43018-020-0085-8	he_molecular,virtual_spatial,weak_supervision	Supports the idea that histology features correlate with mutations, tumor composition, expression, and prognosis.	Use to frame tumor composition and spatially resolved morphology.	Pan-cancer association, not thyroid DM1 validation.	high	publisher
R14	Weakly supervised WSI	Nat Biomed Eng 2021	Data-efficient and weakly supervised computational pathology on whole-slide images	10.1038/s41551-020-00682-w	https://www.nature.com/articles/s41551-020-00682-w	foundation,weak_supervision,guardrail	CLAM legitimizes attention/MIL-style WSI learning with slide-level labels and localization.	Use in Methods/architecture justification.	Method precedent, not biological validation.	critical	publisher
R15	Clinical-grade WSI AI	Nat Med 2019	Clinical-grade computational pathology using weakly supervised deep learning on whole slide images	10.1038/s41591-019-0508-1	https://www.nature.com/articles/s41591-019-0508-1	weak_supervision,guardrail	Shows clinical-grade weakly supervised WSI AI at scale.	Use sparingly for WSI AI validation ethos and scale expectations.	Not molecular prediction.	medium	publisher
R16	Pathology foundation model	Nat Med 2024	Towards a general-purpose foundation model for computational pathology	10.1038/s41591-024-02857-3	https://www.nature.com/articles/s41591-024-02857-3	foundation,guardrail	UNI is the core model precedent and directly matches Paper 2's feature backbone.	Foreground in Methods, Fig 1, and data-use table.	Do not claim we invented UNI or trained a foundation model.	critical	publisher
R17	Vision-language pathology FM	Nat Med 2024	A visual-language foundation model for computational pathology	10.1038/s41591-024-02856-4	https://www.nature.com/articles/s41591-024-02856-4	foundation	CONCH supports pathology foundation-model maturation and transferable representations.	Use as context in the foundation-model paragraph.	Not used in current Paper 2 results.	medium	publisher
R18	Whole-slide foundation model	Nature 2024	A whole-slide foundation model for digital pathology from real-world data	10.1038/s41586-024-07441-w	https://www.nature.com/articles/s41586-024-07441-w	foundation,weak_supervision,guardrail	Prov-GigaPath supports whole-slide context and real-world pretraining as field direction.	Use as field context, especially if discussing external robustness.	Not our backbone unless explicitly tested.	high	publisher
R19	Clinical-grade pathology FM	Nat Med 2024	A foundation model for clinical-grade computational pathology and rare cancers detection	10.1038/s41591-024-03141-0	https://www.nature.com/articles/s41591-024-03141-0	foundation,guardrail	Virchow supports large-scale pathology FM claims and rare-cancer utility.	Use in impact paragraph only as field context.	Not our model; do not imply rare-cancer validation.	medium	publisher
