source_id	source_type	url	used_for
openvaccine_nmi	peer_reviewed_article	https://www.nature.com/articles/s42256-022-00571-8	OpenVaccine winner/top-team architecture patterns, pseudo-label/mock data, true private/future evaluation, ensembling limits
openvaccine_pdf	host_pdf	https://daslab.stanford.edu/site_data/pub_pdf/2110.07531.pdf	Top OpenVaccine solution descriptions: AE-pretrained GNN, LSTM/GRU/WaveNet, 1D/2D distance features, Arnie augmentation, pseudo-labeling
ribonanza_pmc	peer_reviewed_article	https://pmc.ncbi.nlm.nih.gov/articles/PMC10925082/	Ribonanza top models: transformer + 1D conv + pairwise/BPP attention bias, future private set, pseudo-label distillation into RibonanzaNet/ArmNet
ribonanza_notes	secondary_solution_index	https://kaggle.curtischong.me/competitions/Stanford-Ribonanza-RNA-Folding	Dynamic positional bias, BPP Conv2D attention, SNR weighting, leakage removal notes
belka_zenn	secondary_solution_summary	https://zenn.dev/yuto_mo/articles/13fc8fc77c5147	BELKA 1st-place summary: simple transformer, MLM and ECFP pretraining, negative ablations
belka_neurips	competition_page	https://neurips.cc/virtual/2024/competition/84787	BELKA task framing and scale: large physical binding measurements for protein targets
single_cell_cnblogs	secondary_solution_summary	https://www.cnblogs.com/yonggie/p/17903410.html	Open Problems single-cell perturbation 1st/2nd summary: cell-type and SMILES embeddings, target encoding, k-fold weighted ensembles
moa_qiita	translated_solution_summary	https://qiita.com/payanotty/items/b52596919112fd4b4411	MoA 1st-place blend: multi-stage stacking, low-correlation ensemble selection, DeepInsight, swap-noise augmentation, CV strategy
cafa_notes	secondary_solution_index	https://kaggle.curtischong.me/competitions/CAFA-5-Protein-Function-Prediction	CAFA5 task, hierarchy, conditional probability/postprocessing concepts, PLM embedding notes
protboost_arxiv	preprint	https://arxiv.org/abs/2412.04529	CAFA5 top2 method: protein language models, Py-Boost, GCN stacking, hierarchical targets
panda_nature	peer_reviewed_article	https://www.nature.com/articles/s41591-021-01620-2	Cancer pathology challenge: label cleaning, weak supervision, ensembles, independent external validation
kaggle_solutions_db	solution_index	https://kaggle.farid.one/	Competition screening for relevant public winning/top-solution writeups
local_cross_neo_status	local_artifact	project/results/clean_neobench_barneo_2026_05_09/CLEAN_NEOBENCH_CURRENT_STATUS_KR.md	Current BAR-Neo/BMA/BAR-Neo-X status, weaknesses, public-overlap audit state
local_hard_decoy	local_artifact	project/results/cross_neo_v1/hard_decoy_focal_report.md	Current hard-decoy repair metrics and source/HLA/near-peptide limitations
local_tcr_extension	local_artifact	project/results/cross_neo_v2_sota_sprint_2026_05_09/CROSS_Neo_TCR_extension_decision_report.md	Current TCR diagnostic branch and pMTnet/TEPCAM evidence boundary
