priority	experiment_id	short_name	implementation_target	expected_readout	stop_condition
P0	KG01	bma_diversity_weights	Update BAR-Neo-BMA method-weight table with OOF prediction correlation penalty, stress minimum floor, and incremental top-k gain	Improved or unchanged HLA/source/near-peptide top10 with fewer redundant high-weight experts	If stress floor drops or weights become unstable across repeated folds
P0	KG02	validity_dag_caps	Add postprocessing caps for antigen, presentation, TCR, immune context, patient context, and public-overlap status	Fewer unsafe high-score candidates; clearer abstention reasons	If it only reproduces existing BAR-Neo-X penalties without changing decisions
P0	KG03	label_noise_audit_queue	Generate OOF disagreement queue across exact, near, HLA, source, and low-prevalence splits	Manual-review TSV with trusted/ambiguous/source-conflict buckets	If queue is dominated by known public-overlap rows only
P0	KG04	hard_negative_miner_v2	Generate decoy families: anchor-preserved, near-positive, HLA-confuser, TCR-shuffle, source-shift	Auxiliary decoy scores improve exact/near/source top-k without standalone overfit	If near-peptide or TESLA performance collapses
P0	KG05	overlap_kill_switch_model_card	Add mandatory overlap audit columns to all model comparison and candidate-score outputs	No clean-claim row has unresolved exact/near/public-tool overlap	If missing training-corpus metadata prevents row-level audit, keep caveated comparator only
P1	KG06	evidence_quality_weighting	Train current internal models with soft sample weights from assay/source/HLA/cancer-context/patient metadata	Better source-heldout and calibration without deleting hard rows	If hard filtering beats weighting consistently
P1	KG07	peptide_hla_ssl_pretrain	Small transformer pretraining on masked peptide/HLA pseudo-sequence and descriptor prediction	Representation improves locked low-data splits over RF/LR baseline	If no improvement over biophysical features under exact/near holdout
P1	KG08	pairwise_contact_bias_features	Export pMHC/TCR-pMHC pairwise contact, anchor-distance, and MD occupancy summaries into tabular models	Top-k improvement for structure-supported candidates; better manual-review ranking	If structure features are mostly missingness artifacts
P1	KG09	length_generalization_contract	Add peptide-length heldout and long-peptide stress boards	Scores reported by 8/9/10/11/12+ buckets with no hidden 9-mer overfit	If too few positives per bucket for stable inference
P1	KG10	context_embedding_gate	Add disease/immune/antigen/patient context embeddings and missingness bits to patient-gated branch	Better triage differentiation among THCA/PAAD scenarios; clearer metadata caps	If metadata missingness dominates all decisions
P2	KG11	evidence_map_cnn	Prototype DeepInsight-style 2D evidence-map CNN from expert scores/evidence axes	Low-correlation ensemble member for BMA only	If interpretability or stress validation worsens
P2	KG12	bma_distillation_demo	Distill BMA/abstention outputs into a small transparent business-demo ranker	Fast deployable demo with matching top-k and abstain behavior	If distillation hides claim boundaries

