priority	competition_or_source	relevance_to_cross_neo	kaggle_trick	import_to_cross_neo	claim_boundary	source_url
P0	MoA Prediction winner	multi-label noisy biological tabular prediction with many weak outputs	Blend models by OOF quality and low prediction correlation, not just single-model score	Add pairwise OOF correlation penalty to BAR-Neo-BMA and require stress-slice incremental gain	Use for internal weighting only; report stress floors	https://qiita.com/payanotty/items/b52596919112fd4b4411
P0	CAFA5 top protein function solution	hierarchical biological labels and multi-label protein prediction	Use ontology-aware conditional probabilities and parent-child probability consistency	Implement vaccine-validity DAG caps: antigen -> presentation -> TCR -> immune/patient gate -> claim	Do not turn caps into clinical-use claims	https://arxiv.org/abs/2412.04529
P0	PANDA prostate cancer challenge	cancer labels, weak supervision, noisy expert labels, external validation	Use OOF disagreement for automated label-noise detection and iterative denoising	Create label-noise audit queue; train denoised sensitivity branch only	No auto-relabeling in clean benchmark claims	https://www.nature.com/articles/s41591-021-01620-2
P0	OpenVaccine and Ribonanza RNA competitions	sequence+structure biology with hidden/future private sets	True blind private/future evaluation and leakage removal matter more than public-LB fit	Make exact/near/source/HLA/public-tool overlap kill-switch mandatory in every model card	Overlap flags can route abstention; cannot be used to rescue contaminated claims	https://www.nature.com/articles/s42256-022-00571-8
P0	OpenVaccine top solutions	small labeled data, expensive wet-lab labels	Pseudo-label generated data and structure-featurized augmentation improved generalization	Use OOF soft labels only for unlabeled discovery candidate bags, not benchmark rows	Discovery triage only	https://daslab.stanford.edu/site_data/pub_pdf/2110.07531.pdf
P0	CROSS-Neo local hard-decoy repair	our current exact/near/source split weakness	Hard negatives help only as bounded auxiliary contrastive signal	Build hard-negative miner v2 by anchor-preserved, near-positive, HLA-confuser, TCR-shuffle, source-shift decoys	Not a standalone immunogenicity predictor	project/results/cross_neo_v1/hard_decoy_focal_report.md
P0	Ribonanza RNA folding	signal-quality heterogeneity in experimental data	Use signal-to-noise filtering or weight sampling rather than treating all rows equally	Add sample weights for source reliability, assay confidence, HLA support, cancer-context evidence, patient metadata completeness	Weights must be evaluated under locked stress splits	https://pmc.ncbi.nlm.nih.gov/articles/PMC10925082/
P0	Open Problems single-cell perturbation	cell context + perturbation/molecule context -> expression response	Add cell-type text embeddings, SMILES embeddings, target encoding, one-hot features	Add disease/immune/antigen/patient-context embeddings and missingness bits to patient-gated triage	Use as caps/context, not as pMHC evidence replacement	https://www.cnblogs.com/yonggie/p/17903410.html
P1	BELKA 1st place	molecular binding, large unlabeled/weakly labeled chemical structure patterns	Simple transformer with task-relevant MLM and ECFP pretraining beat more complex ideas	Pretrain small peptide/HLA transformer on masked peptide/pseudo-sequence plus descriptor prediction	No benchmark label leakage, no public score distillation	https://zenn.dev/yuto_mo/articles/13fc8fc77c5147
P1	Ribonanza/OpenVaccine top solutions	sequence plus pairwise structure matrices	Feed 2D pairwise structure features as attention bias	Use peptide-HLA contact/anchor matrices and TCR-peptide contact priors as pairwise attention bias or tabular summaries	Diagnostic until locked benchmark improves	https://pmc.ncbi.nlm.nih.gov/articles/PMC10925082/
P1	RNA length-generalization lessons	train/test sequence lengths differed	Use relative/dynamic position handling and length-aware validation	Add peptide-length heldout splits and avoid absolute-position overfit to 9-mers	Report by length bucket	https://kaggle.curtischong.me/competitions/Stanford-Ribonanza-RNA-Folding
P1	CAFA5 protein language model practice	protein sequence embeddings for downstream biology	Use PLM embeddings, GNN/boosting stack, and postprocessing to obey graph constraints	Compare ESM/ProtT5 peptide/HLA embeddings as caveated internal features if no label leakage	Keep public pretrained corpus overlap documented	https://kaggle.curtischong.me/competitions/CAFA-5-Protein-Function-Prediction
P1	MoA winner	high-dimensional biological feature manifold	Dimension reduction and DeepInsight-style image models added diverse signal	Make low-priority evidence-map CNN from expert scores/evidence axes for ensemble diversity	Do not make it a headline model	https://qiita.com/payanotty/items/b52596919112fd4b4411
P1	PANDA challenge	weakly supervised pathology and external cohorts	External validation across labs/scanners/reference standards decides clinical relevance	For CROSS-Neo, require external wet-lab or independent cohort layer before promotion beyond triage	No clinical utility claim from internal benchmark	https://www.nature.com/articles/s41591-021-01620-2
P2	RibonanzaNet post-competition	model distillation from top Kaggle blends	Use top-model pseudo-label blends to train a single deployable model	Distill BAR-Neo-BMA into a simpler transparent triage model for business demo only	Discovery/business demo; not benchmark superiority	https://pmc.ncbi.nlm.nih.gov/articles/PMC10925082/
P2	BELKA negative lessons	molecular transformer ablations	Complex tokenization, very deep encoders, multi-input fusion, custom losses did not necessarily help	Prefer small locked baselines and ablate before adding architecture complexity	Avoid architecture sprint without validation gain	https://zenn.dev/yuto_mo/articles/13fc8fc77c5147
P2	Kaggle solutions database	cross-competition pattern mining	public top writeups are useful but Kaggle-only tricks can overfit leaderboards	Use only biologically/validation-relevant tricks; ignore leaderboard probing	No LB probing or hidden-test reverse engineering	https://kaggle.farid.one/

