priority	seungho_existing_idea	current_artifact	kaggle_import	merged_action	why_it_is_better	claim_boundary
P0	BAR-Neo-BMA benchmark-adaptive ensemble	project/results/clean_neobench_barneo_2026_05_09/CLEAN_NEOBENCH_CURRENT_STATUS_KR.md	MoA low-correlation weighted blending	Add OOF correlation penalty, stress minimum floor, incremental top-k gain	Stops redundant high-AUPRC experts from dominating if they fail the same source/HLA slice	Internal weighting and triage only
P0	BAR-Neo-X claim-safe explanation	project/results/clean_neobench_barneo_2026_05_09/BAR_NEO_X_INTERPRETABILITY_BOOST_REPORT.md	CAFA hierarchy-aware postprocessing	Convert explanation penalties into explicit biological validity DAG caps	Transforms "why score changed" into reviewer-safe "why claim is blocked" logic	No clinical claim
P0	Stress-guarded ranker	project/results/clean_neobench_barneo_2026_05_09/BAR_NEO_STRESS_GUARDED_REPORT_KR.md	Ribonanza/OpenVaccine private/future validation discipline	Lock source/HLA/near/low-prevalence stress as model-selection contract	Prevents public-LB style overfit and source collapse	Decision-support, not external validation
P0	Hard-decoy repair	project/results/cross_neo_v1/hard_decoy_focal_report.md	Online hard-negative mining and PANDA label-noise thinking	Split decoys into anchor-preserved, near-positive, HLA-confuser, TCR-shuffle, source-shift families	Decoy signal becomes mechanistic stress test instead of brittle motif shortcut	Bounded auxiliary only
P0	No-FP high-impact preset	project/results/cross_neo_md_audit_2026_05_10/high_impact_decision_package/HIGH_IMPACT_DECISION_REPORT.md	Kaggle threshold/preset discipline under private split	Reframe no-FP preset as wetlab plate design mode and test under source-heldout external-like split	Keeps the strong practical value without overclaiming threshold optimization	Wetlab prioritization only
P0	Public overlap audit	project/results/clean_neobench_barneo_2026_05_09/CLEAN_NEOBENCH_PUBLIC_OVERLAP_AUDIT_INTAKE.md	Ribonanza leakage removal and true private evaluation	Mandatory overlap status in every candidate/model output	Stops contaminated public pretrained tools from sneaking into clean claims	Caveated comparator until row-level corpus audit
P0	TCR diagnostic branch	project/results/cross_neo_v2_sota_sprint_2026_05_09/CROSS_Neo_TCR_extension_decision_report.md	Ribonanza two-track sequence/pair representation and MoA expert diversity	Add TCR expert disagreement, exact TCR count, pathogen-only dependence, and pMHC cap to TCR reranking	TCR helps where valid but cannot rescue weak presentation or contaminated evidence	Supplement/diagnostic branch
P0	MD structural audit	project/results/cross_neo_md_audit_2026_05_10/CROSS_Neo_MD_audit_decision_report.md	PANDA independent validation and Ribonanza pairwise-contact thinking	Use MD contact occupancy as audit/plate-ordering evidence; require WT/decoy/replicate ladder for stronger labels	Converts MD from attractive visual evidence into controlled structural risk management	Structural plausibility only
P0	Patient-gated PAAD/THCA triage	project/results/clean_neobench_barneo_2026_05_09/PATIENT_GATED_CLEAN_NEO_PAAD_THCA_DEMO.md	Open Problems single-cell context embeddings	Add disease/immune/antigen/patient-context embeddings and missingness caps	Context becomes explicit and auditable; missing data becomes abstention, not silent score noise	Research triage only unless patient metadata complete
P1	Sequence-only business triage	project/results/cross_neo_v1/business_package/BUSINESS_MODEL_CARD.md	BELKA simple encoder plus task-specific SSL pretraining	Pretrain small peptide/HLA transformer on masked sequence and descriptor prediction before triage head	Improves intake feature robustness without relying on public predictor scores	Business intake sanity check
P1	W7A/W7B internal candidates	project/results/clean_neobench_barneo_2026_05_09/CLEAN_NEOBENCH_LEADERBOARD.md	MoA diverse model pool selection	Treat W7A/W7B as stable expert anchors; add only low-correlated experts that improve locked stress slices	Prevents architecture sprawl and makes ensemble additions measurable	Internal candidate support
P1	QK fallback/fusion	project/results/clean_neobench_barneo_2026_05_09/CLEAN_NEOBENCH_CURRENT_STATUS_KR.md	Kaggle negative ablation discipline	Keep QK as bounded fallback with role cap and require slice-specific rescue evidence	Uses useful slice behavior while avoiding quantum/headline overclaim	No quantum advantage claim
P1	External TCR experts pMTnet/TEPCAM	project/results/cross_neo_v2_sota_sprint_2026_05_09/CROSS_Neo_TCR_extension_decision_report.md	MoA ensemble diversity and CAFA conditional caps	Use mean plus disagreement; cap by presentation and cancer-context evidence	Better than naive average because disagreement and context become review signals	Diagnostic only
P1	Baker/Rosetta structural fallback	project/results/cross_neo_md_audit_2026_05_10/baker_rosetta_filter/baker_rosetta_filter_report.md	Ribonanza pairwise structural features	Convert structure outputs into low-dimensional contact/stability summaries for audit board	Structure helps explain candidates without pretending to prove immunogenicity	Audit/support evidence
P1	Wetlab control design	project/results/cross_neo_md_audit_2026_05_10/high_impact_decision_package/HIGH_IMPACT_DECISION_REPORT.md	PANDA label-noise and external validation culture	Every top candidate gets WT, anchor-preserved decoy, irrelevant peptide, HLA-matched positive control	Aligns model output with experimentally falsifiable vaccine claims	Stronger claims only after assays
P2	Evidence dashboard/dossier pattern	project/papers_hub_2026_05_04/cross_neo_high_impact_decision.html	Kaggle solution writeup discipline	Make each result row cite source TSV, stress split, overlap state, and allowed/forbidden claim	Reviewer can audit every number quickly	Page/dossier only
P2	BMA distillation demo	project/results/cross_neo_v1/business_package/BUSINESS_MODEL_CARD.md	RibonanzaNet/ArmNet post-competition distillation	Distill BMA+abstention behavior into a small transparent deployment demo	Useful for speed and business demos while preserving locked full pipeline for claims	Demo only

