field	priority	why_needed	acceptable_format	risk_if_missing
patient_id	required	patient-level top-N endpoint	de-identified stable ID	blocks primary endpoint if missing
sample_id	required	link tumor, normal, blood, assay	stable sample ID	blocks reproducibility if missing
hla_typing	required	HLA restriction and external predictor runs	4-digit class I minimum; class II optional	blocks patient-specific ranking
mutation_table	required	candidate generation	gene, mutation_id, protein change, DNA change	blocks candidate table
mutant_peptide	required	model input	8-11mer class I; longer/class II optional	blocks all predictors
wildtype_peptide	strongly_required	self-similarity and delta features	same window as mutant where possible	weakens immunogenicity branch
expression_tpm	required	filter silent targets	RNA-seq TPM or normalized expression	high false-positive risk if missing
vaf	required	clonality proxy	tumor VAF	subclonal target risk if missing
clonality	recommended	patient-prioritized targeting	clonal/subclonal estimate	ranking uncertainty if missing
hla_loh_status	required	presentation failure risk	LOH yes/no/unknown	false-positive presentation risk
b2m_status	required	APM failure risk	WT/mutated/loss/unknown	false-positive presentation risk
tap1_tap2_expr	recommended	APM activity	TPM or z-score	context uncertainty
ms_immunopeptidomics	optional_validation	presentation validation	present/absent if available	needed for presentation claim
t_cell_assay_result	optional_validation	immunogenicity validation	positive/negative assay	needed for immunogenicity claim
clinical_context	recommended	interpret patient actionability	tumor type, stage, treatment, biopsy time	weak clinical handoff
