gate	value	synergy	left	right	weight
high_leakage_penalty	0.003152742175106				
medium_leakage_penalty	0.0244853698858895				
low_presentation_threshold	0.2470094861208672				
low_presentation_penalty	0.0958027603702119				
claim_blocker_penalty	0.2402320741768187				
single_concept_default_weight_cap	0.3				
single_concept_weight_cap:TCR_expert	0.18				
single_concept_weight_cap:Impact_portfolio	0.22				
single_concept_weight_cap:Fixed_integrated	0.2				
single_concept_weight_cap:Fixed_claimsafe	0.2				
		presentation_x_tcr	BigMHC_EL	TCR_expert	0.2324690810191785
		immunogenicity_x_foreignness	BigMHC_IM	Foreignness	0.0
		stress_x_presentation	CROSS_stress	BigMHC_EL	0.0151820822968142
		ranker_x_tcr	CROSS_core	TCR_expert	0.1961567309130219
		claim_safety_x_foreignness	MD_control	Foreignness	0.0328475818331369
		claimsafe_x_public_im	Fixed_claimsafe	BigMHC_IM	0.0
