branch_feature	n_available	allowed_in_nmi	reason
ESM2_Bayesian	311	True	local/own branch score; public predictor tokens blocked
GP_quantum	319	True	local/own branch score; public predictor tokens blocked
Stack_LR_OOF_E3b	106	True	local/own branch score; public predictor tokens blocked
Stack_LR_inmaster_E3a	319	True	local/own branch score; public predictor tokens blocked
Stack_mean_E1	319	True	local/own branch score; public predictor tokens blocked
Stack_median_E2	319	True	local/own branch score; public predictor tokens blocked
Structure_LR	311	True	local/own branch score; public predictor tokens blocked
VQC	319	True	local/own branch score; public predictor tokens blocked
W7A_QK_only	319	True	local/own branch score; public predictor tokens blocked
W7A_full	319	True	local/own branch score; public predictor tokens blocked
W7B_stacked	319	True	local/own branch score; public predictor tokens blocked
Wave8_SelfSim_full	319	True	local/own branch score; public predictor tokens blocked
Wave8_SelfSim_no_exact	319	True	local/own branch score; public predictor tokens blocked
Wave8_TCR_SelfSim_full	319	True	local/own branch score; public predictor tokens blocked
Wave8_TCR_SelfSim_no_exact	319	True	local/own branch score; public predictor tokens blocked
Wave8_TCR_motif_only	319	True	local/own branch score; public predictor tokens blocked
Wave8_TCR_only	319	True	local/own branch score; public predictor tokens blocked
hard_decoy_rule_aux_C_QK_no_anchor	89	True	local/own branch score; public predictor tokens blocked
nested_learned_gate_C_QK_structure	89	True	local/own branch score; public predictor tokens blocked
nested_lr_qk_no_anchor_train_selected	89	True	local/own branch score; public predictor tokens blocked
nested_lr_qk_quantum_only_train_selected	89	True	local/own branch score; public predictor tokens blocked
nested_rf_qk_no_anchor_train_selected	89	True	local/own branch score; public predictor tokens blocked
nested_rf_qk_quantum_only_train_selected	89	True	local/own branch score; public predictor tokens blocked
prespecified_C_0.5_QK_quantum_0.5	89	True	local/own branch score; public predictor tokens blocked
prespecified_equal_weight_C_QK_no_anchor	89	True	local/own branch score; public predictor tokens blocked
prespecified_lr_qk_no_anchor_w0.5	89	True	local/own branch score; public predictor tokens blocked
prespecified_lr_qk_quantum_only_w0.5	89	True	local/own branch score; public predictor tokens blocked
prespecified_rf_qk_no_anchor_w0.5	89	True	local/own branch score; public predictor tokens blocked
prespecified_rf_qk_quantum_only_w0.5	89	True	local/own branch score; public predictor tokens blocked
qk_clean_no_tcr_gamma1	89	True	local/own branch score; public predictor tokens blocked
qk_no_anchor	89	True	local/own branch score; public predictor tokens blocked
qk_no_anchor_gamma1	89	True	local/own branch score; public predictor tokens blocked
qk_quantum_only	89	True	local/own branch score; public predictor tokens blocked
qk_quantum_only_gamma1	89	True	local/own branch score; public predictor tokens blocked
v0_QK_no_anchor_fallback	89	True	local/own branch score; public predictor tokens blocked
v0_QK_quantum_only_fallback	89	True	local/own branch score; public predictor tokens blocked
v0_fixed_late_fusion_C_QK_no_anchor	89	True	local/own branch score; public predictor tokens blocked
v0_fixed_late_fusion_C_QK_quantum	89	True	local/own branch score; public predictor tokens blocked
