item	title	file	role_in_story	claim_boundary
Figure 1	System architecture	neoimmune_stack_system_map.png	How CLEAN-Neo++ separates clean local algorithms from production frozen public tools	architecture only; no clinical validation
Figure 2	Strict clean leaderboard	strict_clean_leaderboard.png + leaderboard_clean_track_strict_no_overlap.tsv	Local algorithm behavior after excluding existing overlap flags	small/public subset; needs patient/source-heldout confirmation
Figure 3	Strict production leaderboard	strict_production_leaderboard.png + leaderboard_production_track_strict_no_overlap.tsv	Practical stack and public comparator behavior	production integration, not clean novelty
Figure 4	Claim ladder	claim_ladder.png	What is strong now vs what needs patient/wet-lab data	explicitly forbids efficacy/presentation/immunogenicity overclaim
Figure 5	Patient data gap	patient_data_gap.png	Why hospital data is the next critical gate	patient endpoint not claimable from current public scaffold
Table 1	Model registry	registry/model_registry.tsv	Public and local model roles and allowed tracks	runnability/license status can change
Table 2	Canonical candidate schema	data/canonical_candidates.tsv.gz	Standardized candidate universe	labels are heterogeneous public labels
Table 3	Leakage summary	metrics/leakage_summary.tsv	Leakage controls and flagged counts	available flags only; does not prove no hidden contamination
Table 4	Algorithm integration matrix	reports/algorithm_integration_matrix.tsv	How each algorithm enters clean/production tracks	does not imply every branch is validated
Table 5	Hospital data request	reports/hospital_data_request_sheet.tsv	Minimum fields to unlock patient-level endpoint	required before top-N claim
