disease	short_form	snp	chr	pos	region	pvalue	or_value	beta	ancestry_initial	pubmed	first_author	year	title	mhc	asian_ancestry
Type1_diabetes	MONDO_0005147	rs1983853-?	1	84845509.0	1p22.3	2e-06	1.2		European	18840781	Grant SF	2008	Follow-up analysis of genome-wide association data identifies novel loci for type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs3757247-A	6	90247744.0	6q15	1e-06	1.13		European	18840781	Grant SF	2008	Follow-up analysis of genome-wide association data identifies novel loci for type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs10758593-A	9	4292083.0	9p24.2	3e-06	1.13		European	18840781	Grant SF	2008	Follow-up analysis of genome-wide association data identifies novel loci for type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs8035957-C	15	38546063.0	15q14	4e-06	1.14		European	18840781	Grant SF	2008	Follow-up analysis of genome-wide association data identifies novel loci for type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs9976767-C	21	42416281.0	21q22.3	2e-08	1.16		European	18840781	Grant SF	2008	Follow-up analysis of genome-wide association data identifies novel loci for type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs3741208-T	11	2148544.0	11p15.5	2e-07	1.25		European	17554260	Todd JA	2007	Robust associations of four new chromosome regions from genome-wide analyses of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs2476601-T	1	113834946.0	1p13.2	2e-80	1.98		European	17554260	Todd JA	2007	Robust associations of four new chromosome regions from genome-wide analyses of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs1990760-A	2	162267541.0	2q24.2	2e-11	1.18		European	17554260	Todd JA	2007	Robust associations of four new chromosome regions from genome-wide analyses of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs1445898-G	5	35910427.0	5p13.2	8e-06	1.12		European	17554260	Todd JA	2007	Robust associations of four new chromosome regions from genome-wide analyses of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs6897932-G	5	35874473.0	5p13.2	8e-06	1.12		European	17554260	Todd JA	2007	Robust associations of four new chromosome regions from genome-wide analyses of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs17696736-G	12	112049014.0	12q24.13	2e-16	1.22		European	17554260	Todd JA	2007	Robust associations of four new chromosome regions from genome-wide analyses of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs2292239-A	12	56088396.0	12q13.2	2e-20	1.28		European	17554260	Todd JA	2007	Robust associations of four new chromosome regions from genome-wide analyses of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs12708716-A	16	11086016.0	16p13.13	3.0000000000000002e-18	1.23		European	17554260	Todd JA	2007	Robust associations of four new chromosome regions from genome-wide analyses of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs2542151-C	18	12779948.0	18p11.21	1e-14	1.3		European	17554260	Todd JA	2007	Robust associations of four new chromosome regions from genome-wide analyses of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs763361-A	18	69864406.0	18q22.2	1e-08	1.16		European	17554260	Todd JA	2007	Robust associations of four new chromosome regions from genome-wide analyses of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs9653442-G	2	100208905.0	2q11.2	4.9999999999999996e-06	1.11		European	17554260	Todd JA	2007	Robust associations of four new chromosome regions from genome-wide analyses of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs6679677-A	1	113761186.0	1p13.2	8e-24	1.89		European	17554260	Todd JA	2007	Robust associations of four new chromosome regions from genome-wide analyses of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs2647044-A	6	32700133.0	6p21.32	1e-16	8.3		European	17632545	Hakonarson H	2007	A genome-wide association study identifies KIAA0350 as a type 1 diabetes gene.	True	False
Type1_diabetes	MONDO_0005147	rs2476601-A	1	113834946.0	1p13.2	1e-07	1.8		European	17632545	Hakonarson H	2007	A genome-wide association study identifies KIAA0350 as a type 1 diabetes gene.	False	False
Type1_diabetes	MONDO_0005147	rs1004446-C	11	2148913.0	11p15.5	4e-09	1.61		European	17632545	Hakonarson H	2007	A genome-wide association study identifies KIAA0350 as a type 1 diabetes gene.	False	False
Type1_diabetes	MONDO_0005147	rs2903692-G	16	11144926.0	16p13.13	6.999999999999999e-11	1.54		European	17632545	Hakonarson H	2007	A genome-wide association study identifies KIAA0350 as a type 1 diabetes gene.	False	False
Type1_diabetes	MONDO_0005147	rs2165738-C	2	24469940.0	2p23.3	4e-06	1.07		European	18978792	Cooper JD	2008	Meta-analysis of genome-wide association study data identifies additional type 1 diabetes risk loci.	False	False
Type1_diabetes	MONDO_0005147	rs11755527-G	6	90248512.0	6q15	5e-12	1.13		European	18978792	Cooper JD	2008	Meta-analysis of genome-wide association study data identifies additional type 1 diabetes risk loci.	False	False
Type1_diabetes	MONDO_0005147	rs947474-G	10	6348488.0	10p15.1	4e-09	1.1		European	18978792	Cooper JD	2008	Meta-analysis of genome-wide association study data identifies additional type 1 diabetes risk loci.	False	False
Type1_diabetes	MONDO_0005147	rs3825932-T	15	78943104.0	15q25.1	3.0000000000000002e-15	1.16		European	18978792	Cooper JD	2008	Meta-analysis of genome-wide association study data identifies additional type 1 diabetes risk loci.	False	False
Type1_diabetes	MONDO_0005147	rs229541-T	22	37195278.0	22q12.3	2e-08	1.11		European	18978792	Cooper JD	2008	Meta-analysis of genome-wide association study data identifies additional type 1 diabetes risk loci.	False	False
Type1_diabetes	MONDO_0005147	rs416603-T	16	11270222.0	16p13.13	3e-06	1.06		European	18978792	Cooper JD	2008	Meta-analysis of genome-wide association study data identifies additional type 1 diabetes risk loci.	False	False
Type1_diabetes	MONDO_0005147	rs6679677-A	1	113761186.0	1p13.2	1e-40			European	18978792	Cooper JD	2008	Meta-analysis of genome-wide association study data identifies additional type 1 diabetes risk loci.	False	False
Type1_diabetes	MONDO_0005147	rs3087243-A	2	203874196.0	2q33.2	8e-11			European	18978792	Cooper JD	2008	Meta-analysis of genome-wide association study data identifies additional type 1 diabetes risk loci.	False	False
Type1_diabetes	MONDO_0005147	rs9272346-G	6	32636595.0	6p21.32	6e-129			European	18978792	Cooper JD	2008	Meta-analysis of genome-wide association study data identifies additional type 1 diabetes risk loci.	True	False
Type1_diabetes	MONDO_0005147	rs12251307-T	10	6081532.0	10p15.1	2e-06			European	18978792	Cooper JD	2008	Meta-analysis of genome-wide association study data identifies additional type 1 diabetes risk loci.	False	False
Type1_diabetes	MONDO_0005147	rs17696736-G	12	112049014.0	12q24.13	6.0000000000000004e-18			European	18978792	Cooper JD	2008	Meta-analysis of genome-wide association study data identifies additional type 1 diabetes risk loci.	False	False
Type1_diabetes	MONDO_0005147	rs2292239-A	12	56088396.0	12q13.2	3e-16			European	18978792	Cooper JD	2008	Meta-analysis of genome-wide association study data identifies additional type 1 diabetes risk loci.	False	False
Type1_diabetes	MONDO_0005147	rs12708716-G	16	11086016.0	16p13.13	7e-13			European	18978792	Cooper JD	2008	Meta-analysis of genome-wide association study data identifies additional type 1 diabetes risk loci.	False	False
Type1_diabetes	MONDO_0005147	rs2542151-C	18	12779948.0	18p11.21	9e-08			European	18978792	Cooper JD	2008	Meta-analysis of genome-wide association study data identifies additional type 1 diabetes risk loci.	False	False
Type1_diabetes	MONDO_0005147	rs2476601-?	1	113834946.0	1p13.2	9e-85			European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs1990760-?	2	162267541.0	2q24.2	7.000000000000001e-09			European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs3087243-?	2	203874196.0	2q33.2	1e-15			European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs4505848-?	4	122211337.0	4q27	5e-13			European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs11755527-?	6	90248512.0	6q15	5e-08			European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs12251307-?	10	6081532.0	10p15.1	1e-13			European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs11258747-?	10	6430929.0	10p15.1	1e-07			European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs7111341-?	11	2191936.0	11p15.5	4e-48			European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs2292239-?	12	56088396.0	12q13.2	2e-25			European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs3184504-?	12	111446804.0	12q24.12	3e-27			European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs3825932-?	15	78943104.0	15q25.1	8e-08			European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs12708716-?	16	11086016.0	16p13.13	2e-16			European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs1893217-?	18	12809341.0	18p11.21	4e-15			European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs11203203-?	21	42416077.0	21q22.3	2e-09			European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs229541-?	22	37195278.0	22q12.3	2e-07			European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs3024505-?	1	206766559.0	1q32.1	2e-09	1.19		European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs10517086-A	4	26083889.0	4p15.2	5e-10	1.09		European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs9388489-G	6	126377573.0	6q22.32	4e-13	1.17		European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs7804356-?	7	26852046.0	7p15.2	5e-09	1.14		European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs4948088-?	7	50959497.0	7p12.1	4e-08	1.3		European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs7020673-?	9	4291747.0	9p24.2	5e-12	1.14		European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
