Treatment	Number of patients included (number evaluable)	Iodine uptake evaluation method	Number of patients with increased iodine uptake	Number of patients treated with 131I	Number of patients with complete response	Partial response
BRAFV600E mutation
Ho et al (2013)13	Selumetinib with or without 131I	NA (9)	124I PET–CT	4 (44%)	1	0	11% (best)
Rothenberg et al (2015)20	Dabrafenib with or without 131I	10 (10)	Diagnostic 131I whole body scan	6 (60%)	6	0	20% (best)
Dunn et al (2019)15	Vemurafenib with or without 131I	12 (10)	124I PET–CT	6 (60%)	4	0	20% (best)
Tchekmedyian et al (2022)16	Vemurafenib and anti-ErbB3mAb with or without 131I	7 (6)	124I PET–CT	5 (80%)	4	0	33% (6 months)
Weber et al (2022);21	Dabrafenib and trametinib with or without 131I	6 (6)	124I PET–CT	2 (33%)	6	0	0% (best)
Leboulleux et al (2023)18	Dabrafenib and trametinib with or without 131I	21 (24)	Post-treatment 131I whole body scan	20 (95%)	21	1	38% (6 months); 57% (best)
RAS mutation
Ho et al (2013)13	Selumetinib with or without 131I	NA (5)	124I PET–CT	5 (100%)	5	0	80% (best)
Leboulleux et al (2023)17	Trametinib with or without 131I	11 (10)	post-treatment whole body scan	6 (60%)	10	0	20% (6 months and best)
Burman et al (2022)28	Trametinib with or without 131I	NA (25)	124I PET–CT	22 (88%)	15	0	32% (6 months)
