track	task_code	task	source_file	source_version	why_it_matters	priority_score	status	task_id	claim_boundary
analysis	v10-01	lock down prospective wetlab result-entry protocol	candidate_result_entry_v6.tsv	v6	keeps raw calls separate from endpoint calls	0.82	ready	RVT-12847E2E	retrospective / preregistered / claim-safe only
analysis	v10-02	separate retrospective known-answer visuals from prospectively claimed data	known_answer_top96_response_plate_v7.tsv	v7	prevents label leakage in pitch	0.82	ready	RVT-E326AFFD	retrospective / preregistered / claim-safe only
analysis	v10-03	turn five false-positive wells into a dedicated failure-action appendix	known_answer_top96_false_positive_wells_v7.tsv	v7	shows transparency rather than hiding misses	0.82	ready	RVT-0A3B6E60	retrospective / preregistered / claim-safe only
analysis	v10-04	freeze confirmatory thresholds and keep them unedited	preregistered_endpoint_plan_v5.tsv	v5	prevents endpoint fishing	0.82	ready	RVT-C273A238	retrospective / preregistered / claim-safe only
analysis	v10-05	build source-overlap summary for clean vs overlap-blocked lanes	cross_neo_evidence_to_claim_matrix_v8.tsv	v8	keeps claim boundary visible	0.82	queued	RVT-B701F4B7	retrospective / preregistered / claim-safe only
analysis	v10-06	package top96 score-board comparison into one editor-ready chart	score_selection_board_v7.tsv	v7	makes impact legible at a glance	0.82	queued	RVT-092170B4	retrospective / preregistered / claim-safe only
analysis	v10-07	map reviewer objections to explicit evidence files	reviewer_objection_response_map_v9.tsv	v9	reduces rebuttal latency	0.82	ready	RVT-290CFB51	retrospective / preregistered / claim-safe only
analysis	v10-08	align claim boundaries to the exact phrases allowed in the deck	submission_claim_boundary_v9.tsv	v9	prevents overclaim drift	0.82	ready	RVT-7B2F44EE	retrospective / preregistered / claim-safe only
reviewer	v10-13	draft a one-page reviewer defense dashboard	cross_neo_total_impact_v8.html	v8	ties the chain together	0.78	ready	RVT-10A8F3C1	reviewer-defense scaffold only
reviewer	v10-14	generate a reviewer objection moat slide	reviewer_objection_moat_v9.png	v9	highlights contained objections	0.78	ready	RVT-AE26A41C	reviewer-defense scaffold only
reviewer	v10-15	show the endpoint power-vs-risk plot near the main graphic	fig4_preregistered_endpoint_power_risk.png	v8	makes preregistration concrete	0.78	ready	RVT-0C091F49	reviewer-defense scaffold only
reviewer	v10-16	show the impact ladder with explicit boundaries	fig1_total_impact_ladder.png	v8	prevents a claim jump	0.78	ready	RVT-6F718470	reviewer-defense scaffold only
reviewer	v10-17	bundle the best figures into a single mosaic	figure_bundle_mosaic_v9.png	v9	editor-friendly scan path	0.78	ready	RVT-4A148D11	reviewer-defense scaffold only
execution	v10-09	convert task board into a lab handoff checklist	execution_candidate_manifest_v6.tsv	v6	connects figures to action	0.74	ready	RVT-46135C87	execution scaffold only
execution	v10-10	add a reagent order manifest for candidate and control sequences	peptide_hla_reagent_order_manifest_v6.tsv	v6	supports ordering without redesign	0.74	ready	RVT-FAF0A85E	execution scaffold only
execution	v10-11	prepare a blinded 96-well entry sheet for the next round	plate_96_execution_map_v6.tsv	v6	keeps operational state separate from interpretation	0.74	ready	RVT-F4DCF223	execution scaffold only
execution	v10-12	build a candidate-level response board for quick yes/no calls	candidate_result_entry_v6.tsv	v6	single-entry point for future assay readout	0.74	ready	RVT-B0A82EF9	execution scaffold only
next	v10-18	prioritize wetlab-ready positive controls for follow-up	execution_candidate_manifest_v6.tsv	v6	keeps the next run practical	0.7	queued	RVT-90FEFA3C	next-step scaffold only
next	v10-19	route label-noise rescue wells into a provenance audit queue	known_answer_top96_false_positive_wells_v7.tsv	v7	separates rescue from relabeling	0.7	queued	RVT-1AC7E921	next-step scaffold only
next	v10-20	turn the strongest 91/96 board into a graphical abstract	graphical_abstract_v9.png	v9	highest-impact visual	0.7	queued	RVT-8163E20B	next-step scaffold only
