domain	item	level	why_it_matters
Task	Define whether the model predicts binding, presentation, immunogenicity, vaccine triage, or benchmark ranking.	required	Prevents task drift.
Data provenance	Report source dataset, study, patient, assay, date/year, HLA typing method, and candidate-generation route when available.	required	Needed for source/study shift.
Public-score disclosure	List all public predictor scores used as features, comparators, filters, or product assists.	required	Prevents hidden comparator leakage.
Exact overlap	Report exact peptide and exact peptide-HLA overlap between train, test, public corpora, and comparator training data where available.	required	Controls retrieval leakage.
Near overlap	Report near-peptide, mutation-pair, source-window and TCR motif overlap where available.	required	Controls analog memorization.
Train-only pipeline	Build retrieval, scaling, imputation, calibration, feature selection and thresholding inside train folds only.	required	Core leakage control.
Split contract	Include exact, near, source/study, HLA allele/supertype, time/assay and retrieval-clean splits when feasible.	required	Tests robustness.
Primary metrics	Use AUPRC, top-k precision, enrichment over prevalence and recall@k as primary metrics.	required	Matches vaccine shortlist use.
Secondary metrics	Report AUROC as secondary, with prevalence baseline.	required	Avoids AUROC-only claims.
Calibration	Report Brier, ECE and calibration plots.	required	Supports decision risk.
OOD/abstention	Report OOD flags, abstention coverage, and precision after abstention.	required	Supports safe non-decision.
Negative labels	Describe whether negatives are true non-immunogenic, untested, assay-limited, or unlabeled.	required	Avoids false certainty.
Source bias	Report per-source prevalence, feature shift, score shift and source-heldout performance.	required	Controls dataset shortcuts.
HLA robustness	Report per-HLA and HLA-heldout/supertype-heldout performance.	required	Controls allele shortcuts.
Top-k stability	Report bootstrap or repeated split uncertainty for top5/top10.	recommended	Important for small n.
Model cards	Publish model card with intended use, forbidden use, inputs, leakage controls and known failure modes.	recommended	Clinical/product transparency.
Claim boundary	Separate internal validation, locked retrospective tests, source-heldout stress tests, and external prospective validation.	required	Prevents overclaim.
Assay budget	Report performance at realistic assay/manufacturing queue sizes.	recommended	Business relevance.
Comparator fairness	Do not train on public predictor scores when those predictors are clean comparators.	required	Fair benchmark.
Reproducibility	Provide split manifests, row identifiers, seeds and scripts.	recommended	Auditability.
