sample	dm1_score_z	dm2_score_z	delta_z	dm_like_v2	mutation_label
8505C_THYROID	0.359	-0.401	0.761	DM1_like	BRAF
BHT101_THYROID	0.305	-0.38	0.685	DM1_like	BRAF
CAL62_THYROID	0.209	-0.364	0.572	DM1_like	RAS
8305C_THYROID	0.095	-0.295	0.39	DM1_like	BRAF
MB1_THYROID	0.214	-0.117	0.331	DM1_like	other
BCPAP_THYROID	-0.002	-0.299	0.297	DM1_like	BRAF
TT2609C02_THYROID	-0.075	-0.343	0.269	DM2_like	RAS
S117_SOFT_TISSUE	-0.24	-0.338	0.098	DM2_like	other
FTC238_THYROID	-0.272	-0.242	-0.03	DM2_like	other
FTC133_THYROID	-0.129	0.225	-0.354	DM2_like	other
SW579_THYROID	-0.497	-0.099	-0.398	DM2_like	other
TT_THYROID	0.019	0.616	-0.597	DM2_like	other
ML1_THYROID	0.013	2.038	-2.025	DM2_like	other
