compound	column_name	broad_id	dose_uM	moa	phase	dm1_n	dm2_n	dm1_mean_lfc	dm2_mean_lfc	delta_lfc	pvalue	fdr
tolonidine	BRD-K82687598-001-01-6::2.5::MTS004	BRD-K82687598-001-01-6	2.5	adrenergic receptor antagonist	Launched	5	4	0.3116073648536	-0.120814964466775	0.43242232932037505	0.015873015873015872	0.7551365723954555
go-6983	BRD-K36984403-001-02-7::2.5::HTS	BRD-K36984403-001-02-7	2.5	protein kinase inhibitor	Preclinical	5	5	-0.04787118740522001	-0.6824563889476	0.63458520154238	0.015873015873015872	0.7551365723954555
ammonium-lactate	BRD-M29182745-001-01-4::2.5::HTS	BRD-M29182745-001-01-4	2.5		Launched	5	5	0.20663067908359997	-0.61463737015226	0.82126804923586	0.015873015873015872	0.7551365723954555
trigonelline	BRD-K69231085-003-05-7::2.86::HTS	BRD-K69231085-003-05-7	2.86		Phase 1	5	5	0.17301687746892	-0.19554172473580003	0.36855860220472003	0.015873015873015872	0.7551365723954555
pantethine	BRD-K68764924-001-03-2::2.5::MTS004	BRD-K68764924-001-03-2	2.5	coenzyme A precursor	Launched	5	4	0.34070051184832	-0.34573799622525	0.68643850807357	0.015873015873015872	0.7551365723954555
garenoxacin	BRD-K77038618-356-01-3::2.500022896::MTS004	BRD-K77038618-356-01-3	2.500022896	topoisomerase inhibitor	Launched	5	4	0.25832374321188	-0.12206354473847501	0.38038728795035504	0.015873015873015872	0.7551365723954555
3-indolebutyric-acid	BRD-K43187796-001-02-3::2.5::HTS	BRD-K43187796-001-02-3	2.5		Preclinical	5	5	0.03546346577034	-0.45099284135760004	0.48645630712794	0.015873015873015872	0.7551365723954555
ftorafur	BRD-K99383816-001-03-5::2.5::HTS	BRD-K99383816-001-03-5	2.5	thymidylate synthase inhibitor	Launched	5	5	0.05184503464200001	-1.0300899761742	1.0819350108162	0.015873015873015872	0.7551365723954555
phenylbutazone	BRD-K10843433-001-22-7::2.5::HTS	BRD-K10843433-001-22-7	2.5	cyclooxygenase inhibitor, prostanoid receptor antagonist	Withdrawn	5	5	-0.701921066509	-1.2070312032074	0.5051101366984	0.031746031746031744	0.7551365723954555
marbofloxacin	BRD-K71926323-001-13-8::2.5::HTS	BRD-K71926323-001-13-8	2.5	bacterial DNA gyrase inhibitor	Launched	5	5	0.03080260141992	-0.26163774270194	0.29244034412186004	0.031746031746031744	0.7551365723954555
cyproterone-acetate	BRD-K41141507-001-16-2::2.5::HTS	BRD-K41141507-001-16-2	2.5	androgen receptor antagonist	Launched	5	5	-0.09295473082240001	-0.38028741560299995	0.2873326847805999	0.031746031746031744	0.7551365723954555
modaline	BRD-K25317177-065-01-4::2.5::HTS	BRD-K25317177-065-01-4	2.5		Preclinical	5	5	-0.007921123589099986	-0.43843956580148	0.43051844221238006	0.031746031746031744	0.7551365723954555
nafcillin	BRD-K18574842-236-17-7::2.5::HTS	BRD-K18574842-236-17-7	2.5	bacterial cell wall synthesis inhibitor	Launched	5	5	-0.736776787684	-1.0976916969232	0.3609149092392	0.031746031746031744	0.7551365723954555
hexylresorcinol	BRD-K99946902-001-07-5::2.5::HTS	BRD-K99946902-001-07-5	2.5	local anesthetic	Launched	5	5	0.28825783916736	-0.260816418164202	0.5490742573315619	0.031746031746031744	0.7551365723954555
desloratadine	BRD-K82357231-001-17-5::2.5::HTS	BRD-K82357231-001-17-5	2.5	histamine receptor antagonist	Launched	5	5	0.05655328302660001	-0.5742800440057001	0.6308333270323001	0.031746031746031744	0.7551365723954555
salubrinal	BRD-A45107007-001-03-4::2.5::HTS	BRD-A45107007-001-03-4	2.5	eukaryotic translation initiation factor inhibitor	Preclinical	5	5	-0.06976078911496	-0.6298997118354001	0.5601389227204401	0.031746031746031744	0.7551365723954555
lacidipine	BRD-K43586850-001-02-9::2.5::HTS	BRD-K43586850-001-02-9	2.5	calcium channel blocker	Launched	5	5	-0.03190669992899	-0.694187536252	0.66228083632301	0.031746031746031744	0.7551365723954555
dinoprost	BRD-K81672972-001-03-1::2.5::HTS	BRD-K81672972-001-03-1	2.5	prostacyclin analog	Launched	5	5	0.01778638419243801	-0.5200110597344	0.537797443926838	0.031746031746031744	0.7551365723954555
beclomethasone	BRD-A73385064-001-01-5::2.603473418::MTS004	BRD-A73385064-001-01-5	2.603473418	glucocorticoid receptor agonist	Launched	5	4	0.37584900563561996	-0.2813557911078725	0.6572047967434924	0.031746031746031744	0.7551365723954555
NOV-002	BRD-K11411329-001-01-3::2.5::HTS	BRD-K11411329-001-01-3	2.5		Phase 3	5	5	-0.27147243349078	-0.7004139492184001	0.42894151572762007	0.031746031746031744	0.7551365723954555
timonacic	BRD-A38592941-001-02-7::2.5::HTS	BRD-A38592941-001-02-7	2.5	antioxidant	Launched	5	5	0.5453408152682	-0.019075259788640005	0.56441607505684	0.031746031746031744	0.7551365723954555
nevirapine	BRD-K15502390-001-20-9::2.5::HTS	BRD-K15502390-001-20-9	2.5	non-nucleoside reverse transcriptase inhibitor	Launched	5	5	0.15842740056024002	-0.19833455409065998	0.3567619546509	0.031746031746031744	0.7551365723954555
olmutinib	BRD-K60421517-001-01-4::2.499975038::MTS004	BRD-K60421517-001-01-4	2.499975038	EGFR inhibitor, Bruton's tyrosine kinase (BTK) inhibitor	Launched	5	4	0.36578226122600005	0.12536036280535	0.24042189842065004	0.031746031746031744	0.7551365723954555
ZK-93426	BRD-K68392338-003-02-0::2.5::HTS	BRD-K68392338-003-02-0	2.5	benzodiazepine receptor antagonist	Phase 1	5	5	0.41253059385148	-0.5567455613389999	0.9692761551904798	0.031746031746031744	0.7551365723954555
arsanilic-acid	BRD-K24179883-001-16-7::2.5::HTS	BRD-K24179883-001-16-7	2.5		Phase 1	5	5	0.32410203690722	-0.03036166909148001	0.35446370599870003	0.031746031746031744	0.7551365723954555
toloxatone	BRD-A67182178-001-01-7::2.5::MTS004	BRD-A67182178-001-01-7	2.5	monoamine oxidase inhibitor	Launched	5	4	0.26396250155116	-0.17050855223597497	0.434471053787135	0.031746031746031744	0.7551365723954555
iloperidone	BRD-K48722833-001-07-6::2.5::HTS	BRD-K48722833-001-07-6	2.5	dopamine receptor antagonist, serotonin receptor antagonist	Launched	5	5	0.5642938462536	0.34503501039920004	0.21925883585439998	0.031746031746031744	0.7551365723954555
AZD5363	BRD-K99023089-001-03-7::2.5::HTS	BRD-K99023089-001-03-7	2.5	AKT inhibitor	Phase 2	5	5	0.4078837280146	-0.0880094067305	0.4958931347451	0.031746031746031744	0.7551365723954555
SB-683698	BRD-K24968862-001-01-0::2.5::HTS	BRD-K24968862-001-01-0	2.5	integrin antagonist	Phase 1	5	5	0.16287152435617	-0.16748001086312	0.33035153521929	0.031746031746031744	0.7551365723954555
4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine	BRD-K47337578-034-02-5::2.5::HTS	BRD-K47337578-034-02-5	2.5	serotonin receptor antagonist	Preclinical	5	5	0.11160414619098	-0.5786682716414	0.69027241783238	0.05555555555555555	0.8160919540229885
methimazole	BRD-K54416256-001-19-9::2.5::HTS	BRD-K54416256-001-19-9	2.5	antithyroid agent	Launched	5	5	0.25194306490626	-0.1977979104748	0.44974097538106	0.05555555555555555	0.8160919540229885
JNJ-17203212	BRD-K51770398-001-01-9::2.5::HTS	BRD-K51770398-001-01-9	2.5	TRPV antagonist	Preclinical	5	5	-0.41840858844940004	-0.7118146709055999	0.29340608245619987	0.05555555555555555	0.8160919540229885
ribavirin	BRD-K60369935-001-18-3::2.5::HTS	BRD-K60369935-001-18-3	2.5	antiviral	Launched	5	5	0.16991574395120002	-0.8547349776458398	1.0246507215970397	0.05555555555555555	0.8160919540229885
BRL-15572	BRD-A51829654-003-07-7::2.5::HTS	BRD-A51829654-003-07-7	2.5	serotonin receptor antagonist	Preclinical	5	5	0.25375446249206	-0.10013334273158	0.35388780522364005	0.05555555555555555	0.8160919540229885
isoquinoline,-6,7-dimethoxy-1-methyl-1,2,3,4-tetrahydro,	BRD-A75140635-003-10-9::2.5::HTS	BRD-A75140635-003-10-9	2.5		Preclinical	5	5	0.03756802050693999	-0.21942846393456	0.2569964844415	0.05555555555555555	0.8160919540229885
adenosine-phosphate	BRD-A10111329-001-04-6::2.5::HTS	BRD-A10111329-001-04-6	2.5	adenosine receptor agonist	Launched	5	5	0.206967103016374	-0.0429535433792	0.249920646395574	0.05555555555555555	0.8160919540229885
acecainide	BRD-K07753030-003-17-6::2.5::HTS	BRD-K07753030-003-17-6	2.5	polarization inhibitor	Phase 3	5	5	0.11890815620664599	-0.268341375506	0.387249531712646	0.05555555555555555	0.8160919540229885
milnacipran	BRD-A15202882-003-02-7::2.5::HTS	BRD-A15202882-003-02-7	2.5	serotonin-norepinephrine reuptake inhibitor (SNRI)	Launched	5	5	0.157495765483682	-0.1085206164275	0.266016381911182	0.05555555555555555	0.8160919540229885
avanafil	BRD-K65781196-001-03-0::2.5::HTS	BRD-K65781196-001-03-0	2.5	phosphodiesterase inhibitor	Launched	5	5	-0.995921168302	-1.666442041118	0.6705208728160001	0.05555555555555555	0.8160919540229885
nimesulide	BRD-K76775527-001-30-2::2.5::HTS	BRD-K76775527-001-30-2	2.5	cyclooxygenase inhibitor	Launched	5	5	0.21673763597106	-0.12485156895385999	0.34158920492491995	0.05555555555555555	0.8160919540229885
