compound	column_name	broad_id	dose_uM	moa	phase	dm1_n	dm2_n	dm1_mean_lfc	dm2_mean_lfc	delta_lfc	pvalue	fdr
melperone	BRD-K92984783-003-05-7::2.5::HTS	BRD-K92984783-003-05-7	2.5	dopamine receptor antagonist, serotonin receptor antagonist	Launched	5	5	0.033596277245140006	-0.42257841140600005	0.4561746886511401	0.007936507936507936	0.7551365723954555
7-chlorokynurenic-acid	BRD-K84214706-001-05-7::2.5::HTS	BRD-K84214706-001-05-7	2.5	glutamate receptor antagonist	Preclinical	5	5	0.020067864798059998	-0.38595246438520003	0.40602032918326003	0.007936507936507936	0.7551365723954555
aptiganel	BRD-K63919159-003-07-0::2.5::HTS	BRD-K63919159-003-07-0	2.5	glutamate receptor antagonist	Phase 3	5	5	0.04261059912724	-0.24792212100400005	0.29053272013124004	0.007936507936507936	0.7551365723954555
CCT128930	BRD-K76406695-001-02-9::2.5::HTS	BRD-K76406695-001-02-9	2.5	AKT inhibitor	Preclinical	5	5	0.23165522423138002	-0.31565632255966	0.54731154679104	0.007936507936507936	0.7551365723954555
ambroxol	BRD-K56558538-003-11-9::2.5::HTS	BRD-K56558538-003-11-9	2.5	sodium channel blocker	Launched	5	5	0.26031713035869997	-0.18372714785346	0.44404427821215997	0.007936507936507936	0.7551365723954555
TW-37	BRD-K28360340-001-08-3::2.31::HTS	BRD-K28360340-001-08-3	2.31	BCL inhibitor	Preclinical	5	5	-0.86987992808374	-2.2604641870920004	1.3905842590082602	0.007936507936507936	0.7551365723954555
pyrazinamide	BRD-K28667793-001-28-1::2.5::HTS	BRD-K28667793-001-28-1	2.5	fatty acid synthase inhibitor	Launched	5	5	-0.013277700754799998	-0.4355684726622	0.4222907719074	0.007936507936507936	0.7551365723954555
natamycin	BRD-K90563805-001-02-6::2.5::MTS004	BRD-K90563805-001-02-6	2.5	fungal ergosterol inhibitor	Launched	5	4	0.27248942946186	-0.40177831844725004	0.67426774790911	0.015873015873015872	0.7551365723954555
GSK2816126	BRD-K21867462-001-02-9::2.5::HTS	BRD-K21867462-001-02-9	2.5	histone lysine methyltransferase inhibitor	Phase 1	5	5	0.017002114987919998	-0.36274867857778	0.37975079356569996	0.015873015873015872	0.7551365723954555
asiatic-acid	BRD-K35079116-001-02-5::2.71::HTS	BRD-K35079116-001-02-5	2.71	apoptosis stimulant	Preclinical	5	5	0.011601819694194004	-0.7838417304716001	0.7954435501657942	0.015873015873015872	0.7551365723954555
