moa	dm1_count	dm2_count
rho associated kinase inhibitor	1	0
acetylcholine receptor agonist	1	0
bacterial antifolate	1	0
IKK inhibitor, NFkB pathway inhibitor	1	0
bacterial cell wall synthesis inhibitor	1	0
MTH1 inhibitor	1	0
mucolytic agent	1	0
adrenergic receptor antagonist	1	1
calcium channel blocker	1	0
protein synthesis inhibitor	1	0
TRPV agonist	1	0
adrenergic receptor agonist	1	0
tubulin polymerization inhibitor	1	0
dopamine receptor agonist	1	0
imidazoline receptor ligand	1	0
glutamate receptor antagonist	0	2
dopamine receptor antagonist, serotonin receptor antagonist	0	1
AKT inhibitor	0	1
sodium channel blocker	0	1
BCL inhibitor	0	1
fatty acid synthase inhibitor	0	1
fungal ergosterol inhibitor	0	1
histone lysine methyltransferase inhibitor	0	1
apoptosis stimulant	0	1
protein kinase inhibitor	0	1
coenzyme A precursor	0	1
topoisomerase inhibitor	0	1
thymidylate synthase inhibitor	0	1
cyclooxygenase inhibitor, prostanoid receptor antagonist	0	1
